날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-08-13,3,0.1%,3,0%,346,0.0%,100.0%,2994000,2994000 ( 100.0% ),346,346 ( 100.0% ),2994000,346,19
2018-08-16,1,0.0%,1,0%,306,0.0%,100.0%,2754000,2754000 ( 100.0% ),306,306 ( 100.0% ),5748000,652,25
2018-08-23,1,0.0%,1,0%,545,0.0%,100.0%,5281000,5281000 ( 100.0% ),545,545 ( 100.0% ),11029000,1197,19
2018-08-27,1,0.0%,1,0%,185,0.0%,200.0%,3330000,3330000 ( 100.0% ),370,370 ( 100.0% ),14359000,1567,22
2018-08-31,2,0.0%,2,0%,412,0.0%,26.9%,1206500,1206500 ( 100.0% ),111,111 ( 100.0% ),15565500,1678,42
2018-09-04,1,0.0%,1,0%,622,0.0%,96.1%,5382000,5382000 ( 100.0% ),598,598 ( 100.0% ),20947500,2276,17
2018-09-05,3,0.1%,7,0%,963,0.0%,31.9%,2463300,-2918700 ( -54.2% ),307,-291 ( -48.7% ),23410800,2583,23
2018-09-06,435,7.5%,1521,8.6%,222330,7.8%,3.7%,64196150,61732850 ( 2506.1% ),8250,7943 ( 2587.3% ),87606950,10833,7
2018-09-07,452,7.5%,1490,8.1%,218498,7.4%,3.9%,74568723,10372573 ( 16.2% ),8585,335 ( 4.1% ),162175673,19418,7
2018-09-08,490,7.4%,1183,6%,163521,5.2%,6.7%,96060595,21491872 ( 28.8% ),10964,2379 ( 27.7% ),258236268,30382,8
2018-09-09,482,7.3%,1105,5.7%,152658,4.9%,7.6%,88284150,-7776445 ( -8.1% ),11595,631 ( 5.8% ),346520418,41977,8
2018-09-10,425,7.5%,1037,6.1%,149639,5.4%,3.2%,37494350,-50789800 ( -57.5% ),4794,-6801 ( -58.7% ),384014768,46771,7
2018-09-11,412,7.2%,1048,6.2%,150163,5.4%,3.2%,37486000,-8350 ( 0.0% ),4872,78 ( 1.6% ),421500768,51643,8
2018-09-12,138,2.7%,174,0.9%,21895,0.7%,5.6%,9590700,-27895300 ( -74.4% ),1217,-3655 ( -75.0% ),431091468,52860,14
2018-09-13,74,1.4%,97,0.5%,11883,0.4%,6.2%,5860000,-3730700 ( -38.9% ),742,-475 ( -39.0% ),436951468,53602,20
2018-09-14,68,1.3%,94,0.5%,11233,0.4%,7.3%,7231100,1371100 ( 23.4% ),821,79 ( 10.6% ),444182568,54423,16
2018-09-15,71,1.3%,94,0.5%,10791,0.3%,9.7%,9287900,2056800 ( 28.4% ),1047,226 ( 27.5% ),453470468,55470,16
2018-09-16,69,1.2%,89,0.4%,10173,0.3%,10.1%,8847000,-440900 ( -4.7% ),1027,-20 ( -1.9% ),462317468,56497,16
2018-09-17,64,1.3%,91,0.5%,10639,0.4%,4.9%,3908200,-4938800 ( -55.8% ),518,-509 ( -49.6% ),466225668,57015,18
2018-09-18,60,1.2%,90,0.5%,10416,0.4%,4.8%,3995300,87100 ( 2.2% ),502,-16 ( -3.1% ),470220968,57517,22
2018-09-19,7,0.1%,10,0.1%,811,0.0%,16.3%,1107500,-2887800 ( -72.3% ),132,-370 ( -73.7% ),471328468,57649,30
2018-09-20,2,0.0%,2,0%,89,0.0%,16.9%,125000,-982500 ( -88.7% ),15,-117 ( -88.6% ),471453468,57664,79
2018-09-21,2,0.0%,2,0%,119,0.0%,49.6%,561000,436000 ( 348.8% ),59,44 ( 293.3% ),472014468,57723,48
2018-09-22,3,0.0%,4,0%,202,0.0%,32.2%,604000,43000 ( 7.7% ),65,6 ( 10.2% ),472618468,57788,41
