날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-09-15,1,0.0%,1,0%,126,0.0%,100.0%,1134000,1134000 ( 100.0% ),126,126 ( 100.0% ),1134000,126,49
2017-09-25,5,0.1%,5,0%,758,0.0%,98.9%,6000000,6000000 ( 100.0% ),750,750 ( 100.0% ),7134000,876,19
2017-10-03,2,0.0%,3,0%,350,0.0%,1.1%,26000,26000 ( 100.0% ),4,4 ( 100.0% ),7160000,880,80
2017-10-04,61,1.0%,111,0.6%,13312,0.5%,17.6%,20146300,20120300 ( 77385.8% ),2344,2340 ( 58500.0% ),27306300,3224,11
2017-10-05,61,1.0%,109,0.6%,12992,0.4%,25.8%,27992800,7846500 ( 38.9% ),3354,1010 ( 43.1% ),55299100,6578,12
2017-10-06,59,0.9%,103,0.6%,12195,0.4%,28.4%,28755600,762800 ( 2.7% ),3458,104 ( 3.1% ),84054700,10036,13
2017-10-07,54,0.8%,96,0.5%,11821,0.4%,26.8%,26491100,-2264500 ( -7.9% ),3169,-289 ( -8.4% ),110545800,13205,12
2017-10-08,57,0.9%,101,0.5%,12317,0.4%,27.7%,28944300,2453200 ( 9.3% ),3416,247 ( 7.8% ),139490100,16621,12
2017-10-09,56,0.9%,105,0.6%,12389,0.4%,28.4%,28802000,-142300 ( -0.5% ),3521,105 ( 3.1% ),168292100,20142,11
2017-10-10,57,1.2%,109,0.7%,13715,0.5%,7.9%,7637500,-21164500 ( -73.5% ),1083,-2438 ( -69.2% ),175929600,21225,9
2017-10-11,60,1.3%,116,0.7%,14834,0.6%,9.3%,10012000,2374500 ( 31.1% ),1379,296 ( 27.3% ),185941600,22604,6
2017-10-12,42,0.8%,86,0.5%,9500,0.3%,9.3%,6337300,-3674700 ( -36.7% ),881,-498 ( -36.1% ),192278900,23485,11
2017-10-13,42,0.8%,85,0.5%,9961,0.4%,12.7%,9712500,3375200 ( 53.3% ),1264,383 ( 43.5% ),201991400,24749,10
2017-10-14,40,0.7%,84,0.5%,9498,0.3%,20.8%,16290000,6577500 ( 67.7% ),1973,709 ( 56.1% ),218281400,26722,11
2017-10-15,43,0.8%,83,0.5%,9473,0.3%,19.7%,14808800,-1481200 ( -9.1% ),1865,-108 ( -5.5% ),233090200,28587,11
2017-10-16,38,0.8%,73,0.5%,8218,0.3%,6.9%,4091500,-10717300 ( -72.4% ),566,-1299 ( -69.7% ),237181700,29153,12
2017-10-17,39,0.8%,76,0.5%,8795,0.3%,7.6%,4899000,807500 ( 19.7% ),672,106 ( 18.7% ),242080700,29825,14
2017-10-18,36,0.7%,64,0.4%,7210,0.3%,7.7%,3936000,-963000 ( -19.7% ),554,-118 ( -17.6% ),246016700,30379,20
2017-10-19,26,0.4%,41,0.2%,4684,0.2%,11.5%,3823500,-112500 ( -2.9% ),540,-14 ( -2.5% ),249840200,30919,18
2017-10-20,24,0.4%,40,0.2%,4532,0.2%,8.8%,3331500,-492000 ( -12.9% ),401,-139 ( -25.7% ),253171700,31320,21
2017-10-21,22,0.3%,42,0.2%,4636,0.2%,16.0%,6330200,2998700 ( 90.0% ),744,343 ( 85.5% ),259501900,32064,20
2017-10-22,23,0.4%,40,0.2%,4466,0.2%,15.3%,5604500,-725700 ( -11.5% ),682,-62 ( -8.3% ),265106400,32746,21
2017-10-23,16,0.3%,21,0.1%,2394,0.1%,8.3%,1414000,-4190500 ( -74.8% ),198,-484 ( -71.0% ),266520400,32944,31
2017-10-24,18,0.3%,25,0.2%,2700,0.1%,7.7%,1478000,64000 ( 4.5% ),209,11 ( 5.6% ),267998400,33153,32
2017-10-25,16,0.3%,21,0.1%,2365,0.1%,13.0%,1912100,434100 ( 29.4% ),308,99 ( 47.4% ),269910500,33461,25
2017-10-26,2,0.0%,3,0%,112,0.0%,53.6%,413000,-1499100 ( -78.4% ),60,-248 ( -80.5% ),270323500,33521,81
2017-10-27,2,0.0%,3,0%,216,0.0%,20.8%,309000,-104000 ( -25.2% ),45,-15 ( -25.0% ),270632500,33566,84
2017-10-28,3,0.1%,3,0%,228,0.0%,22.4%,411000,102000 ( 33.0% ),51,6 ( 13.3% ),271043500,33617,80
2017-10-29,3,0.1%,3,0%,214,0.0%,25.7%,492000,81000 ( 19.7% ),55,4 ( 7.8% ),271535500,33672,61
2017-10-30,2,0.0%,2,0%,255,0.0%,16.1%,296000,-196000 ( -39.8% ),41,-14 ( -25.5% ),271831500,33713,59
2017-10-31,3,0.1%,3,0%,295,0.0%,19.3%,424000,128000 ( 43.2% ),57,16 ( 39.0% ),272255500,33770,66
2017-11-01,3,0.1%,4,0%,387,0.0%,12.7%,365000,-59000 ( -13.9% ),49,-8 ( -14.0% ),272620500,33819,60
2017-11-02,5,0.1%,6,0%,599,0.0%,36.6%,1390000,1025000 ( 280.8% ),219,170 ( 346.9% ),274010500,34038,38
2017-11-03,4,0.1%,4,0%,397,0.0%,12.8%,387000,-1003000 ( -72.2% ),51,-168 ( -76.7% ),274397500,34089,83
2017-11-04,3,0.1%,4,0%,387,0.0%,21.2%,634000,247000 ( 63.8% ),82,31 ( 60.8% ),275031500,34171,80
2017-11-05,4,0.1%,5,0%,427,0.0%,23.9%,799000,165000 ( 26.0% ),102,20 ( 24.4% ),275830500,34273,64
2017-11-06,3,0.1%,4,0%,387,0.0%,15.5%,468000,-331000 ( -41.4% ),60,-42 ( -41.2% ),276298500,34333,61
2017-11-07,3,0.1%,3,0%,357,0.0%,10.6%,287000,-181000 ( -38.7% ),38,-22 ( -36.7% ),276585500,34371,75
2017-11-08,2,0.0%,3,0%,168,0.0%,25.6%,318000,31000 ( 10.8% ),43,5 ( 13.2% ),276903500,34414,70
2017-11-09,1,0.0%,1,0%,137,0.0%,7.3%,80000,-238000 ( -74.8% ),10,-33 ( -76.7% ),276983500,34424,99
2017-11-10,1,0.0%,1,0%,137,0.0%,7.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),277063500,34434,91
2017-11-11,1,0.0%,1,0%,137,0.0%,18.2%,200000,120000 ( 150.0% ),25,15 ( 150.0% ),277263500,34459,89
2017-11-12,1,0.0%,1,0%,137,0.0%,18.2%,200000,0 ( 0.0% ),25,0 ( 0.0% ),277463500,34484,80
2017-11-13,1,0.0%,1,0%,137,0.0%,7.3%,80000,-120000 ( -60.0% ),10,-15 ( -60.0% ),277543500,34494,89
2017-11-14,1,0.0%,1,0%,137,0.0%,7.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),277623500,34504,92
2017-11-15,1,0.0%,1,0%,137,0.0%,7.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),277703500,34514,96
2017-11-16,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),277783500,34524,119
2017-11-17,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),277863500,34534,119
2017-11-18,1,0.0%,1,0%,108,0.0%,23.1%,200000,120000 ( 150.0% ),25,15 ( 150.0% ),278063500,34559,100
2017-11-19,1,0.0%,1,0%,108,0.0%,23.1%,200000,0 ( 0.0% ),25,0 ( 0.0% ),278263500,34584,90
2017-11-20,1,0.0%,1,0%,108,0.0%,9.3%,80000,-120000 ( -60.0% ),10,-15 ( -60.0% ),278343500,34594,104
2017-11-21,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),278423500,34604,119
2017-11-22,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),278503500,34614,118
2017-11-23,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),278583500,34624,119
2017-11-24,2,0.0%,2,0%,181,0.0%,45.9%,817000,737000 ( 921.3% ),83,73 ( 730.0% ),279400500,34707,63
2017-11-25,1,0.0%,1,0%,108,0.0%,23.1%,200000,-617000 ( -75.5% ),25,-58 ( -69.9% ),279600500,34732,108
2017-11-26,1,0.0%,1,0%,108,0.0%,23.1%,200000,0 ( 0.0% ),25,0 ( 0.0% ),279800500,34757,104
2017-11-27,1,0.0%,1,0%,108,0.0%,9.3%,80000,-120000 ( -60.0% ),10,-15 ( -60.0% ),279880500,34767,92
2017-11-28,1,0.0%,1,0%,108,0.0%,9.3%,80000,0 ( 0.0% ),10,0 ( 0.0% ),279960500,34777,112
