날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-24,1,0.0%,1,0%,624,0.0%,100.0%,9360000,9360000 ( 100.0% ),624,624 ( 100.0% ),9360000,624,24
2018-04-25,2460,46.3%,11429,72.8%,1966995,78.9%,49.8%,6929271100,6919911100 ( 73930.7% ),980042,979418 ( 156958.0% ),6938631100,980666,1
2018-04-26,2394,47.8%,11628,73.5%,1996462,79.6%,29.8%,5195838900,-1733432200 ( -25.0% ),595668,-384374 ( -39.2% ),12134470000,1576334,1
2018-04-27,2460,49.3%,12188,75.2%,2083514,81.1%,35.5%,7026026870,1830187970 ( 35.2% ),739908,144240 ( 24.2% ),19160496870,2316242,1
2018-04-28,2553,49.2%,13184,77.1%,2227049,82.6%,59.9%,12300421261,5274394391 ( 75.1% ),1333307,593399 ( 80.2% ),31460918131,3649549,1
2018-04-29,2548,49.7%,12945,77.4%,2182019,82.9%,51.1%,10307417400,-1993003861 ( -16.2% ),1114946,-218361 ( -16.4% ),41768335531,4764495,1
2018-04-30,2462,49.5%,12255,75.9%,2083482,81.6%,23.8%,4360209000,-5947208400 ( -57.7% ),495787,-619159 ( -55.5% ),46128544531,5260282,1
2018-05-01,2141,45.6%,10730,63.1%,1858728,69.7%,38.6%,6013244200,1653035200 ( 37.9% ),717324,221537 ( 44.7% ),52141788731,5977606,1
2018-05-02,2114,47.8%,10387,63.6%,1797776,69.6%,15.4%,2454649900,-3558594300 ( -59.2% ),276967,-440357 ( -61.4% ),54596438631,6254573,1
2018-05-03,2138,46.2%,10189,63.2%,1775897,69.4%,14.9%,2340404400,-114245500 ( -4.7% ),265430,-11537 ( -4.2% ),56936843031,6520003,1
2018-05-04,2156,43.9%,10648,63%,1854399,69.5%,22.6%,3916977653,1576573253 ( 67.4% ),419443,154013 ( 58.0% ),60853820684,6939446,1
