날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-30,8,0.1%,8,0%,2323,0.1%,100.0%,18821000,18821000 ( 100.0% ),2323,2323 ( 100.0% ),18821000,2323,11
2017-12-07,493,8.0%,2092,12%,344123,12.1%,9.2%,229981200,229981200 ( 100.0% ),31793,31793 ( 100.0% ),248802200,34116,4
2017-12-08,490,7.6%,2027,11.3%,328280,11.2%,9.5%,247108435,17127235 ( 7.4% ),31098,-695 ( -2.2% ),495910635,65214,5
2017-12-09,528,7.6%,1852,9.6%,284014,9.1%,16.5%,384261030,137152595 ( 55.5% ),46759,15661 ( 50.4% ),880171665,111973,6
2017-12-10,512,7.5%,1743,9.3%,267484,8.8%,15.3%,337941900,-46319130 ( -12.1% ),40814,-5945 ( -12.7% ),1218113565,152787,6
2017-12-11,479,7.9%,1748,10.5%,280365,10.2%,6.1%,118822000,-219119900 ( -64.8% ),17011,-23803 ( -58.3% ),1336935565,169798,5
2017-12-12,475,7.7%,1644,10%,262019,9.7%,5.1%,96390500,-22431500 ( -18.9% ),13459,-3552 ( -20.9% ),1433326065,183257,6
2017-12-13,458,7.3%,1505,9.1%,239500,8.8%,5.5%,91798800,-4591700 ( -4.8% ),13166,-293 ( -2.2% ),1525124865,196423,6
2017-12-14,118,1.9%,156,1%,20378,0.8%,9.6%,11102800,-80696000 ( -87.9% ),1949,-11217 ( -85.2% ),1536227665,198372,14
2017-12-15,118,1.9%,156,1%,20640,0.8%,5.5%,7842968,-3259832 ( -29.4% ),1129,-820 ( -42.1% ),1544070633,199501,16
2017-12-16,89,1.4%,106,0.6%,13302,0.5%,5.3%,5838967,-2004001 ( -25.6% ),709,-420 ( -37.2% ),1549909600,200210,18
2017-12-17,80,1.3%,96,0.6%,13204,0.5%,4.6%,4879000,-959967 ( -16.4% ),607,-102 ( -14.4% ),1554788600,200817,18
2017-12-18,100,1.8%,126,0.8%,17856,0.7%,4.5%,6065500,1186500 ( 24.3% ),799,192 ( 31.6% ),1560854100,201616,17
2017-12-19,108,1.8%,136,0.9%,18081,0.7%,4.2%,5286900,-778600 ( -12.8% ),752,-47 ( -5.9% ),1566141000,202368,17
2017-12-20,7,0.1%,7,0%,836,0.0%,14.1%,1032000,-4254900 ( -80.5% ),118,-634 ( -84.3% ),1567173000,202486,37
2017-12-21,6,0.1%,6,0%,661,0.0%,81.8%,4889000,3857000 ( 373.7% ),541,423 ( 358.5% ),1572062000,203027,22
2017-12-22,5,0.1%,5,0%,611,0.0%,75.3%,4361000,-528000 ( -10.8% ),460,-81 ( -15.0% ),1576423000,203487,23
2017-12-25,1,0.0%,1,0%,95,0.0%,1.1%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),1576428000,203488,86
2017-12-26,7,0.1%,8,0%,1066,0.0%,72.9%,7079000,7074000 ( 141480.0% ),777,776 ( 77600.0% ),1583507000,204265,17
2017-12-27,7,0.1%,7,0%,1111,0.0%,41.1%,4215000,-2864000 ( -40.5% ),457,-320 ( -41.2% ),1587722000,204722,20
2017-12-28,5,0.1%,5,0%,702,0.0%,60.5%,3921000,-294000 ( -7.0% ),425,-32 ( -7.0% ),1591643000,205147,24
2017-12-29,3,0.1%,3,0%,434,0.0%,50.9%,2205000,-1716000 ( -43.8% ),221,-204 ( -48.0% ),1593848000,205368,31
2018-01-01,1,0.0%,1,0%,95,0.0%,1.1%,5000,5000 ( 100.0% ),1,1 ( 100.0% ),1593853000,205369,76
2018-01-02,3,0.1%,3,0%,367,0.0%,47.7%,1689000,1684000 ( 33680.0% ),175,174 ( 17400.0% ),1595542000,205544,25
