날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-23,1,0.0%,1,0%,77,0.0%,42.9%,295000,295000 ( 100.0% ),33,33 ( 100.0% ),295000,33,55
2016-12-24,1,0.0%,1,0%,77,0.0%,67.5%,466000,171000 ( 58.0% ),52,19 ( 57.6% ),761000,85,53
2017-04-20,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),1769000,211,46
2017-04-24,1,0.0%,1,0%,201,0.0%,69.7%,840000,840000 ( 100.0% ),140,140 ( 100.0% ),2609000,351,41
2017-04-25,2,0.0%,2,0%,252,0.0%,52.8%,1116000,276000 ( 32.9% ),133,-7 ( -5.0% ),3725000,484,48
2017-04-26,1,0.0%,1,0%,158,0.0%,100.0%,1264000,148000 ( 13.3% ),158,25 ( 18.8% ),4989000,642,38
2017-04-27,2,0.0%,2,0%,557,0.0%,72.0%,3702000,2438000 ( 192.9% ),401,243 ( 153.8% ),8691000,1043,23
2017-05-01,2,0.0%,2,0%,527,0.0%,68.1%,3543600,3543600 ( 100.0% ),359,359 ( 100.0% ),12234600,1402,29
2017-05-03,58,0.9%,100,0.5%,11331,0.4%,23.6%,22362400,22362400 ( 100.0% ),2672,2672 ( 100.0% ),34597000,4074,13
2017-05-04,67,1.1%,110,0.6%,13010,0.4%,14.4%,13859800,-8502600 ( -38.0% ),1870,-802 ( -30.0% ),48456800,5944,15
2017-05-05,63,0.9%,101,0.5%,12164,0.4%,18.1%,18481600,4621800 ( 33.3% ),2206,336 ( 18.0% ),66938400,8150,14
2017-05-06,62,0.9%,93,0.5%,11239,0.4%,17.4%,16301800,-2179800 ( -11.8% ),1959,-247 ( -11.2% ),83240200,10109,13
2017-05-07,57,0.9%,86,0.5%,10439,0.4%,17.2%,14987600,-1314200 ( -8.1% ),1791,-168 ( -8.6% ),98227800,11900,13
2017-05-08,61,1.1%,83,0.5%,9727,0.3%,12.7%,9070300,-5917300 ( -39.5% ),1235,-556 ( -31.0% ),107298100,13135,10
2017-05-09,46,0.8%,63,0.3%,7343,0.2%,21.4%,13330900,4260600 ( 47.0% ),1569,334 ( 27.0% ),120629000,14704,15
2017-05-10,45,0.9%,64,0.4%,7569,0.3%,12.1%,6877300,-6453600 ( -48.4% ),916,-653 ( -41.6% ),127506300,15620,13
2017-05-11,34,0.6%,44,0.3%,4538,0.2%,14.4%,4698400,-2178900 ( -31.7% ),653,-263 ( -28.7% ),132204700,16273,20
2017-05-12,40,0.7%,52,0.3%,6220,0.2%,10.2%,5195700,497300 ( 10.6% ),635,-18 ( -2.8% ),137400400,16908,16
2017-05-13,41,0.7%,54,0.3%,5456,0.2%,20.7%,9649100,4453400 ( 85.7% ),1130,495 ( 78.0% ),147049500,18038,20
2017-05-14,38,0.6%,49,0.3%,6015,0.2%,12.7%,6271600,-3377500 ( -35.0% ),765,-365 ( -32.3% ),153321100,18803,21
2017-05-15,35,0.7%,49,0.3%,5184,0.2%,11.1%,4080100,-2191500 ( -34.9% ),576,-189 ( -24.7% ),157401200,19379,15
2017-05-16,41,0.8%,58,0.4%,6935,0.3%,10.9%,5757000,1676900 ( 41.1% ),758,182 ( 31.6% ),163158200,20137,15
2017-05-17,34,0.7%,49,0.3%,6390,0.2%,9.6%,4527800,-1229200 ( -21.4% ),613,-145 ( -19.1% ),167686000,20750,16
2017-05-18,30,0.5%,37,0.2%,4347,0.2%,7.6%,2231300,-2296500 ( -50.7% ),332,-281 ( -45.8% ),169917300,21082,22
2017-05-19,24,0.4%,29,0.2%,2796,0.1%,16.1%,3789300,1558000 ( 69.8% ),449,117 ( 35.2% ),173706600,21531,19
2017-05-20,29,0.5%,35,0.2%,4066,0.1%,16.7%,5492900,1703600 ( 45.0% ),679,230 ( 51.2% ),179199500,22210,21
2017-05-21,24,0.4%,30,0.2%,3191,0.1%,11.4%,2982600,-2510300 ( -45.7% ),363,-316 ( -46.5% ),182182100,22573,25
2017-05-22,22,0.4%,29,0.2%,3800,0.1%,11.7%,3684000,701400 ( 23.5% ),444,81 ( 22.3% ),185866100,23017,15
2017-05-23,28,0.5%,36,0.2%,3586,0.1%,8.3%,2139600,-1544400 ( -41.9% ),297,-147 ( -33.1% ),188005700,23314,17
2017-05-24,26,0.5%,32,0.2%,4137,0.2%,5.7%,1684800,-454800 ( -21.3% ),234,-63 ( -21.2% ),189690500,23548,24
2017-05-25,10,0.2%,12,0.1%,1020,0.0%,12.4%,822000,-862800 ( -51.2% ),126,-108 ( -46.2% ),190512500,23674,46
2017-05-26,13,0.3%,17,0.1%,1356,0.0%,13.8%,1099600,277600 ( 33.8% ),187,61 ( 48.4% ),191612100,23861,30
2017-05-27,15,0.3%,17,0.1%,2244,0.1%,8.2%,1436500,336900 ( 30.6% ),183,-4 ( -2.1% ),193048600,24044,37
2017-05-28,10,0.2%,11,0.1%,1158,0.0%,8.8%,807000,-629500 ( -43.8% ),102,-81 ( -44.3% ),193855600,24146,51
2017-05-29,7,0.1%,8,0%,595,0.0%,10.6%,475900,-331100 ( -41.0% ),63,-39 ( -38.2% ),194331500,24209,54
2017-05-30,10,0.2%,11,0.1%,1680,0.1%,4.5%,562700,86800 ( 18.2% ),76,13 ( 20.6% ),194894200,24285,51
