날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-28,1,0.0%,1,0%,126,0.0%,100.0%,1008000,1008000 ( 100.0% ),126,126 ( 100.0% ),1008000,126,37
2016-11-30,177,3.5%,791,4.8%,111936,4.1%,13.8%,96978400,96978400 ( 100.0% ),15394,15394 ( 100.0% ),97986400,15520,5
2016-12-01,173,3.6%,740,4.5%,107201,4.0%,7.6%,62306100,-34672300 ( -35.8% ),8142,-7252 ( -47.1% ),160292500,23662,5
2016-12-02,176,3.5%,684,4.1%,97714,3.5%,8.8%,73010700,10704600 ( 17.2% ),8553,411 ( 5.0% ),233303200,32215,5
2016-12-03,183,3.4%,599,3.4%,80358,2.7%,16.7%,117963800,44953100 ( 61.6% ),13434,4881 ( 57.1% ),351267000,45649,5
2016-12-04,174,3.3%,554,3.2%,75143,2.6%,16.3%,106650400,-11313400 ( -9.6% ),12214,-1220 ( -9.1% ),457917400,57863,6
2016-12-05,165,3.6%,554,3.5%,79829,3.0%,6.2%,37733100,-68917300 ( -64.6% ),4955,-7259 ( -59.4% ),495650500,62818,5
2016-12-06,165,3.4%,531,3.3%,74725,2.8%,6.0%,33302600,-4430500 ( -11.7% ),4460,-495 ( -10.0% ),528953100,67278,5
2016-12-07,64,1.3%,90,0.6%,12453,0.5%,6.7%,6264300,-27038300 ( -81.2% ),831,-3629 ( -81.4% ),535217400,68109,10
2016-12-08,62,1.2%,78,0.5%,10836,0.4%,5.5%,4392500,-1871800 ( -29.9% ),595,-236 ( -28.4% ),539609900,68704,16
2016-12-09,58,1.1%,79,0.5%,10341,0.4%,6.7%,5943800,1551300 ( 35.3% ),693,98 ( 16.5% ),545553700,69397,12
2016-12-10,42,0.8%,53,0.3%,7296,0.3%,11.3%,7073900,1130100 ( 19.0% ),821,128 ( 18.5% ),552627600,70218,12
2016-12-11,42,0.8%,53,0.3%,7137,0.3%,12.2%,7566100,492200 ( 7.0% ),870,49 ( 6.0% ),560193700,71088,13
2016-12-12,54,1.1%,73,0.5%,9927,0.4%,5.2%,3842500,-3723600 ( -49.2% ),514,-356 ( -40.9% ),564036200,71602,13
2016-12-13,51,1.0%,66,0.4%,9330,0.4%,4.5%,3170400,-672100 ( -17.5% ),421,-93 ( -18.1% ),567206600,72023,22
2016-12-14,5,0.1%,7,0%,1156,0.0%,4.2%,360500,-2809900 ( -88.6% ),48,-373 ( -88.6% ),567567100,72071,60
