날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-12-20,1,0.0%,1,0%,268,0.0%,100.0%,2412000,2412000 ( 100.0% ),268,268 ( 100.0% ),2412000,268,30
2016-12-28,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),5620000,669,23
2016-12-29,3,0.1%,3,0%,893,0.0%,100.0%,7144000,3936000 ( 122.7% ),893,492 ( 122.7% ),12764000,1562,18
2017-01-03,2,0.0%,2,0%,617,0.0%,100.0%,4936000,4936000 ( 100.0% ),617,617 ( 100.0% ),17700000,2179,22
2017-01-04,7,0.1%,7,0%,1059,0.0%,100.0%,9531000,4595000 ( 93.1% ),1059,442 ( 71.6% ),27231000,3238,16
2017-01-06,2,0.0%,2,0%,492,0.0%,100.0%,4920000,4920000 ( 100.0% ),492,492 ( 100.0% ),32151000,3730,21
2017-01-09,1,0.0%,1,0%,218,0.0%,100.0%,1744000,1744000 ( 100.0% ),218,218 ( 100.0% ),33895000,3948,21
2017-01-11,488,8.8%,2096,12.3%,339952,12.1%,12.9%,330131300,330131300 ( 100.0% ),43776,43776 ( 100.0% ),364026300,47724,4
2017-01-12,496,8.7%,1975,11.6%,305460,10.8%,14.2%,328213200,-1918100 ( -0.6% ),43512,-264 ( -0.6% ),692239500,91236,4
2017-01-13,528,9.0%,2004,11.5%,302912,10.5%,17.0%,440754449,112541249 ( 34.3% ),51445,7933 ( 18.2% ),1132993949,142681,4
2017-01-14,540,8.7%,1924,10.6%,281581,9.4%,36.1%,878948030,438193581 ( 99.4% ),101641,50196 ( 97.6% ),2011941979,244322,4
2017-01-15,546,8.9%,1898,10.8%,278936,9.5%,33.5%,810222400,-68725630 ( -7.8% ),93567,-8074 ( -7.9% ),2822164379,337889,4
2017-01-16,521,9.2%,1971,11.8%,296709,10.8%,12.4%,280917000,-529305400 ( -65.3% ),36848,-56719 ( -60.6% ),3103081379,374737,4
2017-01-17,520,8.9%,1951,11.7%,297266,10.7%,11.6%,262659400,-18257600 ( -6.5% ),34506,-2342 ( -6.4% ),3365740779,409243,4
2017-01-18,334,6.1%,657,3.9%,83935,3.0%,10.6%,67761300,-194898100 ( -74.2% ),8918,-25588 ( -74.2% ),3433502079,418161,6
2017-01-19,338,6.0%,644,3.8%,82651,3.0%,9.8%,61999800,-5761500 ( -8.5% ),8125,-793 ( -8.9% ),3495501879,426286,7
2017-01-20,329,5.9%,645,3.7%,83042,2.9%,10.9%,78991000,16991200 ( 27.4% ),9058,933 ( 11.5% ),3574492879,435344,7
2017-01-21,300,5.1%,537,3%,70223,2.4%,20.3%,125779900,46788900 ( 59.2% ),14237,5179 ( 57.2% ),3700272779,449581,7
2017-01-22,289,5.0%,488,2.8%,64656,2.3%,18.7%,106534900,-19245000 ( -15.3% ),12089,-2148 ( -15.1% ),3806807679,461670,7
2017-01-23,297,5.5%,556,3.3%,73373,2.7%,8.2%,45852100,-60682800 ( -57.0% ),6012,-6077 ( -50.3% ),3852659779,467682,7
2017-01-24,311,5.7%,567,3.4%,75237,2.7%,8.5%,47573400,1721300 ( 3.8% ),6427,415 ( 6.9% ),3900233179,474109,7
2017-01-25,151,2.5%,209,1.2%,26980,1.0%,14.3%,22343500,-25229900 ( -53.0% ),3858,-2569 ( -40.0% ),3922576679,477967,10
2017-01-26,144,2.4%,213,1.2%,26777,0.9%,14.1%,29840500,7497000 ( 33.6% ),3764,-94 ( -2.4% ),3952417179,481731,11
2017-01-27,128,2.0%,182,1%,21707,0.7%,22.1%,43864000,14023500 ( 47.0% ),4794,1030 ( 27.4% ),3996281179,486525,11
2017-01-28,134,2.1%,192,1.1%,23591,0.8%,26.9%,58572900,14708900 ( 33.5% ),6335,1541 ( 32.1% ),4054854079,492860,10
2017-01-29,133,2.0%,185,1%,22258,0.7%,30.6%,63007000,4434100 ( 7.6% ),6818,483 ( 7.6% ),4117861079,499678,11
2017-01-30,137,2.1%,192,1.1%,23771,0.8%,28.2%,60845500,-2161500 ( -3.4% ),6706,-112 ( -1.6% ),4178706579,506384,11
2017-01-31,140,2.4%,224,1.3%,28370,1.0%,10.7%,23359000,-37486500 ( -61.6% ),3023,-3683 ( -54.9% ),4202065579,509407,10
2017-02-01,83,1.5%,142,0.8%,19551,0.7%,8.8%,13083000,-10276000 ( -44.0% ),1730,-1293 ( -42.8% ),4215148579,511137,13
2017-02-02,42,0.8%,56,0.3%,7476,0.3%,13.4%,7499800,-5583200 ( -42.7% ),1000,-730 ( -42.2% ),4222648379,512137,19
2017-02-03,39,0.7%,53,0.3%,6992,0.2%,14.5%,8647500,1147700 ( 15.3% ),1012,12 ( 1.2% ),4231295879,513149,17
2017-02-04,35,0.6%,46,0.3%,5192,0.2%,32.4%,15322500,6675000 ( 77.2% ),1682,670 ( 66.2% ),4246618379,514831,15
2017-02-05,36,0.6%,46,0.3%,5211,0.2%,28.2%,13451400,-1871100 ( -12.2% ),1472,-210 ( -12.5% ),4260069779,516303,17
2017-02-06,36,0.7%,52,0.3%,6430,0.2%,12.7%,5597500,-7853900 ( -58.4% ),819,-653 ( -44.4% ),4265667279,517122,12
2017-02-07,42,0.8%,59,0.4%,7789,0.3%,8.6%,4942000,-655500 ( -11.7% ),669,-150 ( -18.3% ),4270609279,517791,21
2017-02-08,24,0.5%,34,0.2%,4022,0.1%,9.8%,2930900,-2011100 ( -40.7% ),395,-274 ( -41.0% ),4273540179,518186,25
2017-02-09,9,0.1%,11,0.1%,1579,0.1%,19.7%,2363000,-567900 ( -19.4% ),311,-84 ( -21.3% ),4275903179,518497,33
2017-02-10,10,0.2%,13,0.1%,1873,0.1%,31.8%,4584500,2221500 ( 94.0% ),595,284 ( 91.3% ),4280487679,519092,21
2017-02-11,5,0.1%,5,0%,871,0.0%,20.6%,1352500,-3232000 ( -70.5% ),179,-416 ( -69.9% ),4281840179,519271,38
2017-02-12,5,0.1%,5,0%,871,0.0%,9.8%,677000,-675500 ( -49.9% ),85,-94 ( -52.5% ),4282517179,519356,50
2017-02-13,5,0.1%,5,0%,789,0.0%,21.7%,1293000,616000 ( 91.0% ),171,86 ( 101.2% ),4283810179,519527,31
2017-02-14,4,0.1%,4,0%,631,0.0%,17.7%,824500,-468500 ( -36.2% ),112,-59 ( -34.5% ),4284634679,519639,51
2017-02-15,3,0.1%,3,0%,566,0.0%,18.2%,778000,-46500 ( -5.6% ),103,-9 ( -8.0% ),4285412679,519742,51
2017-02-16,3,0.0%,3,0%,480,0.0%,23.3%,865000,87000 ( 11.2% ),112,9 ( 8.7% ),4286277679,519854,44
2017-02-17,2,0.0%,2,0%,348,0.0%,45.1%,1210000,345000 ( 39.9% ),157,45 ( 40.2% ),4287487679,520011,37
2017-02-18,3,0.0%,3,0%,570,0.0%,24.7%,1057000,-153000 ( -12.6% ),141,-16 ( -10.2% ),4288544679,520152,42
2017-02-19,2,0.0%,2,0%,348,0.0%,19.8%,513000,-544000 ( -51.5% ),69,-72 ( -51.1% ),4289057679,520221,60
2017-02-20,2,0.0%,2,0%,286,0.0%,25.2%,552000,39000 ( 7.6% ),72,3 ( 4.3% ),4289609679,520293,50
2017-02-21,2,0.0%,2,0%,286,0.0%,29.7%,668500,116500 ( 21.1% ),85,13 ( 18.1% ),4290278179,520378,49
2017-02-22,2,0.0%,2,0%,369,0.0%,19.0%,527000,-141500 ( -21.2% ),70,-15 ( -17.6% ),4290805179,520448,58
2017-03-16,1,0.0%,1,0%,182,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4290805179,520448,113
2017-04-25,1,0.0%,1,0%,217,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4290805179,520448,133
2017-04-28,1,0.0%,1,0%,165,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),4290805179,520448,108
