날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-30,1,0.0%,1,0%,247,0.0%,100.0%,1976000,1976000 ( 100.0% ),247,247 ( 100.0% ),1976000,247,22
2018-08-30,1,0.0%,1,0%,192,0.0%,100.0%,1536000,1536000 ( 100.0% ),192,192 ( 100.0% ),3512000,439,36
2018-09-04,20,0.3%,20,0.1%,3098,0.1%,57.5%,12944500,12944500 ( 100.0% ),1781,1781 ( 100.0% ),16456500,2220,11
2018-09-06,211,3.7%,1213,6.8%,210355,7.3%,8.7%,154818700,154818700 ( 100.0% ),18202,18202 ( 100.0% ),171275200,20422,4
2018-09-07,214,3.5%,1225,6.7%,216122,7.3%,9.6%,193980500,39161800 ( 25.3% ),20768,2566 ( 14.1% ),365255700,41190,4
2018-09-08,219,3.3%,1235,6.3%,212547,6.7%,16.8%,340169500,146189000 ( 75.4% ),35782,15014 ( 72.3% ),705425200,76972,3
2018-09-09,220,3.3%,1193,6.2%,204212,6.6%,16.0%,312097000,-28072500 ( -8.3% ),32607,-3175 ( -8.9% ),1017522200,109579,3
2018-09-10,203,3.6%,1088,6.4%,187899,6.8%,5.9%,95113700,-216983300 ( -69.5% ),11056,-21551 ( -66.1% ),1112635900,120635,4
2018-09-11,198,3.4%,1060,6.2%,183009,6.6%,5.0%,78708800,-16404900 ( -17.2% ),9144,-1912 ( -17.3% ),1191344700,129779,4
2018-09-12,160,3.1%,645,3.5%,94279,3.2%,6.4%,51718700,-26990100 ( -34.3% ),6004,-3140 ( -34.3% ),1243063400,135783,5
2018-09-13,160,3.1%,621,3.4%,91948,3.1%,5.7%,44932500,-6786200 ( -13.1% ),5270,-734 ( -12.2% ),1287995900,141053,6
2018-09-14,167,3.2%,641,3.4%,93064,3.1%,8.2%,71809500,26877000 ( 59.8% ),7645,2375 ( 45.1% ),1359805400,148698,5
2018-09-15,171,3.0%,645,3.2%,89989,2.8%,17.1%,147017600,75208100 ( 104.7% ),15383,7738 ( 101.2% ),1506823000,164081,5
2018-09-16,169,3.0%,644,3.3%,90029,2.8%,15.6%,134489300,-12528300 ( -8.5% ),14072,-1311 ( -8.5% ),1641312300,178153,5
2018-09-17,164,3.3%,587,3.4%,83233,2.9%,5.4%,38632400,-95856900 ( -71.3% ),4515,-9557 ( -67.9% ),1679944700,182668,7
2018-09-18,169,3.3%,561,3.3%,79616,2.9%,4.9%,33059800,-5572600 ( -14.4% ),3864,-651 ( -14.4% ),1713004500,186532,8
2018-09-19,11,0.2%,22,0.1%,2843,0.1%,8.6%,2087500,-30972300 ( -93.7% ),245,-3619 ( -93.7% ),1715092000,186777,20
2018-09-20,12,0.2%,18,0.1%,2808,0.1%,8.5%,2070500,-17000 ( -0.8% ),238,-7 ( -2.9% ),1717162500,187015,23
2018-09-21,9,0.2%,15,0.1%,2266,0.1%,10.9%,2318500,248000 ( 12.0% ),247,9 ( 3.8% ),1719481000,187262,25
2018-09-22,8,0.1%,15,0.1%,2110,0.1%,15.4%,3147700,829200 ( 35.8% ),324,77 ( 31.2% ),1722628700,187586,19
2018-09-23,12,0.2%,15,0.1%,2217,0.1%,10.3%,2138400,-1009300 ( -32.1% ),228,-96 ( -29.6% ),1724767100,187814,25
2018-09-24,6,0.1%,12,0.1%,1737,0.1%,14.9%,2441200,302800 ( 14.2% ),259,31 ( 13.6% ),1727208300,188073,20
2018-09-25,9,0.1%,11,0.1%,1585,0.0%,10.1%,1352500,-1088700 ( -44.6% ),160,-99 ( -38.2% ),1728560800,188233,30
2018-09-26,3,0.0%,6,0%,929,0.0%,13.3%,1049000,-303500 ( -22.4% ),124,-36 ( -22.5% ),1729609800,188357,35
2018-09-27,3,0.1%,5,0%,803,0.0%,9.3%,625500,-423500 ( -40.4% ),75,-49 ( -39.5% ),1730235300,188432,46
2018-09-28,3,0.1%,5,0%,816,0.0%,12.7%,1004000,378500 ( 60.5% ),104,29 ( 38.7% ),1731239300,188536,41
2018-09-29,3,0.1%,6,0%,923,0.0%,28.9%,2578500,1574500 ( 156.8% ),267,163 ( 156.7% ),1733817800,188803,28
2018-09-30,3,0.1%,8,0%,1219,0.0%,27.7%,3128000,549500 ( 21.3% ),338,71 ( 26.6% ),1736945800,189141,24
2018-10-01,2,0.0%,7,0%,1189,0.0%,5.7%,570000,-2558000 ( -81.8% ),68,-270 ( -79.9% ),1737515800,189209,47
2018-10-02,7,0.1%,11,0.1%,1638,0.1%,24.3%,2342000,1772000 ( 310.9% ),398,330 ( 485.3% ),1739857800,189607,23
2018-10-03,1,0.0%,1,0%,84,0.0%,71.4%,300000,-2042000 ( -87.2% ),60,-338 ( -84.9% ),1740157800,189667,48
2018-10-04,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1740457800,189727,35
2018-10-05,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1740757800,189787,39
2018-10-06,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1741057800,189847,44
2018-10-07,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1741357800,189907,42
2018-10-08,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1741657800,189967,44
2018-10-09,1,0.0%,1,0%,84,0.0%,71.4%,300000,0 ( 0.0% ),60,0 ( 0.0% ),1741957800,190027,43
