날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-30,1,0.0%,1,0%,850,0.0%,6.1%,330000,330000 ( 100.0% ),52,52 ( 100.0% ),330000,52,56
2016-11-19,1,0.0%,1,0%,138,0.0%,94.2%,780000,780000 ( 100.0% ),130,130 ( 100.0% ),1110000,182,43
2016-11-21,1,0.0%,1,0%,138,0.0%,89.1%,738000,738000 ( 100.0% ),123,123 ( 100.0% ),1848000,305,36
2016-11-24,1,0.0%,1,0%,293,0.0%,33.4%,588000,588000 ( 100.0% ),98,98 ( 100.0% ),2436000,403,56
2016-12-01,1,0.0%,1,0%,293,0.0%,66.6%,1604000,1604000 ( 100.0% ),195,195 ( 100.0% ),4040000,598,42
2016-12-04,1,0.0%,1,0%,293,0.0%,92.2%,2610000,2610000 ( 100.0% ),270,270 ( 100.0% ),6650000,868,35
2016-12-06,1,0.0%,1,0%,293,0.0%,71.0%,1777000,1777000 ( 100.0% ),208,208 ( 100.0% ),8427000,1076,31
2016-12-13,1,0.0%,1,0%,151,0.0%,100.0%,1057000,1057000 ( 100.0% ),151,151 ( 100.0% ),9484000,1227,37
2016-12-15,1,0.0%,1,0%,293,0.0%,25.3%,662000,662000 ( 100.0% ),74,74 ( 100.0% ),10146000,1301,56
2016-12-17,1,0.0%,1,0%,112,0.0%,33.0%,270200,270200 ( 100.0% ),37,37 ( 100.0% ),10416200,1338,58
2016-12-19,1,0.0%,1,0%,124,0.0%,70.2%,737000,737000 ( 100.0% ),87,87 ( 100.0% ),11153200,1425,43
2016-12-20,1,0.0%,1,0%,191,0.0%,100.0%,1146000,409000 ( 55.5% ),191,104 ( 119.5% ),12299200,1616,37
2016-12-21,6,0.1%,10,0.1%,1056,0.0%,16.3%,1351000,205000 ( 17.9% ),172,-19 ( -9.9% ),13650200,1788,38
2016-12-22,50,1.0%,84,0.5%,10381,0.4%,20.6%,16291500,14940500 ( 1105.9% ),2138,1966 ( 1143.0% ),29941700,3926,8
2016-12-23,49,0.9%,80,0.5%,10050,0.4%,22.8%,19089100,2797600 ( 17.2% ),2290,152 ( 7.1% ),49030800,6216,9
2016-12-24,44,0.8%,68,0.4%,9004,0.3%,29.9%,23573100,4484000 ( 23.5% ),2695,405 ( 17.7% ),72603900,8911,11
2016-12-25,42,0.7%,63,0.4%,8301,0.3%,34.0%,24298500,725400 ( 3.1% ),2819,124 ( 4.6% ),96902400,11730,11
