날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-05-20,1,0.0%,1,0%,118,0.0%,79.7%,769000,769000 ( 100.0% ),94,94 ( 100.0% ),769000,94,46
2017-05-23,1,0.0%,1,0%,118,0.0%,81.4%,864000,864000 ( 100.0% ),96,96 ( 100.0% ),1633000,190,43
2017-05-26,1,0.0%,1,0%,118,0.0%,47.5%,464000,464000 ( 100.0% ),56,56 ( 100.0% ),2097000,246,56
2017-06-03,1,0.0%,1,0%,112,0.0%,28.6%,277500,277500 ( 100.0% ),32,32 ( 100.0% ),2374500,278,71
2017-06-04,2,0.0%,2,0%,241,0.0%,42.3%,830500,553000 ( 199.3% ),102,70 ( 218.8% ),3205000,380,38
2017-06-08,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),4917000,594,29
2017-06-10,1,0.0%,1,0%,118,0.0%,27.1%,638000,638000 ( 100.0% ),32,32 ( 100.0% ),5555000,626,67
2017-06-11,2,0.0%,2,0%,211,0.0%,33.2%,625500,-12500 ( -2.0% ),70,38 ( 118.8% ),6180500,696,50
2017-06-14,17,0.4%,17,0.1%,2513,0.1%,48.7%,11001100,11001100 ( 100.0% ),1223,1223 ( 100.0% ),17181600,1919,10
2017-06-15,49,0.9%,133,0.8%,17721,0.6%,10.6%,13215200,2214100 ( 20.1% ),1874,651 ( 53.2% ),30396800,3793,8
2017-06-16,52,1.0%,138,0.8%,18586,0.6%,9.7%,14622200,1407000 ( 10.6% ),1801,-73 ( -3.9% ),45019000,5594,9
2017-06-17,53,0.9%,129,0.7%,17259,0.6%,16.1%,23060600,8438400 ( 57.7% ),2776,975 ( 54.1% ),68079600,8370,14
2017-06-18,56,0.9%,128,0.7%,16883,0.6%,15.6%,22148600,-912000 ( -4.0% ),2634,-142 ( -5.1% ),90228200,11004,13
2017-06-19,48,1.0%,126,0.8%,16990,0.6%,8.3%,10214000,-11934600 ( -53.9% ),1404,-1230 ( -46.7% ),100442200,12408,9
2017-06-20,47,0.9%,125,0.7%,16784,0.6%,8.8%,10546500,332500 ( 3.3% ),1473,69 ( 4.9% ),110988700,13881,10
2017-06-21,31,0.6%,85,0.5%,11856,0.5%,13.1%,11496900,950400 ( 9.0% ),1548,75 ( 5.1% ),122485600,15429,9
2017-06-22,28,0.5%,67,0.4%,9847,0.4%,13.3%,9731700,-1765200 ( -15.4% ),1307,-241 ( -15.6% ),132217300,16736,13
2017-06-23,30,0.6%,70,0.4%,9940,0.4%,15.2%,12682000,2950300 ( 30.3% ),1512,205 ( 15.7% ),144899300,18248,11
