날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-12-10,1,0.0%,1,0%,153,0.0%,100.0%,918000,918000 ( 100.0% ),153,153 ( 100.0% ),918000,153,43
2018-12-11,2,0.0%,2,0%,379,0.0%,55.4%,1260000,342000 ( 37.3% ),210,57 ( 37.3% ),2178000,363,40
2018-12-12,205,3.4%,216,1.2%,26830,0.9%,18.1%,29766300,28506300 ( 2262.4% ),4865,4655 ( 2216.7% ),31944300,5228,9
2018-12-13,210,3.3%,218,1.2%,27011,0.9%,16.2%,25465800,-4300500 ( -14.4% ),4369,-496 ( -10.2% ),57410100,9597,9
2018-12-14,221,3.2%,233,1.3%,28600,1.0%,14.4%,25774000,308200 ( 1.2% ),4129,-240 ( -5.5% ),83184100,13726,11
2018-12-15,330,4.5%,400,2%,49582,1.6%,30.7%,117653400,91879400 ( 356.5% ),15243,11114 ( 269.2% ),200837500,28969,9
2018-12-16,335,4.6%,417,2.2%,51693,1.7%,27.4%,113760000,-3893400 ( -3.3% ),14179,-1064 ( -7.0% ),314597500,43148,9
2018-12-17,170,2.8%,177,1%,22669,0.8%,11.0%,14995700,-98764300 ( -86.8% ),2498,-11681 ( -82.4% ),329593200,45646,10
2018-12-18,210,3.2%,221,1.2%,28716,1.0%,15.7%,26473400,11477700 ( 76.5% ),4521,2023 ( 81.0% ),356066600,50167,12
2018-12-19,30,0.5%,30,0.2%,3000,0.1%,50.7%,8085000,-18388400 ( -69.5% ),1520,-3001 ( -66.4% ),364151600,51687,15
2018-12-20,33,0.5%,36,0.2%,4169,0.2%,47.1%,10868300,2783300 ( 34.4% ),1965,445 ( 29.3% ),375019900,53652,15
2018-12-21,29,0.4%,29,0.2%,3434,0.1%,48.3%,8931000,-1937300 ( -17.8% ),1658,-307 ( -15.6% ),383950900,55310,13
2018-12-22,13,0.2%,15,0.1%,1291,0.0%,34.2%,3814800,-5116200 ( -57.3% ),441,-1217 ( -73.4% ),387765700,55751,25
2018-12-23,11,0.2%,14,0.1%,1068,0.0%,24.2%,1871500,-1943300 ( -50.9% ),258,-183 ( -41.5% ),389637200,56009,30
2018-12-24,13,0.2%,15,0.1%,1519,0.1%,41.5%,3445800,1574300 ( 84.1% ),630,372 ( 144.2% ),393083000,56639,19
2018-12-25,10,0.1%,11,0.1%,791,0.0%,48.4%,2661800,-784000 ( -22.8% ),383,-247 ( -39.2% ),395744800,57022,30
2018-12-26,3,0.0%,4,0%,267,0.0%,46.4%,784000,-1877800 ( -70.5% ),124,-259 ( -67.6% ),396528800,57146,39
2018-12-27,4,0.1%,5,0%,422,0.0%,65.6%,1589000,805000 ( 102.7% ),277,153 ( 123.4% ),398117800,57423,36
2018-12-28,3,0.0%,3,0%,334,0.0%,46.7%,915000,-674000 ( -42.4% ),156,-121 ( -43.7% ),399032800,57579,42
2019-01-02,1,0.0%,1,0%,41,0.0%,7.3%,15000,15000 ( 100.0% ),3,3 ( 100.0% ),399047800,57582,75
2019-01-10,1,0.0%,1,0%,120,0.0%,76.7%,470000,470000 ( 100.0% ),92,92 ( 100.0% ),399517800,57674,46
