날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-16,1,0.0%,1,0%,213,0.0%,96.2%,1601000,1601000 ( 100.0% ),205,205 ( 100.0% ),1601000,205,32
2016-12-19,1,0.0%,1,0%,282,0.0%,100.0%,1974000,1974000 ( 100.0% ),282,282 ( 100.0% ),3575000,487,24
2016-12-21,3,0.1%,3,0%,716,0.0%,98.9%,5764000,5764000 ( 100.0% ),708,708 ( 100.0% ),9339000,1195,15
2016-12-22,1,0.0%,1,0%,240,0.0%,100.0%,2216000,-3548000 ( -61.6% ),240,-468 ( -66.1% ),11555000,1435,27
2016-12-27,1,0.0%,1,0%,118,0.0%,66.1%,678000,678000 ( 100.0% ),78,78 ( 100.0% ),12233000,1513,44
2016-12-29,2,0.0%,2,0%,315,0.0%,81.6%,2360000,2360000 ( 100.0% ),257,257 ( 100.0% ),14593000,1770,30
2017-01-03,27,0.5%,29,0.2%,4288,0.2%,38.9%,13289500,13289500 ( 100.0% ),1668,1668 ( 100.0% ),27882500,3438,12
2017-01-04,371,6.2%,910,5.3%,120229,4.3%,16.3%,152788900,139499400 ( 1049.7% ),19575,17907 ( 1073.6% ),180671400,23013,8
2017-01-05,381,6.2%,884,5.1%,116534,4.1%,14.2%,128918100,-23870800 ( -15.6% ),16513,-3062 ( -15.6% ),309589500,39526,8
2017-01-06,382,6.0%,849,4.8%,111345,3.9%,13.4%,128854930,-63170 ( 0.0% ),14947,-1566 ( -9.5% ),438444430,54473,9
2017-01-07,393,6.1%,730,4%,95284,3.2%,19.4%,161276530,32421600 ( 25.2% ),18450,3503 ( 23.4% ),599720960,72923,10
2017-01-08,379,5.9%,666,3.7%,86869,3.0%,15.6%,118774800,-42501730 ( -26.4% ),13516,-4934 ( -26.7% ),718495760,86439,10
2017-01-09,369,6.3%,750,4.4%,95593,3.4%,8.5%,63408000,-55366800 ( -46.6% ),8165,-5351 ( -39.6% ),781903760,94604,9
2017-01-10,375,6.2%,739,4.3%,94439,3.4%,8.8%,64188500,780500 ( 1.2% ),8330,165 ( 2.0% ),846092260,102934,9
2017-01-11,125,2.3%,205,1.2%,23152,0.8%,9.3%,16255400,-47933100 ( -74.7% ),2147,-6183 ( -74.2% ),862347660,105081,16
2017-01-12,63,1.1%,94,0.6%,10184,0.4%,13.5%,10713100,-5542300 ( -34.1% ),1378,-769 ( -35.8% ),873060760,106459,18
2017-01-13,58,1.0%,87,0.5%,9155,0.3%,13.7%,10645500,-67600 ( -0.6% ),1256,-122 ( -8.9% ),883706260,107715,18
2017-01-14,65,1.1%,94,0.5%,10580,0.4%,19.9%,18098000,7452500 ( 70.0% ),2103,847 ( 67.4% ),901804260,109818,16
2017-01-15,55,0.9%,83,0.5%,8993,0.3%,13.1%,10047500,-8050500 ( -44.5% ),1177,-926 ( -44.0% ),911851760,110995,18
