날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-22,1,0.0%,1,0%,247,0.0%,100.0%,1482000,1482000 ( 100.0% ),247,247 ( 100.0% ),1482000,247,27
2018-01-23,4,0.1%,6,0%,1835,0.1%,88.1%,14544000,13062000 ( 881.4% ),1616,1369 ( 554.3% ),16026000,1863,13
2018-01-25,8,0.1%,8,0%,1866,0.1%,99.2%,16266000,16266000 ( 100.0% ),1852,1852 ( 100.0% ),32292000,3715,13
2018-01-26,1,0.0%,1,0%,144,0.0%,100.0%,1440000,-14826000 ( -91.1% ),144,-1708 ( -92.2% ),33732000,3859,42
2018-01-29,8,0.1%,11,0.1%,3835,0.1%,97.4%,18688000,18688000 ( 100.0% ),3737,3737 ( 100.0% ),52420000,7596,11
2018-01-30,3,0.0%,4,0%,1202,0.0%,81.9%,7880000,-10808000 ( -57.8% ),985,-2752 ( -73.6% ),60300000,8581,19
2018-01-31,1099,18.2%,6347,34%,1252223,41.3%,21.1%,1617241600,1609361600 ( 20423.4% ),264711,263726 ( 26774.2% ),1677541600,273292,1
2018-02-01,1053,16.8%,5998,32.5%,1189845,39.7%,8.6%,763114000,-854127600 ( -52.8% ),101924,-162787 ( -61.5% ),2440655600,375216,1
2018-02-02,1051,16.3%,5717,30.6%,1132930,37.5%,9.1%,862511977,99397977 ( 13.0% ),103337,1413 ( 1.4% ),3303167577,478553,1
2018-02-03,946,13.6%,5171,26.5%,1031080,32.7%,19.8%,1716622380,854110403 ( 99.0% ),204075,100738 ( 97.5% ),5019789957,682628,1
2018-02-04,916,13.3%,4735,25%,948759,31.0%,17.3%,1373258900,-343363480 ( -20.0% ),164349,-39726 ( -19.5% ),6393048857,846977,2
2018-02-05,839,13.9%,4075,23.9%,791957,28.6%,4.5%,265169200,-1108089700 ( -80.7% ),35464,-128885 ( -78.4% ),6658218057,882441,2
2018-02-06,839,13.4%,3802,22.6%,726183,26.5%,4.2%,224531800,-40637400 ( -15.3% ),30414,-5050 ( -14.2% ),6882749857,912855,2
2018-02-07,766,12.4%,3108,18.6%,588595,21.7%,3.8%,165639100,-58892700 ( -26.2% ),22656,-7758 ( -25.5% ),7048388957,935511,4
2018-02-08,535,8.6%,1333,7.7%,189130,6.7%,8.0%,123357300,-42281800 ( -25.5% ),15130,-7526 ( -33.2% ),7171746257,950641,5
2018-02-09,500,7.9%,1265,7.1%,176064,6.1%,4.1%,59486924,-63870376 ( -51.8% ),7287,-7843 ( -51.8% ),7231233181,957928,8
2018-02-10,492,7.3%,1060,5.6%,144175,4.7%,7.3%,87696231,28209307 ( 47.4% ),10545,3258 ( 44.7% ),7318929412,968473,9
2018-02-11,465,7.0%,951,5.2%,127012,4.3%,7.6%,80114300,-7581931 ( -8.6% ),9654,-891 ( -8.4% ),7399043712,978127,9
2018-02-12,424,7.0%,811,4.9%,114091,4.2%,3.0%,25764500,-54349800 ( -67.8% ),3459,-6195 ( -64.2% ),7424808212,981586,9
2018-02-13,434,7.0%,848,5%,116569,4.3%,3.2%,27849900,2085400 ( 8.1% ),3721,262 ( 7.6% ),7452658112,985307,9
2018-02-14,12,0.2%,19,0.1%,1710,0.1%,19.0%,2649000,-25200900 ( -90.5% ),325,-3396 ( -91.3% ),7455307112,985632,23
2018-02-15,11,0.2%,13,0.1%,1061,0.0%,21.9%,1964500,-684500 ( -25.8% ),232,-93 ( -28.6% ),7457271612,985864,31
2018-02-16,8,0.1%,9,0%,789,0.0%,11.0%,745000,-1219500 ( -62.1% ),87,-145 ( -62.5% ),7458016612,985951,39
2018-02-17,9,0.1%,13,0.1%,989,0.0%,16.2%,1226000,481000 ( 64.6% ),160,73 ( 83.9% ),7459242612,986111,38
2018-02-18,10,0.2%,13,0.1%,1202,0.0%,20.5%,1796500,570500 ( 46.5% ),247,87 ( 54.4% ),7461039112,986358,33
2018-02-19,6,0.1%,8,0%,766,0.0%,9.4%,599000,-1197500 ( -66.7% ),72,-175 ( -70.9% ),7461638112,986430,50
2018-02-20,9,0.2%,10,0.1%,765,0.0%,6.0%,342000,-257000 ( -42.9% ),46,-26 ( -36.1% ),7461980112,986476,63
2018-02-21,9,0.2%,10,0.1%,815,0.0%,7.1%,427000,85000 ( 24.9% ),58,12 ( 26.1% ),7462407112,986534,60
2018-02-22,1,0.0%,1,0%,81,0.0%,21.0%,140000,-287000 ( -67.2% ),17,-41 ( -70.7% ),7462547112,986551,82
