날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-06,3,0.1%,5,0%,996,0.0%,64.7%,4604000,4604000 ( 100.0% ),644,644 ( 100.0% ),4604000,644,19
2016-04-14,1,0.0%,1,0%,8,0.0%,100.0%,64000,64000 ( 100.0% ),8,8 ( 100.0% ),4668000,652,74
2016-04-15,1,0.0%,1,0%,151,0.0%,100.0%,1359000,1295000 ( 2023.4% ),151,143 ( 1787.5% ),6027000,803,33
2016-05-04,3,0.1%,5,0%,648,0.0%,100.0%,5248000,5248000 ( 100.0% ),648,648 ( 100.0% ),11275000,1451,18
2016-05-11,4,0.1%,5,0%,957,0.0%,100.0%,7656000,7656000 ( 100.0% ),957,957 ( 100.0% ),18931000,2408,12
2016-05-12,380,8.8%,1082,7.8%,136571,6.0%,11.3%,113785400,106129400 ( 1386.2% ),15373,14416 ( 1506.4% ),132716400,17781,4
2016-05-13,386,8.4%,1049,7.4%,131908,5.6%,10.9%,114323300,537900 ( 0.5% ),14324,-1049 ( -6.8% ),247039700,32105,5
2016-05-14,385,7.6%,808,5.4%,100649,4.1%,13.4%,112856500,-1466800 ( -1.3% ),13498,-826 ( -5.8% ),359896200,45603,6
2016-05-15,380,7.5%,734,5%,91998,3.9%,12.1%,92660100,-20196400 ( -17.9% ),11088,-2410 ( -17.9% ),452556300,56691,7
2016-05-16,387,9.0%,794,5.9%,100970,4.5%,5.2%,36187000,-56473100 ( -60.9% ),5207,-5881 ( -53.0% ),488743300,61898,6
2016-05-17,345,8.0%,710,5.3%,88561,4.0%,4.6%,29330500,-6856500 ( -18.9% ),4117,-1090 ( -20.9% ),518073800,66015,6
2016-05-18,361,8.3%,680,5.1%,85542,3.9%,4.8%,29204600,-125900 ( -0.4% ),4114,-3 ( -0.1% ),547278400,70129,6
2016-05-19,29,0.6%,35,0.2%,3440,0.1%,31.7%,5907000,-23297600 ( -79.8% ),1089,-3025 ( -73.5% ),553185400,71218,13
2016-05-20,24,0.5%,30,0.2%,2685,0.1%,10.6%,2076000,-3831000 ( -64.9% ),285,-804 ( -73.8% ),555261400,71503,22
2016-05-21,13,0.2%,16,0.1%,1689,0.1%,16.7%,1758000,-318000 ( -15.3% ),282,-3 ( -1.1% ),557019400,71785,29
2016-05-22,15,0.3%,16,0.1%,1612,0.1%,15.0%,1541000,-217000 ( -12.3% ),242,-40 ( -14.2% ),558560400,72027,28
2016-05-23,17,0.4%,23,0.2%,2232,0.1%,6.0%,818000,-723000 ( -46.9% ),134,-108 ( -44.6% ),559378400,72161,38
2016-05-24,21,0.5%,28,0.2%,2494,0.1%,8.6%,1353500,535500 ( 65.5% ),215,81 ( 60.4% ),560731900,72376,30
2016-05-25,7,0.1%,7,0.1%,476,0.0%,9.2%,221000,-1132500 ( -83.7% ),44,-171 ( -79.5% ),560952900,72420,65
2016-05-26,25,0.5%,28,0.2%,4208,0.2%,30.1%,8008000,7787000 ( 3523.5% ),1267,1223 ( 2779.5% ),568960900,73687,12
2016-05-27,16,0.3%,16,0.1%,2407,0.1%,35.8%,6845000,-1163000 ( -14.5% ),861,-406 ( -32.0% ),575805900,74548,17
2016-05-28,3,0.1%,3,0%,492,0.0%,4.9%,205000,-6640000 ( -97.0% ),24,-837 ( -97.2% ),576010900,74572,85
2016-05-29,2,0.0%,2,0%,316,0.0%,2.8%,76000,-129000 ( -62.9% ),9,-15 ( -62.5% ),576086900,74581,98
2016-05-30,17,0.4%,17,0.1%,2374,0.1%,32.6%,5535000,5459000 ( 7182.9% ),773,764 ( 8488.9% ),581621900,75354,14
2016-05-31,16,0.3%,16,0.1%,2404,0.1%,38.1%,6484000,949000 ( 17.1% ),916,143 ( 18.5% ),588105900,76270,14
2016-06-01,16,0.3%,16,0.1%,2489,0.1%,29.6%,5506000,-978000 ( -15.1% ),737,-179 ( -19.5% ),593611900,77007,15
2016-06-02,1,0.0%,1,0%,144,0.0%,27.8%,280000,-5226000 ( -94.9% ),40,-697 ( -94.6% ),593891900,77047,59
2016-06-08,1,0.0%,1,0%,96,0.0%,30.2%,145000,145000 ( 100.0% ),29,29 ( 100.0% ),594036900,77076,62
2016-06-13,1,0.0%,2,0%,424,0.0%,1.9%,24000,24000 ( 100.0% ),8,8 ( 100.0% ),594060900,77084,60
2016-06-15,1,0.0%,1,0%,117,0.0%,34.2%,200000,200000 ( 100.0% ),40,40 ( 100.0% ),594260900,77124,54
