날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-15,1,0.0%,1,0%,255,0.0%,100.0%,2295000,2295000 ( 100.0% ),255,255 ( 100.0% ),2295000,255,25
2016-04-18,3,0.1%,3,0%,700,0.0%,100.0%,5600000,5600000 ( 100.0% ),700,700 ( 100.0% ),7895000,955,13
2016-04-19,4,0.1%,4,0%,852,0.0%,100.0%,6816000,1216000 ( 21.7% ),852,152 ( 21.7% ),14711000,1807,14
2016-04-25,2,0.0%,2,0%,764,0.0%,100.0%,6112000,6112000 ( 100.0% ),764,764 ( 100.0% ),20823000,2571,15
2016-04-26,4,0.1%,4,0%,669,0.0%,99.4%,5320000,-792000 ( -13.0% ),665,-99 ( -13.0% ),26143000,3236,19
2016-05-09,4,0.1%,4,0%,787,0.0%,100.0%,6296000,6296000 ( 100.0% ),787,787 ( 100.0% ),32439000,4023,17
2016-05-10,4,0.1%,4,0%,883,0.0%,100.0%,7064000,768000 ( 12.2% ),883,96 ( 12.2% ),39503000,4906,18
2016-05-12,1,0.0%,1,0%,118,0.0%,22.0%,207000,207000 ( 100.0% ),26,26 ( 100.0% ),39710000,4932,68
2016-05-13,1,0.0%,1,0%,166,0.0%,10.2%,135000,-72000 ( -34.8% ),17,-9 ( -34.6% ),39845000,4949,72
2016-05-16,4,0.1%,4,0%,798,0.0%,100.0%,6384000,6384000 ( 100.0% ),798,798 ( 100.0% ),46229000,5747,8
2016-05-17,6,0.1%,6,0%,1058,0.0%,91.5%,7733000,1349000 ( 21.1% ),968,170 ( 21.3% ),53962000,6715,11
2016-05-19,1,0.0%,1,0%,108,0.0%,67.6%,711000,711000 ( 100.0% ),73,73 ( 100.0% ),54673000,6788,49
2016-05-20,3,0.1%,3,0%,516,0.0%,100.0%,5160000,4449000 ( 625.7% ),516,443 ( 606.8% ),59833000,7304,17
2016-05-21,1,0.0%,1,0%,118,0.0%,55.1%,543000,-4617000 ( -89.5% ),65,-451 ( -87.4% ),60376000,7369,52
2016-05-22,4,0.1%,4,0%,524,0.0%,34.4%,1535500,992500 ( 182.8% ),180,115 ( 176.9% ),61911500,7549,31
2016-05-23,1,0.0%,1,0%,332,0.0%,100.0%,2656000,1120500 ( 73.0% ),332,152 ( 84.4% ),64567500,7881,19
2016-05-24,1,0.0%,1,0%,160,0.0%,100.0%,1280000,-1376000 ( -51.8% ),160,-172 ( -51.8% ),65847500,8041,35
2016-05-25,217,4.2%,385,2.8%,51698,2.2%,8.6%,28018600,26738600 ( 2089.0% ),4458,4298 ( 2686.3% ),93866100,12499,8
2016-05-26,240,4.9%,463,3.3%,61643,2.7%,9.0%,40955100,12936500 ( 46.2% ),5547,1089 ( 24.4% ),134821200,18046,7
2016-05-27,245,4.8%,473,3.3%,62236,2.6%,11.1%,56500036,15544936 ( 38.0% ),6912,1365 ( 24.6% ),191321236,24958,7
2016-05-28,228,4.3%,342,2.3%,44958,1.8%,21.4%,80976152,24476116 ( 43.3% ),9635,2723 ( 39.4% ),272297388,34593,8
2016-05-29,233,4.4%,341,2.3%,45097,1.9%,21.3%,81132500,156348 ( 0.2% ),9586,-49 ( -0.5% ),353429888,44179,8
2016-05-30,254,5.3%,474,3.4%,63187,2.8%,10.0%,46728200,-34404300 ( -42.4% ),6349,-3237 ( -33.8% ),400158088,50528,6
2016-05-31,255,5.2%,467,3.4%,61994,2.7%,10.8%,48869600,2141400 ( 4.6% ),6688,339 ( 5.3% ),449027688,57216,6
2016-06-01,93,2.0%,140,1%,19188,0.8%,11.1%,15676400,-33193200 ( -67.9% ),2133,-4555 ( -68.1% ),464704088,59349,12
2016-06-02,86,1.8%,116,0.8%,15847,0.7%,10.0%,11474500,-4201900 ( -26.8% ),1579,-554 ( -26.0% ),476178588,60928,12
2016-06-03,84,1.7%,113,0.8%,15494,0.6%,13.5%,17327000,5852500 ( 51.0% ),2085,506 ( 32.0% ),493505588,63013,11
2016-06-04,76,1.4%,94,0.6%,13045,0.5%,21.6%,23961500,6634500 ( 38.3% ),2823,738 ( 35.4% ),517467088,65836,14
2016-06-05,69,1.3%,87,0.6%,12030,0.5%,28.3%,29184800,5223300 ( 21.8% ),3408,585 ( 20.7% ),546651888,69244,14
2016-06-06,65,1.2%,81,0.5%,11369,0.5%,34.5%,33099700,3914900 ( 13.4% ),3925,517 ( 15.2% ),579751588,73169,13
2016-06-07,72,1.5%,98,0.7%,13676,0.6%,8.2%,8220500,-24879200 ( -75.2% ),1121,-2804 ( -71.4% ),587972088,74290,14
2016-06-08,74,1.6%,102,0.7%,14309,0.6%,8.8%,9268500,1048000 ( 12.7% ),1255,134 ( 12.0% ),597240588,75545,15
2016-06-09,41,0.8%,56,0.4%,7988,0.3%,10.7%,6381400,-2887100 ( -31.1% ),856,-399 ( -31.8% ),603621988,76401,16
2016-06-10,43,0.9%,53,0.3%,7999,0.3%,10.3%,6915400,534000 ( 8.4% ),822,-34 ( -4.0% ),610537388,77223,14
2016-06-11,19,0.3%,25,0.2%,4008,0.1%,20.8%,7227000,311600 ( 4.5% ),832,10 ( 1.2% ),617764388,78055,17
2016-06-12,15,0.3%,22,0.1%,3874,0.1%,19.3%,6420000,-807000 ( -11.2% ),747,-85 ( -10.2% ),624184388,78802,18
2016-06-13,33,0.7%,44,0.3%,6815,0.3%,8.2%,4177500,-2242500 ( -34.9% ),556,-191 ( -25.6% ),628361888,79358,14
2016-06-14,35,0.7%,50,0.3%,7688,0.3%,8.0%,4682500,505000 ( 12.1% ),618,62 ( 11.2% ),633044388,79976,15
2016-06-15,33,0.7%,46,0.3%,6976,0.3%,8.0%,4161000,-521500 ( -11.1% ),555,-63 ( -10.2% ),637205388,80531,16
2016-06-16,7,0.1%,10,0.1%,1996,0.1%,12.1%,1851500,-2309500 ( -55.5% ),241,-314 ( -56.6% ),639056888,80772,32
2016-06-17,12,0.2%,14,0.1%,1929,0.1%,27.8%,3497000,1645500 ( 88.9% ),537,296 ( 122.8% ),642553888,81309,18
2016-06-18,9,0.2%,15,0.1%,1794,0.1%,27.8%,4436000,939000 ( 26.9% ),499,-38 ( -7.1% ),646989888,81808,21
2016-06-19,10,0.2%,13,0.1%,2461,0.1%,16.9%,3739000,-697000 ( -15.7% ),416,-83 ( -16.6% ),650728888,82224,21
2016-06-20,6,0.1%,10,0.1%,1972,0.1%,11.9%,1913000,-1826000 ( -48.8% ),234,-182 ( -43.8% ),652641888,82458,23
2016-06-21,7,0.1%,12,0.1%,1511,0.1%,17.9%,2211000,298000 ( 15.6% ),271,37 ( 15.8% ),654852888,82729,24
2016-06-22,8,0.2%,12,0.1%,2223,0.1%,11.2%,1952000,-259000 ( -11.7% ),249,-22 ( -8.1% ),656804888,82978,24
2016-06-23,5,0.1%,9,0.1%,1495,0.1%,29.4%,3190000,1238000 ( 63.4% ),440,191 ( 76.7% ),659994888,83418,23
2016-06-24,5,0.1%,9,0.1%,594,0.0%,44.9%,2243000,-947000 ( -29.7% ),267,-173 ( -39.3% ),662237888,83685,25
2016-06-25,7,0.1%,12,0.1%,927,0.0%,45.0%,3761000,1518000 ( 67.7% ),417,150 ( 56.2% ),665998888,84102,25
