날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-02,1,0.0%,1,0%,274,0.0%,100.0%,2466000,2466000 ( 100.0% ),274,274 ( 100.0% ),2466000,274,33
2016-01-04,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),5674000,675,18
2016-01-06,3,0.1%,3,0%,883,0.0%,100.0%,7064000,7064000 ( 100.0% ),883,883 ( 100.0% ),12738000,1558,17
2016-01-12,17,0.3%,17,0.1%,3639,0.1%,39.2%,14563000,14563000 ( 100.0% ),1426,1426 ( 100.0% ),27301000,2984,16
2016-01-13,11,0.2%,11,0.1%,3163,0.1%,100.0%,25304000,10741000 ( 73.8% ),3163,1737 ( 121.8% ),52605000,6147,14
2016-01-14,83,1.4%,83,0.5%,14064,0.5%,75.5%,89263000,63959000 ( 252.8% ),10614,7451 ( 235.6% ),141868000,16761,7
2016-01-15,12,0.2%,12,0.1%,2790,0.1%,100.0%,26109000,-63154000 ( -70.8% ),2790,-7824 ( -73.7% ),167977000,19551,14
2016-01-18,18,0.3%,18,0.1%,4569,0.2%,95.8%,34566000,34566000 ( 100.0% ),4377,4377 ( 100.0% ),202543000,23928,8
2016-01-19,19,0.3%,19,0.1%,4194,0.2%,16.8%,5720000,-28846000 ( -83.5% ),706,-3671 ( -83.9% ),208263000,24634,25
2016-01-20,2,0.0%,2,0%,302,0.0%,105.0%,2853000,-2867000 ( -50.1% ),317,-389 ( -55.1% ),211116000,24951,31
2016-01-21,841,16.1%,4150,27.5%,828025,33.2%,9.5%,571183100,568330100 ( 19920.4% ),78467,78150 ( 24653.0% ),782299100,103418,1
2016-01-22,851,16.0%,4163,27%,831781,32.8%,10.1%,646559917,75376817 ( 13.2% ),84019,5552 ( 7.1% ),1428859017,187437,1
2016-01-23,855,14.7%,4121,25.4%,823232,30.9%,20.5%,1328269714,681709797 ( 105.4% ),168534,84515 ( 100.6% ),2757128731,355971,2
2016-01-24,840,14.7%,3891,25%,781094,30.5%,18.7%,1166565700,-161704014 ( -12.2% ),146119,-22415 ( -13.3% ),3923694431,502090,2
