날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-03,1,0.0%,1,0%,132,0.0%,100.0%,1056000,1056000 ( 100.0% ),132,132 ( 100.0% ),1056000,132,31
2018-01-18,1,0.0%,1,0%,132,0.0%,100.0%,1056000,1056000 ( 100.0% ),132,132 ( 100.0% ),2112000,264,43
2018-01-25,1,0.0%,1,0%,210,0.0%,100.0%,1680000,1680000 ( 100.0% ),210,210 ( 100.0% ),3792000,474,33
2018-02-06,1,0.0%,1,0%,298,0.0%,78.9%,1880000,1880000 ( 100.0% ),235,235 ( 100.0% ),5672000,709,34
2018-02-20,3,0.1%,3,0%,567,0.0%,88.0%,4491000,4491000 ( 100.0% ),499,499 ( 100.0% ),10163000,1208,23
2018-02-21,1,0.0%,1,0%,255,0.0%,100.0%,2040000,-2451000 ( -54.6% ),255,-244 ( -48.9% ),12203000,1463,33
2018-02-22,1,0.0%,1,0%,285,0.0%,100.0%,2280000,240000 ( 11.8% ),285,30 ( 11.8% ),14483000,1748,27
2018-02-28,3,0.0%,3,0%,324,0.0%,100.0%,2702000,2702000 ( 100.0% ),324,324 ( 100.0% ),17185000,2072,31
2018-03-06,5,0.1%,5,0%,649,0.0%,63.0%,2501500,2501500 ( 100.0% ),409,409 ( 100.0% ),19686500,2481,20
2018-03-07,283,5.7%,745,4.3%,108070,3.9%,8.5%,70006000,67504500 ( 2698.6% ),9193,8784 ( 2147.7% ),89692500,11674,7
2018-03-08,289,5.5%,618,3.6%,85259,3.0%,8.5%,54824200,-15181800 ( -21.7% ),7232,-1961 ( -21.3% ),144516700,18906,8
2018-03-09,287,5.3%,591,3.3%,82106,2.8%,5.5%,38070300,-16753900 ( -30.6% ),4532,-2700 ( -37.3% ),182587000,23438,9
2018-03-10,301,5.0%,582,3%,75407,2.4%,11.1%,69100500,31030200 ( 81.5% ),8373,3841 ( 84.8% ),251687500,31811,9
2018-03-11,287,4.8%,552,3%,70028,2.3%,11.7%,67293900,-1806600 ( -2.6% ),8192,-181 ( -2.2% ),318981400,40003,8
2018-03-12,266,5.1%,500,3%,68199,2.5%,4.1%,20506900,-46787000 ( -69.5% ),2777,-5415 ( -66.1% ),339488300,42780,10
2018-03-13,271,5.0%,491,3%,65358,2.4%,4.1%,19408800,-1098100 ( -5.4% ),2688,-89 ( -3.2% ),358897100,45468,11
2018-03-14,50,1.0%,67,0.4%,8685,0.3%,7.3%,4691700,-14717100 ( -75.8% ),636,-2052 ( -76.3% ),363588800,46104,18
2018-03-15,36,0.7%,44,0.3%,5641,0.2%,6.1%,2677900,-2013800 ( -42.9% ),342,-294 ( -46.2% ),366266700,46446,25
2018-03-16,36,0.6%,43,0.2%,5376,0.2%,7.3%,3294000,616100 ( 23.0% ),393,51 ( 14.9% ),369560700,46839,22
2018-03-17,29,0.5%,35,0.2%,4145,0.1%,11.2%,3743900,449900 ( 13.7% ),464,71 ( 18.1% ),373304600,47303,28
2018-03-18,27,0.4%,34,0.2%,4117,0.1%,10.4%,3534700,-209200 ( -5.6% ),429,-35 ( -7.5% ),376839300,47732,27
2018-03-19,27,0.5%,35,0.2%,4624,0.2%,3.4%,1141000,-2393700 ( -67.7% ),157,-272 ( -63.4% ),377980300,47889,30
2018-03-20,30,0.6%,35,0.2%,4547,0.2%,4.3%,1455600,314600 ( 27.6% ),197,40 ( 25.5% ),379435900,48086,34
2018-03-21,3,0.1%,3,0%,468,0.0%,3.6%,130000,-1325600 ( -91.1% ),17,-180 ( -91.4% ),379565900,48103,67
2018-03-22,7,0.1%,7,0%,1140,0.0%,20.4%,1555000,1425000 ( 1096.2% ),233,216 ( 1270.6% ),381120900,48336,31
2018-03-23,8,0.1%,8,0%,1339,0.0%,22.3%,2032300,477300 ( 30.7% ),299,66 ( 28.3% ),383153200,48635,26
2018-03-24,3,0.0%,3,0%,573,0.0%,11.7%,526000,-1506300 ( -74.1% ),67,-232 ( -77.6% ),383679200,48702,60
2018-03-25,3,0.0%,3,0%,689,0.0%,10.4%,560000,34000 ( 6.5% ),72,5 ( 7.5% ),384239200,48774,57
2018-03-26,8,0.2%,8,0%,1577,0.1%,13.1%,1630800,1070800 ( 191.2% ),206,134 ( 186.1% ),385870000,48980,24
2018-03-27,7,0.1%,7,0%,1509,0.1%,22.5%,2706800,1076000 ( 66.0% ),340,134 ( 65.0% ),388576800,49320,24
2018-03-28,6,0.1%,6,0%,1161,0.0%,25.2%,2335500,-371300 ( -13.7% ),292,-48 ( -14.1% ),390912300,49612,23
