날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-08-17,3,0.1%,5,0%,663,0.0%,100.0%,5272000,5272000 ( 100.0% ),663,663 ( 100.0% ),5272000,663,21
2016-08-18,1,0.0%,1,0%,258,0.0%,100.0%,2064000,-3208000 ( -60.8% ),258,-405 ( -61.1% ),7336000,921,33
2016-08-22,7,0.1%,7,0%,1401,0.1%,100.0%,11208000,11208000 ( 100.0% ),1401,1401 ( 100.0% ),18544000,2322,16
2016-08-24,4,0.1%,6,0%,597,0.0%,83.8%,2500000,2500000 ( 100.0% ),500,500 ( 100.0% ),21044000,2822,27
2016-08-25,338,5.7%,899,5.4%,116524,4.2%,10.5%,90324800,87824800 ( 3513.0% ),12249,11749 ( 2349.8% ),111368800,15071,10
2016-08-26,330,5.4%,853,5%,109485,3.9%,9.7%,87244200,-3080600 ( -3.4% ),10609,-1640 ( -13.4% ),198613000,25680,10
2016-08-27,336,5.1%,691,3.9%,88750,3.0%,14.9%,110642900,23398700 ( 26.8% ),13195,2586 ( 24.4% ),309255900,38875,10
2016-08-28,337,5.1%,653,3.8%,83188,2.9%,13.8%,95968500,-14674400 ( -13.3% ),11483,-1712 ( -13.0% ),405224400,50358,10
2016-08-29,309,5.4%,668,4.2%,84806,3.2%,5.9%,36081700,-59886800 ( -62.4% ),4975,-6508 ( -56.7% ),441306100,55333,10
2016-08-30,312,5.3%,660,4.1%,83941,3.2%,6.9%,40979700,4898000 ( 13.6% ),5778,803 ( 16.1% ),482285800,61111,10
2016-08-31,114,1.9%,167,1%,20920,0.8%,7.4%,9580500,-31399200 ( -76.6% ),1539,-4239 ( -73.4% ),491866300,62650,20
2016-09-01,64,1.1%,94,0.6%,10945,0.4%,10.5%,7553000,-2027500 ( -21.2% ),1152,-387 ( -25.1% ),499419300,63802,21
2016-09-02,60,1.0%,90,0.5%,10407,0.4%,5.4%,4313300,-3239700 ( -42.9% ),564,-588 ( -51.0% ),503732600,64366,27
2016-09-03,58,0.9%,83,0.5%,9375,0.3%,10.1%,7513800,3200500 ( 74.2% ),949,385 ( 68.3% ),511246400,65315,28
2016-09-04,59,0.9%,80,0.5%,8996,0.3%,9.0%,6464000,-1049800 ( -14.0% ),812,-137 ( -14.4% ),517710400,66127,30
2016-09-05,51,0.9%,70,0.5%,8047,0.3%,3.7%,2170500,-4293500 ( -66.4% ),297,-515 ( -63.4% ),519880900,66424,35
2016-09-06,50,0.9%,69,0.5%,7914,0.3%,3.9%,2283000,112500 ( 5.2% ),309,12 ( 4.0% ),522163900,66733,37
2016-09-07,16,0.3%,16,0.1%,1758,0.1%,7.5%,673000,-1610000 ( -70.5% ),132,-177 ( -57.3% ),522836900,66865,45
2016-09-08,2,0.0%,2,0%,245,0.0%,0.8%,12000,-661000 ( -98.2% ),2,-130 ( -98.5% ),522848900,66867,98
2016-09-09,2,0.0%,2,0%,245,0.0%,0.8%,12000,0 ( 0.0% ),2,0 ( 0.0% ),522860900,66869,96
2016-09-10,1,0.0%,1,0%,41,0.0%,9.8%,20000,8000 ( 66.7% ),4,2 ( 100.0% ),522880900,66873,103
2016-09-11,1,0.0%,1,0%,41,0.0%,4.9%,10000,-10000 ( -50.0% ),2,-2 ( -50.0% ),522890900,66875,105
2016-09-12,2,0.0%,2,0%,245,0.0%,0.8%,12000,2000 ( 20.0% ),2,0 ( 0.0% ),522902900,66877,100
2016-09-13,2,0.0%,2,0%,245,0.0%,0.8%,12000,0 ( 0.0% ),2,0 ( 0.0% ),522914900,66879,112
2016-09-19,2,0.0%,2,0%,245,0.0%,0.8%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),522926900,66881,89
2016-09-20,2,0.0%,2,0%,245,0.0%,0.8%,12000,0 ( 0.0% ),2,0 ( 0.0% ),522938900,66883,99
