날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-09-18,7,0.1%,9,0.1%,2832,0.1%,92.3%,21016000,21016000 ( 100.0% ),2613,2613 ( 100.0% ),21016000,2613,10
2018-09-19,2,0.0%,2,0%,214,0.0%,90.7%,1464000,-19552000 ( -93.0% ),194,-2419 ( -92.6% ),22480000,2807,23
2018-09-20,12,0.2%,12,0.1%,2158,0.1%,90.7%,17712000,16248000 ( 1109.8% ),1958,1764 ( 909.3% ),40192000,4765,11
2018-09-23,5,0.1%,10,0%,1876,0.1%,82.8%,14883200,14883200 ( 100.0% ),1553,1553 ( 100.0% ),55075200,6318,12
2018-09-26,351,5.8%,1856,9.3%,306361,9.9%,53.4%,1192611300,1192611300 ( 100.0% ),163644,163644 ( 100.0% ),1247686500,169962,4
2018-09-27,344,6.6%,1813,9.8%,297171,10.3%,12.0%,299580800,-893030500 ( -74.9% ),35733,-127911 ( -78.2% ),1547267300,205695,4
2018-09-28,349,6.6%,1796,9.6%,291509,10.0%,12.7%,338076300,38495500 ( 12.8% ),36922,1189 ( 3.3% ),1885343600,242617,4
2018-09-29,343,5.9%,1736,8.9%,285521,9.4%,25.7%,673677000,335600700 ( 99.3% ),73455,36533 ( 98.9% ),2559020600,316072,4
2018-09-30,330,5.7%,1651,8.7%,270932,9.1%,22.8%,564038000,-109639000 ( -16.3% ),61671,-11784 ( -16.0% ),3123058600,377743,4
2018-10-01,320,6.7%,1533,8.9%,237980,8.8%,6.8%,136282400,-427755600 ( -75.8% ),16218,-45453 ( -73.7% ),3259341000,393961,4
2018-10-02,324,6.4%,1499,8.5%,232427,8.3%,8.3%,160494600,24212200 ( 17.8% ),19263,3045 ( 18.8% ),3419835600,413224,4
2018-10-03,184,3.1%,386,1.9%,49224,1.5%,23.7%,100549400,-59945200 ( -37.4% ),11667,-7596 ( -39.4% ),3520385000,424891,8
2018-10-04,180,3.6%,391,2.1%,48781,1.6%,6.0%,23164400,-77385000 ( -77.0% ),2917,-8750 ( -75.0% ),3543549400,427808,7
2018-10-05,165,3.2%,343,1.8%,42477,1.4%,9.0%,32075000,8910600 ( 38.5% ),3829,912 ( 31.3% ),3575624400,431637,7
2018-10-06,131,2.3%,206,1%,24248,0.8%,17.9%,38158400,6083400 ( 19.0% ),4333,504 ( 13.2% ),3613782800,435970,8
2018-10-07,132,2.4%,205,1%,24129,0.8%,16.3%,33756500,-4401900 ( -11.5% ),3940,-393 ( -9.1% ),3647539300,439910,8
2018-10-08,129,2.4%,220,1.1%,25708,0.8%,12.5%,23838600,-9917900 ( -29.4% ),3211,-729 ( -18.5% ),3671377900,443121,8
2018-10-09,18,0.3%,32,0.2%,3096,0.1%,21.0%,5322500,-18516100 ( -77.7% ),651,-2560 ( -79.7% ),3676700400,443772,17
2018-10-10,21,0.4%,38,0.2%,4429,0.2%,9.2%,3176000,-2146500 ( -40.3% ),407,-244 ( -37.5% ),3679876400,444179,18
2018-10-11,14,0.3%,17,0.1%,2106,0.1%,36.7%,4980000,1804000 ( 56.8% ),773,366 ( 89.9% ),3684856400,444952,16
