날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-08,1,0.0%,1,0%,149,0.0%,100.0%,1043000,1043000 ( 100.0% ),149,149 ( 100.0% ),1043000,149,36
2016-11-09,353,7.7%,1389,8.9%,208274,8.1%,11.9%,189803500,188760500 ( 18097.8% ),24843,24694 ( 16573.2% ),190846500,24992,4
2016-11-10,380,8.1%,1429,9.3%,214645,8.4%,11.1%,182939700,-6863800 ( -3.6% ),23846,-997 ( -4.0% ),373786200,48838,4
2016-11-11,406,8.5%,1567,9.6%,232054,8.6%,17.7%,343061057,160121357 ( 87.5% ),41063,17217 ( 72.2% ),716847257,89901,4
2016-11-12,467,8.8%,1718,9.8%,250887,8.7%,26.1%,542521149,199460092 ( 58.1% ),65603,24540 ( 59.8% ),1259368406,155504,4
2016-11-13,464,8.8%,1691,9.9%,246622,8.8%,22.5%,463101300,-79419849 ( -14.6% ),55480,-10123 ( -15.4% ),1722469706,210984,4
2016-11-14,409,8.9%,1475,9.7%,226041,8.9%,7.6%,131098800,-332002500 ( -71.7% ),17126,-38354 ( -69.1% ),1853568506,228110,4
2016-11-15,388,7.9%,1392,9.2%,213670,8.5%,6.2%,101420800,-29678000 ( -22.6% ),13170,-3956 ( -23.1% ),1954989306,241280,4
2016-11-16,287,6.0%,546,3.6%,71578,2.8%,21.4%,112824000,11403200 ( 11.2% ),15335,2165 ( 16.4% ),2067813306,256615,5
2016-11-17,303,5.9%,575,3.7%,75691,3.0%,22.7%,120004800,7180800 ( 6.4% ),17158,1823 ( 11.9% ),2187818106,273773,6
2016-11-18,305,5.9%,547,3.5%,71558,2.8%,12.5%,69778600,-50226200 ( -41.9% ),8919,-8239 ( -48.0% ),2257596706,282692,6
2016-11-19,304,5.6%,612,3.7%,77021,2.8%,22.7%,137385800,67607200 ( 96.9% ),17447,8528 ( 95.6% ),2394982506,300139,6
2016-11-20,292,5.5%,586,3.6%,73552,2.8%,18.7%,108240600,-29145200 ( -21.2% ),13722,-3725 ( -21.4% ),2503223106,313861,6
2016-11-21,268,5.7%,517,3.5%,70013,2.9%,6.5%,33241300,-74999300 ( -69.3% ),4566,-9156 ( -66.7% ),2536464406,318427,6
2016-11-22,264,5.6%,507,3.5%,67371,2.8%,5.8%,28871900,-4369400 ( -13.1% ),3883,-683 ( -15.0% ),2565336306,322310,6
2016-11-23,184,3.5%,307,2.1%,40328,1.6%,5.1%,14780000,-14091900 ( -48.8% ),2061,-1822 ( -46.9% ),2580116306,324371,10
2016-11-24,84,1.7%,126,0.8%,15196,0.6%,5.2%,5780500,-8999500 ( -60.9% ),794,-1267 ( -61.5% ),2585896806,325165,22
2016-11-25,96,1.9%,149,0.9%,17970,0.7%,7.2%,10209500,4429000 ( 76.6% ),1292,498 ( 62.7% ),2596106306,326457,17
2016-11-26,91,1.7%,141,0.8%,16195,0.6%,13.5%,16982900,6773400 ( 66.3% ),2183,891 ( 69.0% ),2613089206,328640,16
2016-11-27,85,1.6%,130,0.8%,14676,0.5%,13.5%,15412300,-1570600 ( -9.2% ),1983,-200 ( -9.2% ),2628501506,330623,15
2016-11-28,71,1.5%,103,0.7%,13146,0.5%,4.0%,3813900,-11598400 ( -75.3% ),525,-1458 ( -73.5% ),2632315406,331148,22
2016-11-29,73,1.5%,107,0.7%,13928,0.6%,3.7%,3702000,-111900 ( -2.9% ),521,-4 ( -0.8% ),2636017406,331669,24
2016-11-30,4,0.1%,5,0%,454,0.0%,3.1%,94000,-3608000 ( -97.5% ),14,-507 ( -97.3% ),2636111406,331683,100
2016-12-01,2,0.0%,2,0%,198,0.0%,4.0%,54000,-40000 ( -42.6% ),8,-6 ( -42.9% ),2636165406,331691,101
2016-12-02,4,0.1%,4,0%,363,0.0%,6.3%,177000,123000 ( 227.8% ),23,15 ( 187.5% ),2636342406,331714,101
2016-12-03,6,0.1%,8,0%,774,0.0%,7.4%,408000,231000 ( 130.5% ),57,34 ( 147.8% ),2636750406,331771,75
2016-12-04,6,0.1%,9,0.1%,773,0.0%,5.6%,317000,-91000 ( -22.3% ),43,-14 ( -24.6% ),2637067406,331814,90
2016-12-05,3,0.1%,5,0%,337,0.0%,3.6%,88000,-229000 ( -72.2% ),12,-31 ( -72.1% ),2637155406,331826,91
2016-12-06,3,0.1%,3,0%,339,0.0%,2.9%,72000,-16000 ( -18.2% ),10,-2 ( -16.7% ),2637227406,331836,104
2016-12-09,1,0.0%,1,0%,164,0.0%,1.2%,15000,15000 ( 100.0% ),2,2 ( 100.0% ),2637242406,331838,103
2016-12-10,1,0.0%,1,0%,164,0.0%,6.1%,70000,55000 ( 366.7% ),10,8 ( 400.0% ),2637312406,331848,69
2016-12-11,1,0.0%,1,0%,164,0.0%,2.4%,28000,-42000 ( -60.0% ),4,-6 ( -60.0% ),2637340406,331852,83
2016-12-13,1,0.0%,1,0%,164,0.0%,1.2%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),2637354406,331854,98
2016-12-14,1,0.0%,1,0%,164,0.0%,0.6%,8000,-6000 ( -42.9% ),1,-1 ( -50.0% ),2637362406,331855,107
2016-12-15,1,0.0%,1,0%,164,0.0%,1.2%,14000,6000 ( 75.0% ),2,1 ( 100.0% ),2637376406,331857,100
2016-12-16,1,0.0%,1,0%,164,0.0%,2.4%,28000,14000 ( 100.0% ),4,2 ( 100.0% ),2637404406,331861,84
2016-12-17,1,0.0%,1,0%,164,0.0%,8.5%,99000,71000 ( 253.6% ),14,10 ( 250.0% ),2637503406,331875,69
2016-12-18,1,0.0%,1,0%,164,0.0%,1.2%,14000,-85000 ( -85.9% ),2,-12 ( -85.7% ),2637517406,331877,93
