날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-17,1,0.0%,1,0%,285,0.0%,10.5%,180000,180000 ( 100.0% ),30,30 ( 100.0% ),180000,30,66
2017-09-04,2,0.0%,2,0%,386,0.0%,100.0%,3088000,3088000 ( 100.0% ),386,386 ( 100.0% ),3268000,416,22
2017-09-05,17,0.3%,17,0.1%,2356,0.1%,52.1%,7371500,4283500 ( 138.7% ),1227,841 ( 217.9% ),10639500,1643,14
2017-09-07,22,0.4%,22,0.1%,2884,0.1%,99.5%,22960000,22960000 ( 100.0% ),2870,2870 ( 100.0% ),33599500,4513,11
2017-09-08,17,0.3%,17,0.1%,2277,0.1%,100.0%,18471000,-4489000 ( -19.6% ),2277,-593 ( -20.7% ),52070500,6790,13
2017-09-11,1,0.0%,1,0%,94,0.0%,92.6%,868000,868000 ( 100.0% ),87,87 ( 100.0% ),52938500,6877,44
2017-09-13,1,0.0%,1,0%,375,0.0%,82.9%,3077000,3077000 ( 100.0% ),311,311 ( 100.0% ),56015500,7188,28
2017-09-14,325,5.7%,758,4.4%,106000,3.8%,4.1%,31266600,28189600 ( 916.1% ),4393,4082 ( 1312.5% ),87282100,11581,8
2017-09-15,324,5.6%,751,4.3%,104022,3.6%,5.0%,41706700,10440100 ( 33.4% ),5178,785 ( 17.9% ),128988800,16759,8
2017-09-16,330,5.1%,606,3.2%,79757,2.6%,9.6%,63337700,21631000 ( 51.9% ),7689,2511 ( 48.5% ),192326500,24448,11
2017-09-17,320,5.0%,576,3.1%,75908,2.5%,10.3%,64142700,805000 ( 1.3% ),7853,164 ( 2.1% ),256469200,32301,10
2017-09-18,306,5.5%,620,3.8%,86196,3.2%,4.9%,30104000,-34038700 ( -53.1% ),4262,-3591 ( -45.7% ),286573200,36563,8
2017-09-19,317,5.6%,610,3.7%,83952,3.1%,5.0%,30167800,63800 ( 0.2% ),4234,-28 ( -0.7% ),316741000,40797,10
2017-09-20,313,5.5%,605,3.7%,84113,3.1%,5.3%,31837000,1669200 ( 5.5% ),4464,230 ( 5.4% ),348578000,45261,8
2017-09-21,55,1.0%,72,0.4%,10552,0.4%,7.4%,5648900,-26188100 ( -82.3% ),781,-3683 ( -82.5% ),354226900,46042,21
2017-09-22,54,1.0%,73,0.4%,10606,0.4%,8.4%,7374000,1725100 ( 30.5% ),894,113 ( 14.5% ),361600900,46936,17
2017-09-23,49,0.8%,65,0.4%,9501,0.3%,12.3%,9588900,2214900 ( 30.0% ),1166,272 ( 30.4% ),371189800,48102,23
2017-09-24,49,0.8%,67,0.4%,9833,0.3%,11.3%,9094000,-494900 ( -5.2% ),1108,-58 ( -5.0% ),380283800,49210,20
2017-09-25,45,0.9%,69,0.4%,10167,0.4%,5.2%,3750000,-5344000 ( -58.8% ),533,-575 ( -51.9% ),384033800,49743,25
2017-09-26,48,0.9%,71,0.4%,10450,0.4%,4.8%,3670200,-79800 ( -2.1% ),502,-31 ( -5.8% ),387704000,50245,25
2017-09-27,6,0.1%,7,0%,868,0.0%,19.6%,1249700,-2420500 ( -66.0% ),170,-332 ( -66.1% ),388953700,50415,43
2017-09-28,7,0.1%,8,0%,899,0.0%,1.9%,114000,-1135700 ( -90.9% ),17,-153 ( -90.0% ),389067700,50432,90
2017-09-29,2,0.0%,2,0%,305,0.0%,7.9%,162000,48000 ( 42.1% ),24,7 ( 41.2% ),389229700,50456,75
2017-09-30,2,0.0%,2,0%,390,0.0%,8.5%,220000,58000 ( 35.8% ),33,9 ( 37.5% ),389449700,50489,76
2017-10-01,3,0.1%,3,0%,516,0.0%,10.1%,340000,120000 ( 54.5% ),52,19 ( 57.6% ),389789700,50541,59
2017-10-02,3,0.1%,3,0%,440,0.0%,11.4%,332000,-8000 ( -2.4% ),50,-2 ( -3.8% ),390121700,50591,54
2017-10-03,5,0.1%,5,0%,639,0.0%,10.6%,438000,106000 ( 31.9% ),68,18 ( 36.0% ),390559700,50659,50
2017-10-04,1,0.0%,1,0%,212,0.0%,7.1%,75000,-363000 ( -82.9% ),15,-53 ( -77.9% ),390634700,50674,66
2017-10-06,2,0.0%,2,0%,176,0.0%,26.1%,282000,282000 ( 100.0% ),46,46 ( 100.0% ),390916700,50720,56
2017-10-08,2,0.0%,2,0%,176,0.0%,12.5%,139000,139000 ( 100.0% ),22,22 ( 100.0% ),391055700,50742,68
2017-10-10,5,0.1%,5,0%,509,0.0%,7.1%,215000,215000 ( 100.0% ),36,36 ( 100.0% ),391270700,50778,50
2017-10-11,4,0.1%,4,0%,436,0.0%,2.5%,65000,-150000 ( -69.8% ),11,-25 ( -69.4% ),391335700,50789,77
2017-10-12,1,0.0%,1,0%,50,0.0%,8.0%,36000,-29000 ( -44.6% ),4,-7 ( -63.6% ),391371700,50793,79
2017-10-14,1,0.0%,1,0%,50,0.0%,14.0%,61000,61000 ( 100.0% ),7,7 ( 100.0% ),391432700,50800,76
2017-10-15,1,0.0%,1,0%,50,0.0%,2.0%,9000,-52000 ( -85.2% ),1,-6 ( -85.7% ),391441700,50801,92
2017-10-17,1,0.0%,1,0%,50,0.0%,8.0%,34000,34000 ( 100.0% ),4,4 ( 100.0% ),391475700,50805,88
2017-10-18,1,0.0%,1,0%,50,0.0%,4.0%,15000,-19000 ( -55.9% ),2,-2 ( -50.0% ),391490700,50807,94
2017-10-22,1,0.0%,1,0%,50,0.0%,10.0%,42000,42000 ( 100.0% ),5,5 ( 100.0% ),391532700,50812,83
2017-10-25,1,0.0%,1,0%,50,0.0%,2.0%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),391538700,50813,105
2018-01-12,1,0.0%,1,0%,59,0.0%,3.4%,20000,20000 ( 100.0% ),2,2 ( 100.0% ),391558700,50815,73
2018-01-14,1,0.0%,1,0%,59,0.0%,1.7%,10000,10000 ( 100.0% ),1,1 ( 100.0% ),391568700,50816,80
2018-01-15,1,0.0%,1,0%,59,0.0%,1.7%,10000,0 ( 0.0% ),1,0 ( 0.0% ),391578700,50817,72
2018-01-23,1,0.0%,1,0%,59,0.0%,3.4%,20000,20000 ( 100.0% ),2,2 ( 100.0% ),391598700,50819,86
