날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-18,2,0.0%,2,0%,298,0.0%,100.0%,2682000,2682000 ( 100.0% ),298,298 ( 100.0% ),2682000,298,19
2018-06-21,97,1.8%,101,0.6%,12403,0.5%,3.6%,3067300,3067300 ( 100.0% ),450,450 ( 100.0% ),5749300,748,18
2018-06-22,120,2.2%,126,0.7%,15405,0.5%,4.5%,5015500,1948200 ( 63.5% ),695,245 ( 54.4% ),10764800,1443,17
2018-06-23,235,3.8%,304,1.6%,36735,1.3%,12.9%,37288000,32272500 ( 643.5% ),4744,4049 ( 582.6% ),48052800,6187,10
2018-06-24,222,3.7%,297,1.6%,36039,1.2%,15.0%,43575900,6287900 ( 16.9% ),5392,648 ( 13.7% ),91628700,11579,10
2018-06-25,100,1.9%,106,0.6%,13282,0.5%,2.7%,2495200,-41080700 ( -94.3% ),352,-5040 ( -93.5% ),94123900,11931,22
2018-06-26,86,1.6%,90,0.5%,10894,0.4%,3.6%,2763600,268400 ( 10.8% ),395,43 ( 12.2% ),96887500,12326,20
2018-06-27,19,0.3%,21,0.1%,2368,0.1%,10.2%,1442800,-1320800 ( -47.8% ),242,-153 ( -38.7% ),98330300,12568,23
2018-06-28,6,0.1%,6,0%,543,0.0%,11.2%,376300,-1066500 ( -73.9% ),61,-181 ( -74.8% ),98706600,12629,54
2018-06-29,5,0.1%,6,0%,466,0.0%,15.5%,468500,92200 ( 24.5% ),72,11 ( 18.0% ),99175100,12701,60
2018-06-30,24,0.4%,27,0.1%,2680,0.1%,19.1%,3669100,3200600 ( 683.2% ),513,441 ( 612.5% ),102844200,13214,28
2018-07-01,18,0.3%,21,0.1%,1913,0.1%,19.9%,2746300,-922800 ( -25.2% ),381,-132 ( -25.7% ),105590500,13595,26
2018-07-02,5,0.1%,6,0%,548,0.0%,4.0%,158600,-2587700 ( -94.2% ),22,-359 ( -94.2% ),105749100,13617,67
2018-07-03,4,0.1%,4,0%,274,0.0%,15.7%,272000,113400 ( 71.5% ),43,21 ( 95.5% ),106021100,13660,66
2018-07-04,1,0.0%,1,0%,35,0.0%,11.4%,32000,-240000 ( -88.2% ),4,-39 ( -90.7% ),106053100,13664,91
2018-07-05,2,0.0%,2,0%,67,0.0%,6.0%,24000,-8000 ( -25.0% ),4,0 ( 0.0% ),106077100,13668,88
2018-07-06,2,0.0%,3,0%,99,0.0%,10.1%,80000,56000 ( 233.3% ),10,6 ( 150.0% ),106157100,13678,73
2018-07-07,6,0.1%,8,0%,352,0.0%,30.4%,659000,579000 ( 723.8% ),107,97 ( 970.0% ),106816100,13785,34
2018-07-08,4,0.1%,6,0%,309,0.0%,22.3%,507000,-152000 ( -23.1% ),69,-38 ( -35.5% ),107323100,13854,41
2018-07-09,3,0.1%,3,0%,110,0.0%,7.3%,47000,-460000 ( -90.7% ),8,-61 ( -88.4% ),107370100,13862,70
2018-07-10,3,0.1%,3,0%,237,0.0%,44.3%,531000,484000 ( 1029.8% ),105,97 ( 1212.5% ),107901100,13967,45
2018-07-11,2,0.0%,4,0%,145,0.0%,4.8%,38000,-493000 ( -92.8% ),7,-98 ( -93.3% ),107939100,13974,98
2018-07-13,1,0.0%,1,0%,86,0.0%,23.3%,100000,100000 ( 100.0% ),20,20 ( 100.0% ),108039100,13994,78
2018-07-14,3,0.1%,3,0%,264,0.0%,70.8%,1134000,1034000 ( 1034.0% ),187,167 ( 835.0% ),109173100,14181,43
2018-07-15,1,0.0%,1,0%,35,0.0%,57.1%,153500,-980500 ( -86.5% ),20,-167 ( -89.3% ),109326600,14201,76
2018-07-16,1,0.0%,1,0%,35,0.0%,22.9%,63000,-90500 ( -59.0% ),8,-12 ( -60.0% ),109389600,14209,79
2018-07-25,1,0.0%,1,0%,118,0.0%,44.1%,260000,260000 ( 100.0% ),52,52 ( 100.0% ),109649600,14261,65
