날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-03,4,0.1%,5,0%,1127,0.0%,100.0%,9032000,9032000 ( 100.0% ),1127,1127 ( 100.0% ),9032000,1127,16
2018-07-10,10,0.2%,10,0.1%,1391,0.0%,56.7%,5751500,5751500 ( 100.0% ),789,789 ( 100.0% ),14783500,1916,12
2018-07-11,3,0.1%,3,0%,621,0.0%,72.5%,3600000,-2151500 ( -37.4% ),450,-339 ( -43.0% ),18383500,2366,18
2018-07-16,1,0.0%,1,0%,282,0.0%,100.0%,2538000,2538000 ( 100.0% ),282,282 ( 100.0% ),20921500,2648,27
2018-07-17,3,0.1%,3,0%,397,0.0%,69.5%,3303800,765800 ( 30.2% ),276,-6 ( -2.1% ),24225300,2924,24
2018-07-19,121,2.1%,359,2%,46409,1.6%,11.3%,43197100,43197100 ( 100.0% ),5227,5227 ( 100.0% ),67422400,8151,8
2018-07-20,117,2.0%,339,1.8%,42836,1.5%,11.8%,45194000,1996900 ( 4.6% ),5049,-178 ( -3.4% ),112616400,13200,10
2018-07-21,112,1.8%,263,1.4%,32547,1.1%,18.7%,54465700,9271700 ( 20.5% ),6075,1026 ( 20.3% ),167082100,19275,9
2018-07-22,117,1.9%,237,1.3%,29264,1.0%,17.9%,46974400,-7491300 ( -13.8% ),5235,-840 ( -13.8% ),214056500,24510,9
2018-07-23,114,2.0%,279,1.6%,33870,1.2%,8.9%,24386400,-22588000 ( -48.1% ),3004,-2231 ( -42.6% ),238442900,27514,10
2018-07-24,118,2.0%,264,1.5%,32741,1.2%,9.4%,24705100,318700 ( 1.3% ),3085,81 ( 2.7% ),263148000,30599,11
2018-07-25,28,0.5%,30,0.2%,3970,0.1%,17.1%,5056600,-19648500 ( -79.5% ),680,-2405 ( -78.0% ),268204600,31279,14
2018-07-26,25,0.4%,27,0.2%,3582,0.1%,21.0%,6011600,955000 ( 18.9% ),752,72 ( 10.6% ),274216200,32031,15
2018-07-27,24,0.4%,26,0.1%,3424,0.1%,19.5%,5703800,-307800 ( -5.1% ),667,-85 ( -11.3% ),279920000,32698,15
2018-07-28,20,0.3%,21,0.1%,2881,0.1%,28.6%,7286000,1582200 ( 27.7% ),824,157 ( 23.5% ),287206000,33522,15
2018-07-29,19,0.3%,20,0.1%,2858,0.1%,33.6%,8490500,1204500 ( 16.5% ),960,136 ( 16.5% ),295696500,34482,12
2018-07-30,24,0.4%,29,0.2%,3806,0.1%,20.6%,6353900,-2136600 ( -25.2% ),785,-175 ( -18.2% ),302050400,35267,12
2018-07-31,24,0.4%,31,0.2%,3933,0.1%,25.1%,7746700,1392800 ( 21.9% ),987,202 ( 25.7% ),309797100,36254,13
2018-08-01,5,0.1%,7,0%,676,0.0%,20.0%,1023000,-6723700 ( -86.8% ),135,-852 ( -86.3% ),310820100,36389,28
2018-08-02,6,0.1%,7,0%,728,0.0%,14.3%,798000,-225000 ( -22.0% ),104,-31 ( -23.0% ),311618100,36493,30
2018-08-03,7,0.1%,8,0%,859,0.0%,16.3%,1173000,375000 ( 47.0% ),140,36 ( 34.6% ),312791100,36633,25
2018-08-04,7,0.1%,7,0%,727,0.0%,19.5%,1165000,-8000 ( -0.7% ),142,2 ( 1.4% ),313956100,36775,26
2018-08-05,7,0.1%,7,0%,727,0.0%,23.2%,1359200,194200 ( 16.7% ),169,27 ( 19.0% ),315315300,36944,21
2018-08-06,6,0.1%,6,0%,630,0.0%,13.0%,613000,-746200 ( -54.9% ),82,-87 ( -51.5% ),315928300,37026,37
2018-08-07,6,0.1%,6,0%,690,0.0%,11.7%,639000,26000 ( 4.2% ),81,-1 ( -1.2% ),316567300,37107,34
2018-08-08,4,0.1%,4,0%,438,0.0%,12.1%,380200,-258800 ( -40.5% ),53,-28 ( -34.6% ),316947500,37160,45
2018-08-09,4,0.1%,4,0%,339,0.0%,12.7%,347000,-33200 ( -8.7% ),43,-10 ( -18.9% ),317294500,37203,54
2018-08-10,3,0.1%,3,0%,288,0.0%,7.3%,166000,-181000 ( -52.2% ),21,-22 ( -51.2% ),317460500,37224,59
2018-08-11,3,0.1%,4,0%,340,0.0%,12.6%,370000,204000 ( 122.9% ),43,22 ( 104.8% ),317830500,37267,47
2018-08-12,5,0.1%,5,0%,483,0.0%,13.9%,581000,211000 ( 57.0% ),67,24 ( 55.8% ),318411500,37334,33
2018-08-13,4,0.1%,4,0%,378,0.0%,7.9%,243000,-338000 ( -58.2% ),30,-37 ( -55.2% ),318654500,37364,52
