날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-08-30,3,0.1%,3,0%,596,0.0%,100.0%,4768000,4768000 ( 100.0% ),596,596 ( 100.0% ),4768000,596,24
2017-09-12,3,0.1%,3,0%,528,0.0%,100.0%,4224000,4224000 ( 100.0% ),528,528 ( 100.0% ),8992000,1124,19
2017-09-13,1,0.0%,1,0%,285,0.0%,100.0%,2280000,-1944000 ( -46.0% ),285,-243 ( -46.0% ),11272000,1409,32
2017-09-14,1,0.0%,1,0%,182,0.0%,89.6%,1626000,-654000 ( -28.7% ),163,-122 ( -42.8% ),12898000,1572,43
2017-09-20,6,0.1%,6,0%,1053,0.0%,99.1%,8372000,8372000 ( 100.0% ),1043,1043 ( 100.0% ),21270000,2615,16
2017-09-21,178,3.3%,414,2.5%,58075,2.2%,10.5%,46803000,38431000 ( 459.0% ),6126,5083 ( 487.3% ),68073000,8741,7
2017-09-22,200,3.6%,450,2.7%,63765,2.3%,10.8%,57531500,10728500 ( 22.9% ),6858,732 ( 11.9% ),125604500,15599,8
2017-09-23,226,3.7%,545,3%,75250,2.5%,18.8%,120376900,62845400 ( 109.2% ),14143,7285 ( 106.2% ),245981400,29742,6
2017-09-24,232,3.8%,546,3.1%,75246,2.6%,19.6%,126143000,5766100 ( 4.8% ),14718,575 ( 4.1% ),372124400,44460,6
2017-09-25,212,4.0%,565,3.6%,88990,3.4%,7.6%,50552900,-75590100 ( -59.9% ),6786,-7932 ( -53.9% ),422677300,51246,4
2017-09-26,213,3.9%,567,3.6%,89483,3.4%,7.9%,52760500,2207600 ( 4.4% ),7072,286 ( 4.2% ),475437800,58318,4
2017-09-27,138,2.6%,234,1.5%,33810,1.3%,12.3%,25720200,-27040300 ( -51.3% ),4171,-2901 ( -41.0% ),501158000,62489,6
2017-09-28,96,1.8%,177,1.1%,25107,1.0%,10.2%,19301700,-6418500 ( -25.0% ),2571,-1600 ( -38.4% ),520459700,65060,9
2017-09-29,107,2.0%,203,1.2%,29235,1.1%,15.5%,37125900,17824200 ( 92.3% ),4521,1950 ( 75.8% ),557585600,69581,6
2017-09-30,109,1.9%,180,1%,25902,0.9%,22.1%,46539400,9413500 ( 25.4% ),5718,1197 ( 26.5% ),604125000,75299,10
2017-10-01,103,1.8%,178,1%,26286,0.9%,23.9%,52774100,6234700 ( 13.4% ),6275,557 ( 9.7% ),656899100,81574,9
2017-10-02,101,1.8%,173,1%,25081,0.9%,24.8%,46367700,-6406400 ( -12.1% ),6209,-66 ( -1.1% ),703266800,87783,10
2017-10-03,20,0.3%,26,0.1%,3660,0.1%,20.8%,6583200,-39784500 ( -85.8% ),760,-5449 ( -87.8% ),709850000,88543,17
2017-10-04,24,0.4%,30,0.2%,4301,0.1%,24.4%,9268700,2685500 ( 40.8% ),1051,291 ( 38.3% ),719118700,89594,17
2017-10-05,15,0.2%,21,0.1%,2680,0.1%,24.6%,5634400,-3634300 ( -39.2% ),659,-392 ( -37.3% ),724753100,90253,20
2017-10-06,22,0.3%,30,0.2%,4357,0.1%,21.9%,8032600,2398200 ( 42.6% ),955,296 ( 44.9% ),732785700,91208,19
2017-10-07,16,0.2%,20,0.1%,3164,0.1%,21.4%,5590800,-2441800 ( -30.4% ),678,-277 ( -29.0% ),738376500,91886,19
2017-10-08,17,0.3%,21,0.1%,3222,0.1%,18.0%,5069400,-521400 ( -9.3% ),581,-97 ( -14.3% ),743445900,92467,20
2017-10-09,15,0.2%,20,0.1%,3175,0.1%,22.0%,6053200,983800 ( 19.4% ),698,117 ( 20.1% ),749499100,93165,17
2017-10-10,22,0.5%,40,0.3%,6500,0.3%,5.2%,2421500,-3631700 ( -60.0% ),336,-362 ( -51.9% ),751920600,93501,16
2017-10-11,17,0.4%,36,0.2%,6084,0.2%,7.7%,3478600,1057100 ( 43.7% ),470,134 ( 39.9% ),755399200,93971,12
2017-10-12,5,0.1%,5,0%,657,0.0%,5.2%,245500,-3233100 ( -92.9% ),34,-436 ( -92.8% ),755644700,94005,53
2017-10-13,6,0.1%,9,0.1%,1368,0.0%,5.8%,636000,390500 ( 159.1% ),80,46 ( 135.3% ),756280700,94085,42
2017-10-14,8,0.1%,11,0.1%,1364,0.0%,19.3%,2354500,1718500 ( 270.2% ),263,183 ( 228.8% ),758635200,94348,27
2017-10-15,8,0.1%,10,0.1%,1332,0.0%,9.0%,999000,-1355500 ( -57.6% ),120,-143 ( -54.4% ),759634200,94468,37
2017-10-16,7,0.1%,8,0.1%,1362,0.1%,4.7%,482500,-516500 ( -51.7% ),64,-56 ( -46.7% ),760116700,94532,36
2017-10-17,6,0.1%,7,0%,1371,0.1%,6.3%,649500,167000 ( 34.6% ),86,22 ( 34.4% ),760766200,94618,34
2017-10-18,6,0.1%,8,0.1%,1467,0.1%,2.5%,261500,-388000 ( -59.7% ),36,-50 ( -58.1% ),761027700,94654,65
2017-10-19,2,0.0%,2,0%,121,0.0%,5.0%,48000,-213500 ( -81.6% ),6,-30 ( -83.3% ),761075700,94660,86
2017-10-20,2,0.0%,3,0%,202,0.0%,18.3%,330000,282000 ( 587.5% ),37,31 ( 516.7% ),761405700,94697,62
2017-10-21,4,0.1%,6,0%,656,0.0%,12.2%,653500,323500 ( 98.0% ),80,43 ( 116.2% ),762059200,94777,53
2017-10-22,4,0.1%,5,0%,661,0.0%,7.9%,473500,-180000 ( -27.5% ),52,-28 ( -35.0% ),762532700,94829,54
2017-10-23,2,0.0%,2,0%,144,0.0%,6.9%,79500,-394000 ( -83.2% ),10,-42 ( -80.8% ),762612200,94839,77
2017-10-24,2,0.0%,2,0%,322,0.0%,0.6%,12000,-67500 ( -84.9% ),2,-8 ( -80.0% ),762624200,94841,101
