날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-27,1,0.0%,1,0%,274,0.0%,100.0%,2192000,2192000 ( 100.0% ),274,274 ( 100.0% ),2192000,274,29
2016-11-02,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),3904000,488,31
2016-11-03,132,2.9%,141,0.9%,18490,0.7%,5.7%,6814500,5102500 ( 298.0% ),1060,846 ( 395.3% ),10718500,1548,17
2016-11-04,162,3.4%,175,1.1%,23394,0.9%,5.5%,9797400,2982900 ( 43.8% ),1276,216 ( 20.4% ),20515900,2824,15
2016-11-05,256,4.9%,375,2.1%,48317,1.6%,20.1%,76958700,67161300 ( 685.5% ),9724,8448 ( 662.1% ),97474600,12548,8
2016-11-06,262,5.1%,386,2.2%,50110,1.8%,19.8%,79284000,2325300 ( 3.0% ),9915,191 ( 2.0% ),176758600,22463,8
2016-11-07,137,3.0%,149,1%,19597,0.8%,4.2%,5549900,-73734100 ( -93.0% ),825,-9090 ( -91.7% ),182308500,23288,15
2016-11-08,127,2.7%,137,0.9%,18391,0.7%,4.4%,5490200,-59700 ( -1.1% ),801,-24 ( -2.9% ),187798700,24089,16
2016-11-09,77,1.7%,85,0.5%,10469,0.4%,6.4%,4314500,-1175700 ( -21.4% ),670,-131 ( -16.4% ),192113200,24759,18
2016-11-10,29,0.6%,29,0.2%,4041,0.2%,12.4%,2720000,-1594500 ( -37.0% ),502,-168 ( -25.1% ),194833200,25261,23
2016-11-11,31,0.6%,32,0.2%,4247,0.2%,10.6%,2729500,9500 ( 0.3% ),452,-50 ( -10.0% ),197562700,25713,25
2016-11-12,91,1.7%,112,0.6%,14803,0.5%,12.8%,14946800,12217300 ( 447.6% ),1897,1445 ( 319.7% ),212509500,27610,13
2016-11-13,90,1.7%,109,0.6%,14256,0.5%,15.2%,17390900,2444100 ( 16.4% ),2169,272 ( 14.3% ),229900400,29779,11
2016-11-14,24,0.5%,25,0.2%,3463,0.1%,2.2%,554500,-16836400 ( -96.8% ),75,-2094 ( -96.5% ),230454900,29854,47
2016-11-15,28,0.6%,28,0.2%,3693,0.1%,3.7%,869000,314500 ( 56.7% ),135,60 ( 80.0% ),231323900,29989,49
2016-11-16,7,0.1%,8,0.1%,1033,0.0%,23.7%,1202000,333000 ( 38.3% ),245,110 ( 81.5% ),232525900,30234,29
2016-11-17,2,0.0%,2,0%,231,0.0%,27.7%,258000,-944000 ( -78.5% ),64,-181 ( -73.9% ),232783900,30298,58
2016-11-18,6,0.1%,6,0%,1001,0.0%,45.1%,2432000,2174000 ( 842.6% ),451,387 ( 604.7% ),235215900,30749,24
2016-11-19,7,0.1%,9,0.1%,1628,0.1%,16.4%,2031300,-400700 ( -16.5% ),267,-184 ( -40.8% ),237247200,31016,30
2016-11-20,7,0.1%,9,0.1%,1627,0.1%,15.2%,1959600,-71700 ( -3.5% ),247,-20 ( -7.5% ),239206800,31263,28
2016-11-21,1,0.0%,1,0%,163,0.0%,12.9%,126000,-1833600 ( -93.6% ),21,-226 ( -91.5% ),239332800,31284,76
2016-11-22,1,0.0%,1,0%,132,0.0%,1.5%,10000,-116000 ( -92.1% ),2,-19 ( -90.5% ),239342800,31286,137
2016-11-23,2,0.0%,2,0%,88,0.0%,69.3%,305000,295000 ( 2950.0% ),61,59 ( 2950.0% ),239647800,31347,58
2016-11-24,3,0.1%,3,0%,325,0.0%,59.4%,834000,529000 ( 173.4% ),193,132 ( 216.4% ),240481800,31540,39
2016-11-25,6,0.1%,6,0%,714,0.0%,33.1%,1278000,444000 ( 53.2% ),236,43 ( 22.3% ),241759800,31776,36
2016-11-26,4,0.1%,6,0%,1255,0.0%,5.9%,523500,-754500 ( -59.0% ),74,-162 ( -68.6% ),242283300,31850,61
2016-11-27,4,0.1%,6,0%,1255,0.0%,7.4%,613000,89500 ( 17.1% ),93,19 ( 25.7% ),242896300,31943,49
2016-11-28,1,0.0%,1,0%,86,0.0%,2.3%,16000,-597000 ( -97.4% ),2,-91 ( -97.8% ),242912300,31945,99
2016-11-30,3,0.1%,4,0%,276,0.0%,15.2%,197000,197000 ( 100.0% ),42,42 ( 100.0% ),243109300,31987,66
2016-12-01,2,0.0%,2,0%,228,0.0%,82.5%,840000,643000 ( 326.4% ),188,146 ( 347.6% ),243949300,32175,43
2016-12-03,1,0.0%,1,0%,130,0.0%,10.8%,76000,76000 ( 100.0% ),14,14 ( 100.0% ),244025300,32189,126
2016-12-04,1,0.0%,1,0%,130,0.0%,12.3%,94000,18000 ( 23.7% ),16,2 ( 14.3% ),244119300,32205,112
2016-12-06,1,0.0%,1,0%,62,0.0%,64.5%,160000,160000 ( 100.0% ),40,40 ( 100.0% ),244279300,32245,78
2016-12-07,1,0.0%,1,0%,76,0.0%,57.9%,220000,60000 ( 37.5% ),44,4 ( 10.0% ),244499300,32289,65
2016-12-09,1,0.0%,1,0%,86,0.0%,2.3%,8000,8000 ( 100.0% ),2,2 ( 100.0% ),244507300,32291,103
2016-12-10,1,0.0%,1,0%,86,0.0%,15.1%,127000,119000 ( 1487.5% ),13,11 ( 550.0% ),244634300,32304,67
2016-12-11,2,0.0%,2,0%,216,0.0%,15.7%,172000,45000 ( 35.4% ),34,21 ( 161.5% ),244806300,32338,57
2016-12-12,1,0.0%,1,0%,86,0.0%,4.7%,35000,-137000 ( -79.7% ),4,-30 ( -88.2% ),244841300,32342,78
2016-12-13,2,0.0%,2,0%,263,0.0%,53.2%,574000,539000 ( 1540.0% ),140,136 ( 3400.0% ),245415300,32482,38
2016-12-14,2,0.0%,2,0%,162,0.0%,29.0%,246000,-328000 ( -57.1% ),47,-93 ( -66.4% ),245661300,32529,63
2016-12-18,1,0.0%,1,0%,130,0.0%,13.1%,85000,85000 ( 100.0% ),17,17 ( 100.0% ),245746300,32546,66
2016-12-21,1,0.0%,1,0%,76,0.0%,60.5%,230000,230000 ( 100.0% ),46,46 ( 100.0% ),245976300,32592,60
2016-12-22,1,0.0%,1,0%,143,0.0%,0.0%,0,-230000 ( -100.0% ),0,-46 ( -100.0% ),245976300,32592,101
2017-01-01,1,0.0%,1,0%,130,0.0%,4.6%,30000,30000 ( 100.0% ),6,6 ( 100.0% ),246006300,32598,65
2017-01-14,2,0.0%,2,0%,237,0.0%,4.2%,56000,56000 ( 100.0% ),10,10 ( 100.0% ),246062300,32608,64
2017-01-21,1,0.0%,1,0%,96,0.0%,2.1%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),246076300,32610,81
2017-01-22,1,0.0%,1,0%,96,0.0%,5.2%,25000,11000 ( 78.6% ),5,3 ( 150.0% ),246101300,32615,72
2017-01-27,1,0.0%,1,0%,96,0.0%,2.1%,14000,14000 ( 100.0% ),2,2 ( 100.0% ),246115300,32617,74
2017-01-28,1,0.0%,1,0%,96,0.0%,7.3%,47000,33000 ( 235.7% ),7,5 ( 250.0% ),246162300,32624,65
