날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-20,6,0.1%,7,0%,1909,0.1%,91.5%,12638000,12638000 ( 100.0% ),1746,1746 ( 100.0% ),12638000,1746,10
2016-07-21,7,0.1%,7,0%,1067,0.0%,100.0%,9096000,-3542000 ( -28.0% ),1067,-679 ( -38.9% ),21734000,2813,14
2016-07-22,9,0.2%,9,0.1%,1251,0.0%,79.5%,7439000,-1657000 ( -18.2% ),995,-72 ( -6.7% ),29173000,3808,14
2016-07-24,1,0.0%,1,0%,174,0.0%,100.0%,1740000,1740000 ( 100.0% ),174,174 ( 100.0% ),30913000,3982,32
2016-07-25,15,0.3%,18,0.1%,3232,0.1%,100.0%,26746000,25006000 ( 1437.1% ),3232,3058 ( 1757.5% ),57659000,7214,9
2016-07-26,32,0.6%,34,0.2%,6613,0.2%,83.1%,49568100,22822100 ( 85.3% ),5497,2265 ( 70.1% ),107227100,12711,8
2016-07-27,901,19.5%,4702,27.3%,842680,29.6%,55.1%,2922521800,2872953700 ( 5796.0% ),464460,458963 ( 8349.3% ),3029748900,477171,1
2016-07-28,904,19.1%,4803,27.4%,849723,29.3%,41.7%,2635577800,-286944000 ( -9.8% ),354500,-109960 ( -23.7% ),5665326700,831671,1
2016-07-29,942,19.8%,5032,28.1%,888883,30.1%,45.6%,3364992124,729414324 ( 27.7% ),405477,50977 ( 14.4% ),9030318824,1237148,1
2016-07-30,1038,20.9%,5574,30.3%,983541,32.4%,70.3%,5741071923,2376079799 ( 70.6% ),691478,286001 ( 70.5% ),14771390747,1928626,1
2016-07-31,1049,21.6%,5666,31.2%,1011374,33.7%,69.0%,5844388660,103316737 ( 1.8% ),697945,6467 ( 0.9% ),20615779407,2626571,1
2016-08-01,995,21.7%,5609,31.7%,1031623,35.3%,48.0%,3707436420,-2136952240 ( -36.6% ),495531,-202414 ( -29.0% ),24323215827,3122102,1
2016-08-02,1013,21.5%,5628,31.7%,1035268,35.4%,44.7%,3435641900,-271794520 ( -7.3% ),462324,-33207 ( -6.7% ),27758857727,3584426,1
2016-08-03,776,15.5%,3673,20.6%,689006,23.5%,46.4%,2372148900,-1063493000 ( -31.0% ),319553,-142771 ( -30.9% ),30131006627,3903979,2
2016-08-04,772,14.6%,3584,20%,661794,22.5%,39.8%,1945025240,-427123660 ( -18.0% ),263094,-56459 ( -17.7% ),32076031867,4167073,1
2016-08-05,817,15.2%,3688,20.3%,680457,22.8%,40.1%,2261338701,316313461 ( 16.3% ),273005,9911 ( 3.8% ),34337370568,4440078,2
