날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-07-09,1,0.0%,1,0%,624,0.0%,100.0%,8736000,8736000 ( 100.0% ),624,624 ( 100.0% ),8736000,624,12
2018-07-11,1,0.0%,1,0%,624,0.0%,100.0%,8736000,8736000 ( 100.0% ),624,624 ( 100.0% ),17472000,1248,14
2018-07-13,7,0.1%,7,0%,1417,0.0%,100.0%,13251000,13251000 ( 100.0% ),1417,1417 ( 100.0% ),30723000,2665,14
2018-07-14,9,0.2%,9,0%,2194,0.1%,98.3%,23885000,10634000 ( 80.3% ),2156,739 ( 52.2% ),54608000,4821,15
2018-07-15,2,0.0%,2,0%,416,0.0%,96.6%,4422000,-19463000 ( -81.5% ),402,-1754 ( -81.4% ),59030000,5223,27
2018-07-17,4,0.1%,4,0%,1054,0.0%,99.8%,9734000,9734000 ( 100.0% ),1052,1052 ( 100.0% ),68764000,6275,12
2018-07-18,1179,22.0%,5490,30.7%,991765,34.9%,12.4%,1006229800,996495800 ( 10237.3% ),122594,121542 ( 11553.4% ),1074993800,128869,1
2018-07-19,1190,21.1%,5405,30.1%,981318,34.4%,11.6%,926348900,-79880900 ( -7.9% ),113895,-8699 ( -7.1% ),2001342700,242764,1
2018-07-20,1228,21.5%,5668,30.7%,1027587,35.2%,16.0%,1461992222,535643322 ( 57.8% ),164820,50925 ( 44.7% ),3463334922,407584,1
2018-07-21,1550,24.9%,7149,37.1%,1287936,42.4%,37.0%,4093763690,2631771468 ( 180.0% ),477129,312309 ( 189.5% ),7557098612,884713,1
2018-07-22,1605,25.9%,7112,37.9%,1276094,43.1%,37.6%,4095193500,1429810 ( 0.0% ),479789,2660 ( 0.6% ),11652292112,1364502,1
2018-07-23,1273,22.9%,5805,32.6%,1063265,37.7%,10.8%,919633500,-3175560000 ( -77.5% ),114940,-364849 ( -76.0% ),12571925612,1479442,1
2018-07-24,1300,22.5%,5761,32.4%,1056989,37.5%,10.5%,868434800,-51198700 ( -5.6% ),110999,-3941 ( -3.4% ),13440360412,1590441,1
2018-07-25,764,13.6%,2149,12.3%,279494,10.2%,34.7%,603573500,-264861300 ( -30.5% ),96978,-14021 ( -12.6% ),14043933912,1687419,3
2018-07-26,767,13.7%,2315,13.1%,302277,11.0%,28.3%,638018300,34444800 ( 5.7% ),85590,-11388 ( -11.7% ),14681952212,1773009,3
2018-07-27,867,15.3%,2528,14.1%,330173,11.8%,30.9%,833774420,195756120 ( 30.7% ),101879,16289 ( 19.0% ),15515726632,1874888,2
2018-07-28,971,16.8%,2926,15.6%,386255,13.2%,50.5%,1616367726,782593306 ( 93.9% ),195044,93165 ( 91.4% ),17132094358,2069932,2
2018-07-29,990,17.0%,2983,16.2%,394724,13.7%,49.2%,1613333600,-3034126 ( -0.2% ),194293,-751 ( -0.4% ),18745427958,2264225,2
2018-07-30,938,16.9%,2960,16.6%,396359,14.2%,34.8%,1019260500,-594073100 ( -36.8% ),138068,-56225 ( -28.9% ),19764688458,2402293,2
2018-07-31,956,16.7%,3030,16.8%,409173,14.6%,33.5%,1002324300,-16936200 ( -1.7% ),137023,-1045 ( -0.8% ),20767012758,2539316,2
2018-08-01,583,10.6%,1284,7%,150553,5.2%,51.1%,560758300,-441566000 ( -44.1% ),76950,-60073 ( -43.8% ),21327771058,2616266,4
2018-08-02,579,10.4%,1256,6.8%,148574,5.1%,49.8%,539236200,-21522100 ( -3.8% ),74011,-2939 ( -3.8% ),21867007258,2690277,4
2018-08-03,601,10.9%,1235,6.6%,146395,5.0%,47.5%,559596274,20360074 ( 3.8% ),69504,-4507 ( -6.1% ),22426603532,2759781,4
2018-08-04,544,9.6%,1015,5.4%,117213,4.0%,56.8%,535833356,-23762918 ( -4.2% ),66556,-2948 ( -4.2% ),22962436888,2826337,4
2018-08-05,547,9.7%,1005,5.4%,116991,4.0%,53.9%,510346300,-25487056 ( -4.8% ),63091,-3465 ( -5.2% ),23472783188,2889428,4
2018-08-06,545,10.6%,1130,6.3%,133631,4.8%,26.8%,264057200,-246289100 ( -48.3% ),35772,-27319 ( -43.3% ),23736840388,2925200,4
2018-08-07,565,10.8%,1138,6.4%,135272,4.8%,28.0%,274753400,10696200 ( 4.1% ),37942,2170 ( 6.1% ),24011593788,2963142,3
2018-08-08,97,1.7%,122,0.7%,14691,0.5%,41.7%,42028900,-232724500 ( -84.7% ),6124,-31818 ( -83.9% ),24053622688,2969266,9
2018-08-09,103,1.8%,126,0.7%,15053,0.5%,37.4%,40122200,-1906700 ( -4.5% ),5634,-490 ( -8.0% ),24093744888,2974900,8
2018-08-10,101,1.7%,128,0.7%,15467,0.5%,34.2%,41997000,1874800 ( 4.7% ),5287,-347 ( -6.2% ),24135741888,2980187,8
2018-08-11,105,1.8%,134,0.7%,15863,0.5%,55.5%,70196900,28199900 ( 67.1% ),8809,3522 ( 66.6% ),24205938788,2988996,8
2018-08-12,105,1.8%,139,0.7%,16027,0.5%,56.3%,72712600,2515700 ( 3.6% ),9019,210 ( 2.4% ),24278651388,2998015,8
2018-08-13,94,1.7%,119,0.7%,13415,0.5%,30.0%,29730600,-42982000 ( -59.1% ),4027,-4992 ( -55.3% ),24308381988,3002042,8
2018-08-14,91,1.6%,118,0.6%,12963,0.4%,31.2%,29789300,58700 ( 0.2% ),4045,18 ( 0.4% ),24338171288,3006087,8
2018-08-15,45,0.7%,59,0.3%,7041,0.2%,81.1%,46645200,16855900 ( 56.6% ),5710,1665 ( 41.2% ),24384816488,3011797,12
2018-08-16,38,0.6%,53,0.3%,6347,0.2%,30.7%,14031900,-32613300 ( -69.9% ),1948,-3762 ( -65.9% ),24398848388,3013745,14
