날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-04-06,1,0.0%,1,0%,326,0.0%,100.0%,1956000,1956000 ( 100.0% ),326,326 ( 100.0% ),1956000,326,22
2017-04-12,1,0.0%,2,0%,476,0.0%,75.0%,2856000,2856000 ( 100.0% ),357,357 ( 100.0% ),4812000,683,20
2017-04-17,8,0.2%,20,0.1%,4256,0.2%,96.8%,30394000,30394000 ( 100.0% ),4118,4118 ( 100.0% ),35206000,4801,6
2017-04-18,5,0.1%,5,0%,863,0.0%,100.0%,6984000,-23410000 ( -77.0% ),863,-3255 ( -79.0% ),42190000,5664,16
2017-04-19,6,0.1%,6,0%,1449,0.1%,100.0%,10516000,3532000 ( 50.6% ),1449,586 ( 67.9% ),52706000,7113,9
2017-04-21,6,0.1%,6,0%,786,0.0%,100.0%,7207000,7207000 ( 100.0% ),786,786 ( 100.0% ),59913000,7899,21
2017-04-22,6,0.1%,6,0%,1626,0.1%,100.0%,15377000,8170000 ( 113.4% ),1626,840 ( 106.9% ),75290000,9525,21
2017-04-23,9,0.1%,9,0.1%,1483,0.1%,100.0%,13347000,-2030000 ( -13.2% ),1483,-143 ( -8.8% ),88637000,11008,21
2017-04-24,25,0.5%,25,0.2%,5170,0.2%,47.0%,22689100,9342100 ( 70.0% ),2429,946 ( 63.8% ),111326100,13437,9
2017-04-25,14,0.3%,14,0.1%,2943,0.1%,100.0%,21651000,-1038100 ( -4.6% ),2943,514 ( 21.2% ),132977100,16380,7
2017-04-26,934,19.4%,4670,29.5%,783110,30.1%,13.9%,640011200,618360200 ( 2856.0% ),108463,105520 ( 3585.5% ),772988300,124843,2
2017-04-27,966,20.8%,4822,30.1%,804214,30.7%,9.9%,562468200,-77543000 ( -12.1% ),79824,-28639 ( -26.4% ),1335456500,204667,2
2017-04-28,979,19.3%,4919,29.6%,816643,30.0%,12.2%,802370765,239902565 ( 42.7% ),99361,19537 ( 24.5% ),2137827265,304028,2
2017-04-29,1054,19.4%,5254,29.4%,901911,31.1%,22.5%,1674007453,871636688 ( 108.6% ),202606,103245 ( 103.9% ),3811834718,506634,2
2017-04-30,1029,19.0%,5155,29.1%,896693,31.2%,24.1%,1790546200,116538747 ( 7.0% ),215703,13097 ( 6.5% ),5602380918,722337,2
2017-05-01,989,18.8%,4983,28.9%,866599,30.9%,18.2%,1162464800,-628081400 ( -35.1% ),158053,-57650 ( -26.7% ),6764845718,880390,1
2017-05-02,1038,16.6%,4284,25.1%,714733,25.7%,14.3%,746988900,-415475900 ( -35.7% ),102367,-55686 ( -35.2% ),7511834618,982757,2
2017-05-03,640,10.3%,2177,11.8%,330469,11.1%,39.0%,1050917600,303928700 ( 40.7% ),128812,26445 ( 25.8% ),8562752218,1111569,4
2017-05-04,646,10.2%,2163,11.8%,325768,11.0%,26.6%,630301700,-420615900 ( -40.0% ),86504,-42308 ( -32.8% ),9193053918,1198073,4
2017-05-05,663,9.7%,1996,10.6%,291902,9.6%,44.7%,1055355158,425053458 ( 67.4% ),130495,43991 ( 50.9% ),10248409076,1328568,4
2017-05-06,668,10.0%,2003,10.7%,292156,9.6%,32.8%,787254247,-268100911 ( -25.4% ),95953,-34542 ( -26.5% ),11035663323,1424521,4
2017-05-07,678,10.3%,1961,10.7%,283807,9.5%,24.1%,564665000,-222589247 ( -28.3% ),68526,-27427 ( -28.6% ),11600328323,1493047,4
2017-05-08,601,10.8%,2091,12.1%,300400,10.6%,10.8%,237734900,-326930100 ( -57.9% ),32564,-35962 ( -52.5% ),11838063223,1525611,4
2017-05-09,433,7.1%,888,4.9%,116126,3.9%,30.2%,275732000,37997100 ( 16.0% ),35102,2538 ( 7.8% ),12113795223,1560713,7
2017-05-10,410,8.1%,879,5.3%,116128,4.3%,7.5%,62439200,-213292800 ( -77.4% ),8766,-26336 ( -75.0% ),12176234423,1569479,7
2017-05-11,418,7.8%,832,5%,107713,3.9%,7.6%,55791700,-6647500 ( -10.6% ),8178,-588 ( -6.7% ),12232026123,1577657,7
2017-05-12,429,7.8%,837,4.9%,108229,3.9%,9.5%,80160500,24368800 ( 43.7% ),10334,2156 ( 26.4% ),12312186623,1587991,7
2017-05-13,335,5.5%,599,3.3%,73575,2.5%,17.6%,104407900,24247400 ( 30.2% ),12979,2645 ( 25.6% ),12416594523,1600970,8
2017-05-14,341,5.6%,582,3.3%,72796,2.5%,16.1%,94455000,-9952900 ( -9.5% ),11748,-1231 ( -9.5% ),12511049523,1612718,8
2017-05-15,368,7.2%,697,4.3%,89106,3.3%,7.4%,45965800,-48489200 ( -51.3% ),6602,-5146 ( -43.8% ),12557015323,1619320,7
2017-05-16,371,7.2%,677,4.2%,86541,3.3%,6.6%,37198500,-8767300 ( -19.1% ),5704,-898 ( -13.6% ),12594213823,1625024,7
2017-05-17,58,1.2%,81,0.5%,9611,0.4%,19.1%,12419000,-24779500 ( -66.6% ),1833,-3871 ( -67.9% ),12606632823,1626857,10
2017-05-18,64,1.2%,81,0.5%,9327,0.3%,24.5%,11101200,-1317800 ( -10.6% ),2285,452 ( 24.7% ),12617734023,1629142,12
2017-05-19,30,0.5%,40,0.2%,4436,0.2%,11.7%,3427500,-7673700 ( -69.1% ),519,-1766 ( -77.3% ),12621161523,1629661,15
2017-05-20,31,0.5%,40,0.2%,4813,0.2%,24.2%,8016200,4588700 ( 133.9% ),1165,646 ( 124.5% ),12629177723,1630826,16
2017-05-21,19,0.3%,27,0.2%,2860,0.1%,13.8%,3056500,-4959700 ( -61.9% ),394,-771 ( -66.2% ),12632234223,1631220,23
2017-05-22,20,0.4%,29,0.2%,3377,0.1%,5.0%,1052500,-2004000 ( -65.6% ),170,-224 ( -56.9% ),12633286723,1631390,30
2017-05-23,22,0.4%,33,0.2%,3547,0.1%,7.2%,1430000,377500 ( 35.9% ),256,86 ( 50.6% ),12634716723,1631646,21
2017-05-24,27,0.6%,27,0.2%,4197,0.2%,17.1%,4276000,2846000 ( 199.0% ),718,462 ( 180.5% ),12638992723,1632364,13
2017-05-25,7,0.1%,7,0%,954,0.0%,23.2%,990000,-3286000 ( -76.8% ),221,-497 ( -69.2% ),12639982723,1632585,24
2017-05-26,5,0.1%,5,0%,724,0.0%,13.8%,500000,-490000 ( -49.5% ),100,-121 ( -54.8% ),12640482723,1632685,40
2017-05-27,5,0.1%,5,0%,745,0.0%,13.4%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12640982723,1632785,53
2017-05-28,5,0.1%,5,0%,745,0.0%,13.4%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12641482723,1632885,53
2017-05-29,7,0.1%,9,0.1%,1506,0.1%,14.7%,1023000,523000 ( 104.6% ),222,122 ( 122.0% ),12642505723,1633107,24
2017-05-30,8,0.2%,8,0%,953,0.0%,29.7%,1415000,392000 ( 38.3% ),283,61 ( 27.5% ),12643920723,1633390,23
2017-05-31,7,0.1%,7,0%,911,0.0%,17.8%,783000,-632000 ( -44.7% ),162,-121 ( -42.8% ),12644703723,1633552,33
2017-06-01,6,0.1%,6,0%,877,0.0%,21.2%,930000,147000 ( 18.8% ),186,24 ( 14.8% ),12645633723,1633738,33
2017-06-02,5,0.1%,5,0%,805,0.0%,12.4%,500000,-430000 ( -46.2% ),100,-86 ( -46.2% ),12646133723,1633838,41
2017-06-03,5,0.1%,5,0%,795,0.0%,12.6%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12646633723,1633938,49
2017-06-04,5,0.1%,5,0%,842,0.0%,11.9%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12647133723,1634038,39
2017-06-05,5,0.1%,5,0%,794,0.0%,12.6%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12647633723,1634138,39
2017-06-06,5,0.1%,5,0%,919,0.0%,10.9%,500000,0 ( 0.0% ),100,0 ( 0.0% ),12648133723,1634238,40
2017-06-07,1,0.0%,1,0%,166,0.0%,99.4%,660000,160000 ( 32.0% ),165,65 ( 65.0% ),12648793723,1634403,28
2017-06-09,1,0.0%,1,0%,231,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),12648793723,1634403,107
2017-09-05,5,0.1%,5,0%,749,0.0%,80.1%,2400000,2400000 ( 100.0% ),600,600 ( 100.0% ),12651193723,1635003,22
