날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-09,3,0.1%,3,0%,552,0.0%,200.0%,8832000,8832000 ( 100.0% ),1104,1104 ( 100.0% ),8832000,1104,10
2018-04-10,3,0.1%,5,0%,332,0.0%,98.8%,2052000,-6780000 ( -76.8% ),328,-776 ( -70.3% ),10884000,1432,19
2018-04-11,1,0.0%,1,0%,207,0.0%,100.0%,1863000,-189000 ( -9.2% ),207,-121 ( -36.9% ),12747000,1639,28
2018-04-12,2,0.0%,2,0%,314,0.0%,100.6%,2525500,662500 ( 35.6% ),316,109 ( 52.7% ),15272500,1955,23
2018-04-13,1,0.0%,1,0%,189,0.0%,100.0%,1701000,-824500 ( -32.6% ),189,-127 ( -40.2% ),16973500,2144,31
2018-04-16,1,0.0%,1,0%,267,0.0%,100.0%,2403000,2403000 ( 100.0% ),267,267 ( 100.0% ),19376500,2411,23
2018-04-17,2,0.0%,2,0%,384,0.0%,100.0%,3072000,669000 ( 27.8% ),384,117 ( 43.8% ),22448500,2795,21
2018-04-18,2,0.0%,2,0%,343,0.0%,100.0%,3087000,15000 ( 0.5% ),343,-41 ( -10.7% ),25535500,3138,22
2018-04-19,5,0.1%,5,0%,1186,0.0%,100.0%,10674000,7587000 ( 245.8% ),1186,843 ( 245.8% ),36209500,4324,14
2018-04-20,1,0.0%,1,0%,124,0.0%,96.0%,1190000,-9484000 ( -88.9% ),119,-1067 ( -90.0% ),37399500,4443,50
2018-04-26,1,0.0%,1,0%,156,0.0%,100.0%,1248000,1248000 ( 100.0% ),156,156 ( 100.0% ),38647500,4599,37
2018-05-09,1,0.0%,1,0%,384,0.0%,100.0%,3456000,3456000 ( 100.0% ),384,384 ( 100.0% ),42103500,4983,12
2018-05-10,5,0.1%,6,0%,1048,0.0%,86.7%,8181000,4725000 ( 136.7% ),909,525 ( 136.7% ),50284500,5892,10
2018-05-16,139,2.8%,255,1.6%,31398,1.2%,6.2%,14730700,14730700 ( 100.0% ),1942,1942 ( 100.0% ),65015200,7834,7
2018-05-17,118,2.3%,197,1.2%,25082,0.9%,5.2%,9124500,-5606200 ( -38.1% ),1294,-648 ( -33.4% ),74139700,9128,10
2018-05-18,160,3.0%,256,1.5%,31766,1.1%,6.1%,14066900,4942400 ( 54.2% ),1926,632 ( 48.8% ),88206600,11054,9
2018-05-19,135,2.3%,207,1.1%,25182,0.9%,6.0%,12324500,-1742400 ( -12.4% ),1517,-409 ( -21.2% ),100531100,12571,12
2018-05-20,124,2.1%,186,1%,22207,0.8%,6.6%,12135900,-188600 ( -1.5% ),1465,-52 ( -3.4% ),112667000,14036,12
2018-05-21,114,2.0%,173,1%,21621,0.8%,4.0%,6279800,-5856100 ( -48.3% ),856,-609 ( -41.6% ),118946800,14892,13
2018-05-22,56,1.0%,67,0.4%,7442,0.3%,6.7%,3987800,-2292000 ( -36.5% ),496,-360 ( -42.1% ),122934600,15388,18
2018-05-23,35,0.7%,44,0.3%,4309,0.2%,8.0%,2412500,-1575300 ( -39.5% ),345,-151 ( -30.4% ),125347100,15733,19
2018-05-24,17,0.3%,18,0.1%,1632,0.1%,12.1%,1345000,-1067500 ( -44.2% ),197,-148 ( -42.9% ),126692100,15930,30
2018-05-25,16,0.3%,19,0.1%,2065,0.1%,21.0%,2564600,1219600 ( 90.7% ),434,237 ( 120.3% ),129256700,16364,16
2018-05-26,18,0.3%,23,0.1%,2161,0.1%,7.6%,1083300,-1481300 ( -57.8% ),164,-270 ( -62.2% ),130340000,16528,34
2018-05-27,17,0.3%,21,0.1%,1984,0.1%,5.8%,875900,-207400 ( -19.1% ),116,-48 ( -29.3% ),131215900,16644,35
2018-05-28,10,0.2%,12,0.1%,1017,0.0%,5.0%,326000,-549900 ( -62.8% ),51,-65 ( -56.0% ),131541900,16695,44
2018-05-29,13,0.3%,16,0.1%,1399,0.1%,12.2%,1280800,954800 ( 292.9% ),171,120 ( 235.3% ),132822700,16866,32
2018-05-30,8,0.1%,8,0%,881,0.0%,69.2%,3577000,2296200 ( 179.3% ),610,439 ( 256.7% ),136399700,17476,19
2018-05-31,4,0.1%,6,0%,679,0.0%,38.3%,1823000,-1754000 ( -49.0% ),260,-350 ( -57.4% ),138222700,17736,32
2018-06-01,4,0.1%,4,0%,505,0.0%,11.7%,260000,-1563000 ( -85.7% ),59,-201 ( -77.3% ),138482700,17795,51
2018-06-02,3,0.0%,4,0%,279,0.0%,6.5%,113000,-147000 ( -56.5% ),18,-41 ( -69.5% ),138595700,17813,75
2018-06-03,5,0.1%,6,0%,472,0.0%,5.3%,154000,41000 ( 36.3% ),25,7 ( 38.9% ),138749700,17838,71
2018-06-04,2,0.0%,3,0%,276,0.0%,1.4%,30000,-124000 ( -80.5% ),4,-21 ( -84.0% ),138779700,17842,82
2018-06-05,4,0.1%,5,0%,442,0.0%,35.1%,1056000,1026000 ( 3420.0% ),155,151 ( 3775.0% ),139835700,17997,38
2018-06-06,1,0.0%,2,0%,94,0.0%,27.7%,150000,-906000 ( -85.8% ),26,-129 ( -83.2% ),139985700,18023,68
2019-05-17,1,0.0%,1,0%,35,0.0%,2.9%,7000,7000 ( 100.0% ),1,1 ( 100.0% ),139992700,18024,113
2019-05-19,1,0.0%,1,0%,35,0.0%,42.9%,103000,103000 ( 100.0% ),15,15 ( 100.0% ),140095700,18039,61
