날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-13,5,0.1%,5,0%,1909,0.1%,97.3%,14864000,14864000 ( 100.0% ),1858,1858 ( 100.0% ),14864000,1858,13
2017-11-14,1,0.0%,1,0%,235,0.0%,100.0%,2115000,-12749000 ( -85.8% ),235,-1623 ( -87.4% ),16979000,2093,30
2017-11-15,1192,17.6%,4132,24%,794298,28.5%,19.3%,1246482600,1244367600 ( 58835.3% ),153553,153318 ( 65241.7% ),1263461600,155646,1
2017-11-16,1261,21.8%,6761,37.7%,1325052,45.6%,12.4%,1283604500,37121900 ( 3.0% ),164133,10580 ( 6.9% ),2547066100,319779,1
2017-11-17,1308,21.8%,6928,38.3%,1357449,46.4%,13.5%,1570217084,286612584 ( 22.3% ),183255,19122 ( 11.7% ),4117283184,503034,1
2017-11-18,1260,20.4%,7107,37.1%,1394406,45.2%,25.0%,2989563865,1419346781 ( 90.4% ),347934,164679 ( 89.9% ),7106847049,850968,1
2017-11-19,1237,20.2%,6857,36.9%,1352859,45.0%,21.5%,2479858800,-509705065 ( -17.0% ),290944,-56990 ( -16.4% ),9586705849,1141912,1
2017-11-20,1168,21.2%,6119,36.4%,1219953,44.3%,6.0%,563461300,-1916397500 ( -77.3% ),72978,-217966 ( -74.9% ),10150167149,1214890,1
2017-11-21,1174,20.7%,5901,35.6%,1183194,43.7%,5.1%,471091800,-92369500 ( -16.4% ),60926,-12052 ( -16.5% ),10621258949,1275816,1
2017-11-22,730,14.1%,3354,19.8%,588050,21.2%,7.6%,334680800,-136411000 ( -29.0% ),44903,-16023 ( -26.3% ),10955939749,1320719,2
2017-11-23,718,12.6%,3099,18%,540029,19.2%,7.8%,311497400,-23183400 ( -6.9% ),42378,-2525 ( -5.6% ),11267437149,1363097,2
2017-11-24,730,12.8%,3169,18.2%,548207,19.3%,9.1%,410121873,98624473 ( 31.7% ),49980,7602 ( 17.9% ),11677559022,1413077,2
2017-11-25,747,12.1%,3255,17.3%,550096,18.2%,19.8%,903206473,493084600 ( 120.2% ),109039,59059 ( 118.2% ),12580765495,1522116,2
2017-11-26,727,12.0%,3146,17.2%,532760,18.0%,18.6%,816339700,-86866773 ( -9.6% ),99253,-9786 ( -9.0% ),13397105195,1621369,2
2017-11-27,656,12.1%,2792,16.9%,478020,17.6%,4.9%,174189100,-642150600 ( -78.7% ),23350,-75903 ( -76.5% ),13571294295,1644719,2
2017-11-28,676,12.0%,2755,16.7%,471084,17.4%,4.8%,167066900,-7122200 ( -4.1% ),22695,-655 ( -2.8% ),13738361195,1667414,2
2017-11-29,464,8.6%,1195,6.8%,167304,5.8%,12.3%,125437500,-41629400 ( -24.9% ),20511,-2184 ( -9.6% ),13863798695,1687925,5
2017-11-30,423,7.7%,914,5.2%,130271,4.6%,8.3%,76947500,-48490000 ( -38.7% ),10825,-9686 ( -47.2% ),13940746195,1698750,5
2017-12-01,416,7.6%,878,4.9%,122814,4.2%,9.5%,92376600,15429100 ( 20.1% ),11719,894 ( 8.3% ),14033122795,1710469,6
2017-12-02,413,7.1%,795,4.1%,104036,3.4%,22.8%,193044800,100668200 ( 109.0% ),23699,11980 ( 102.2% ),14226167595,1734168,5
2017-12-03,404,6.9%,775,4.2%,103868,3.4%,19.7%,165016700,-28028100 ( -14.5% ),20412,-3287 ( -13.9% ),14391184295,1754580,5
2017-12-04,374,7.3%,741,4.4%,103779,3.7%,4.8%,37139100,-127877600 ( -77.5% ),5030,-15382 ( -75.4% ),14428323395,1759610,7
2017-12-05,372,7.0%,739,4.4%,104469,3.8%,5.1%,37209000,69900 ( 0.2% ),5298,268 ( 5.3% ),14465532395,1764908,7
2017-12-06,361,6.9%,709,4.2%,99487,3.6%,4.7%,33824000,-3385000 ( -9.1% ),4707,-591 ( -11.2% ),14499356395,1769615,7
2017-12-07,126,2.0%,191,1.1%,27552,1.0%,5.9%,12006500,-21817500 ( -64.5% ),1638,-3069 ( -65.2% ),14511362895,1771253,16
2017-12-08,141,2.2%,196,1.1%,27988,1.0%,10.7%,22127600,10121100 ( 84.3% ),2986,1348 ( 82.3% ),14533490495,1774239,12
2017-12-09,124,1.8%,177,0.9%,23754,0.8%,18.0%,35743800,13616200 ( 61.5% ),4279,1293 ( 43.3% ),14569234295,1778518,11
2017-12-10,113,1.6%,157,0.8%,22105,0.7%,14.9%,27467800,-8276000 ( -23.2% ),3293,-986 ( -23.0% ),14596702095,1781811,11
2017-12-11,109,1.8%,155,0.9%,21982,0.8%,5.0%,8191500,-19276300 ( -70.2% ),1098,-2195 ( -66.7% ),14604893595,1782909,16
2017-12-12,104,1.7%,150,0.9%,21707,0.8%,6.0%,9597000,1405500 ( 17.2% ),1313,215 ( 19.6% ),14614490595,1784222,17
2017-12-13,110,1.8%,152,0.9%,22752,0.8%,7.5%,11931000,2334000 ( 24.3% ),1698,385 ( 29.3% ),14626421595,1785920,16
2017-12-14,2,0.0%,2,0%,331,0.0%,42.0%,934000,-10997000 ( -92.2% ),139,-1559 ( -91.8% ),14627355595,1786059,51
2017-12-15,4,0.1%,4,0%,435,0.0%,15.4%,654000,-280000 ( -30.0% ),67,-72 ( -51.8% ),14628009595,1786126,66
2017-12-16,8,0.1%,8,0%,1069,0.0%,11.3%,830000,176000 ( 26.9% ),121,54 ( 80.6% ),14628839595,1786247,40
2017-12-17,7,0.1%,7,0%,1005,0.0%,2.9%,211500,-618500 ( -74.5% ),29,-92 ( -76.0% ),14629051095,1786276,63
2017-12-18,6,0.1%,6,0%,839,0.0%,3.8%,242200,30700 ( 14.5% ),32,3 ( 10.3% ),14629293295,1786308,63
2017-12-19,6,0.1%,6,0%,784,0.0%,2.9%,154500,-87700 ( -36.2% ),23,-9 ( -28.1% ),14629447795,1786331,73
2017-12-20,4,0.1%,4,0%,469,0.0%,0.9%,17000,-137500 ( -89.0% ),4,-19 ( -82.6% ),14629464795,1786335,100
