날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-12-10,1,0.0%,1,0%,200,0.0%,100.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),1800000,200,35
2018-12-12,1,0.0%,1,0%,200,0.0%,100.0%,1790000,1790000 ( 100.0% ),200,200 ( 100.0% ),3590000,400,31
2018-12-13,2,0.0%,2,0%,334,0.0%,100.0%,3006000,1216000 ( 67.9% ),334,134 ( 67.0% ),6596000,734,33
2018-12-14,4,0.1%,4,0%,914,0.0%,98.2%,8988000,5982000 ( 199.0% ),898,564 ( 168.9% ),15584000,1632,28
2018-12-15,1,0.0%,1,0%,123,0.0%,100.0%,957000,-8031000 ( -89.4% ),123,-775 ( -86.3% ),16541000,1755,53
2018-12-19,1,0.0%,1,0%,196,0.0%,100.0%,980000,980000 ( 100.0% ),196,196 ( 100.0% ),17521000,1951,32
2018-12-20,9,0.1%,9,0.1%,2581,0.1%,97.8%,21766000,20786000 ( 2121.0% ),2525,2329 ( 1188.3% ),39287000,4476,14
2018-12-21,3,0.0%,3,0%,624,0.0%,100.0%,5650000,-16116000 ( -74.0% ),624,-1901 ( -75.3% ),44937000,5100,22
2018-12-22,8,0.1%,8,0%,1291,0.0%,100.0%,12910000,7260000 ( 128.5% ),1291,667 ( 106.9% ),57847000,6391,16
2018-12-23,1,0.0%,1,0%,125,0.0%,100.0%,1250000,-11660000 ( -90.3% ),125,-1166 ( -90.3% ),59097000,6516,37
2018-12-25,672,9.1%,1323,6.6%,194366,6.2%,79.5%,1234641300,1234641300 ( 100.0% ),154579,154579 ( 100.0% ),1293738300,161095,4
2018-12-26,413,6.3%,568,3.1%,70341,2.4%,22.0%,107523050,-1127118250 ( -91.3% ),15460,-139119 ( -90.0% ),1401261350,176555,7
2018-12-27,471,7.0%,647,3.5%,84088,2.9%,21.5%,128684350,21161300 ( 19.7% ),18039,2579 ( 16.7% ),1529945700,194594,7
2018-12-28,514,7.4%,714,3.8%,93572,3.2%,22.3%,166993300,38308950 ( 29.8% ),20896,2857 ( 15.8% ),1696939000,215490,7
2018-12-29,610,8.3%,1133,5.8%,161477,5.3%,37.5%,481600450,314607150 ( 188.4% ),60502,39606 ( 189.5% ),2178539450,275992,6
2018-12-30,623,8.6%,1136,5.9%,161069,5.3%,35.8%,465457300,-16143150 ( -3.4% ),57634,-2868 ( -4.7% ),2643996750,333626,6
2018-12-31,553,8.0%,943,4.9%,129482,4.3%,32.2%,297544650,-167912650 ( -36.1% ),41686,-15948 ( -27.7% ),2941541400,375312,6
2019-01-01,581,8.1%,1083,5.6%,154162,5.1%,39.3%,490861100,193316450 ( 65.0% ),60574,18888 ( 45.3% ),3432402500,435886,7
2019-01-02,501,7.4%,843,4.6%,118275,4.1%,17.9%,150542800,-340318300 ( -69.3% ),21225,-39349 ( -65.0% ),3582945300,457111,7
