날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-07,1,0.0%,1,0%,200,0.0%,100.0%,1990000,1990000 ( 100.0% ),200,200 ( 100.0% ),1990000,200,34
2018-04-11,2,0.0%,2,0%,609,0.0%,100.0%,4872000,4872000 ( 100.0% ),609,609 ( 100.0% ),6862000,809,13
2018-04-15,6,0.1%,6,0%,1250,0.0%,100.0%,12444000,12444000 ( 100.0% ),1250,1250 ( 100.0% ),19306000,2059,18
2018-04-19,152,2.5%,157,0.9%,19401,0.7%,2.9%,4071400,4071400 ( 100.0% ),566,566 ( 100.0% ),23377400,2625,26
2018-04-20,166,2.6%,175,1%,22195,0.8%,5.2%,7716900,3645500 ( 89.5% ),1149,583 ( 103.0% ),31094300,3774,17
2018-04-21,313,4.4%,482,2.5%,61370,2.0%,18.9%,92048900,84332000 ( 1092.8% ),11623,10474 ( 911.6% ),123143200,15397,8
2018-04-22,331,4.8%,515,2.7%,65795,2.2%,23.8%,127444700,35395800 ( 38.5% ),15690,4067 ( 35.0% ),250587900,31087,8
2018-04-23,150,2.5%,159,0.9%,20547,0.8%,4.0%,5850800,-121593900 ( -95.4% ),826,-14864 ( -94.7% ),256438700,31913,18
2018-04-24,125,2.0%,131,0.8%,16675,0.6%,4.3%,4703900,-1146900 ( -19.6% ),717,-109 ( -13.2% ),261142600,32630,19
2018-04-25,38,0.7%,39,0.2%,4506,0.2%,7.5%,2054400,-2649500 ( -56.3% ),338,-379 ( -52.9% ),263197000,32968,20
2018-04-26,14,0.3%,15,0.1%,1669,0.1%,18.0%,1699000,-355400 ( -17.3% ),301,-37 ( -10.9% ),264896000,33269,25
2018-04-27,11,0.2%,13,0.1%,918,0.0%,14.4%,827000,-872000 ( -51.3% ),132,-169 ( -56.1% ),265723000,33401,33
2018-04-28,42,0.8%,54,0.3%,6077,0.2%,15.6%,7010100,6183100 ( 747.7% ),948,816 ( 618.2% ),272733100,34349,12
2018-04-29,43,0.8%,56,0.3%,6210,0.2%,17.0%,7832200,822100 ( 11.7% ),1054,106 ( 11.2% ),280565300,35403,10
2018-04-30,19,0.4%,23,0.1%,2197,0.1%,10.5%,1520200,-6312000 ( -80.6% ),231,-823 ( -78.1% ),282085500,35634,28
2018-05-01,22,0.5%,26,0.2%,2721,0.1%,31.1%,5737100,4216900 ( 277.4% ),845,614 ( 265.8% ),287822600,36479,12
2018-05-02,12,0.3%,15,0.1%,1605,0.1%,7.2%,721100,-5016000 ( -87.4% ),115,-730 ( -86.4% ),288543700,36594,42
2018-05-03,4,0.1%,4,0%,377,0.0%,50.4%,865000,143900 ( 20.0% ),190,75 ( 65.2% ),289408700,36784,33
2018-05-04,6,0.1%,6,0%,780,0.0%,47.4%,2005000,1140000 ( 131.8% ),370,180 ( 94.7% ),291413700,37154,20
2018-05-05,2,0.0%,3,0%,498,0.0%,6.0%,242000,-1763000 ( -87.9% ),30,-340 ( -91.9% ),291655700,37184,60
2018-05-06,1,0.0%,1,0%,158,0.0%,20.3%,277000,35000 ( 14.5% ),32,2 ( 6.7% ),291932700,37216,62
2018-05-07,2,0.0%,2,0%,224,0.0%,8.9%,126000,-151000 ( -54.5% ),20,-12 ( -37.5% ),292058700,37236,61
2018-05-08,1,0.0%,1,0%,52,0.0%,65.4%,170000,44000 ( 34.9% ),34,14 ( 70.0% ),292228700,37270,53
2018-05-18,1,0.0%,1,0%,124,0.0%,58.9%,365000,365000 ( 100.0% ),73,73 ( 100.0% ),292593700,37343,44
