날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-02-19,1,0.0%,1,0%,149,0.0%,100.0%,1043000,1043000 ( 100.0% ),149,149 ( 100.0% ),1043000,149,31
2016-02-25,289,5.3%,663,4.1%,93069,3.4%,21.3%,145117000,145117000 ( 100.0% ),19795,19795 ( 100.0% ),146160000,19944,9
2016-02-26,294,5.2%,667,4%,92758,3.4%,17.8%,128209000,-16908000 ( -11.7% ),16489,-3306 ( -16.7% ),274369000,36433,9
2016-02-27,298,5.0%,594,3.4%,80216,2.8%,32.3%,202030300,73821300 ( 57.6% ),25944,9455 ( 57.3% ),476399300,62377,9
2016-02-28,312,5.2%,606,3.6%,81954,2.9%,30.2%,193686100,-8344200 ( -4.1% ),24745,-1199 ( -4.6% ),670085400,87122,9
2016-02-29,309,5.5%,642,3.9%,87110,3.2%,17.6%,111643600,-82042500 ( -42.4% ),15331,-9414 ( -38.0% ),781729000,102453,9
2016-03-01,303,5.2%,593,3.6%,79363,2.9%,29.0%,179657500,68013900 ( 60.9% ),23032,7701 ( 50.2% ),961386500,125485,10
2016-03-02,260,5.1%,543,3.6%,74339,2.9%,5.5%,30670000,-148987500 ( -82.9% ),4099,-18933 ( -82.2% ),992056500,129584,9
2016-03-03,87,1.7%,148,1%,20263,0.8%,3.0%,4613500,-26056500 ( -85.0% ),618,-3481 ( -84.9% ),996670000,130202,20
2016-03-04,95,1.8%,155,1%,20301,0.8%,4.3%,6758000,2144500 ( 46.5% ),869,251 ( 40.6% ),1003428000,131071,18
2016-03-05,81,1.4%,131,0.8%,16993,0.6%,11.0%,14884600,8126600 ( 120.3% ),1867,998 ( 114.8% ),1018312600,132938,18
2016-03-06,78,1.4%,128,0.8%,16892,0.6%,10.1%,13511800,-1372800 ( -9.2% ),1700,-167 ( -8.9% ),1031824400,134638,19
2016-03-07,77,1.5%,102,0.7%,13179,0.5%,3.0%,2954500,-10557300 ( -78.1% ),400,-1300 ( -76.5% ),1034778900,135038,21
2016-03-08,74,1.4%,103,0.7%,13728,0.6%,3.0%,3064000,109500 ( 3.7% ),409,9 ( 2.3% ),1037842900,135447,29
2016-03-09,68,1.3%,105,0.7%,14103,0.6%,2.8%,2948000,-116000 ( -3.8% ),393,-16 ( -3.9% ),1040790900,135840,23
2016-03-10,3,0.1%,4,0%,531,0.0%,1.7%,69000,-2879000 ( -97.7% ),9,-384 ( -97.7% ),1040859900,135849,83
2016-03-11,3,0.1%,4,0%,531,0.0%,1.7%,67000,-2000 ( -2.9% ),9,0 ( 0.0% ),1040926900,135858,87
2016-03-12,1,0.0%,1,0%,154,0.0%,1.9%,24000,-43000 ( -64.2% ),3,-6 ( -66.7% ),1040950900,135861,98
2016-03-13,2,0.0%,2,0%,293,0.0%,3.1%,67000,43000 ( 179.2% ),9,6 ( 200.0% ),1041017900,135870,86
2016-03-14,1,0.0%,1,0%,139,0.0%,0.7%,9000,-58000 ( -86.6% ),1,-8 ( -88.9% ),1041026900,135871,86
2016-03-15,1,0.0%,1,0%,139,0.0%,1.4%,16000,7000 ( 77.8% ),2,1 ( 100.0% ),1041042900,135873,100
2016-03-16,1,0.0%,1,0%,139,0.0%,0.7%,7000,-9000 ( -56.3% ),1,-1 ( -50.0% ),1041049900,135874,100
