날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-01-11,6,0.1%,10,0.1%,2318,0.1%,98.9%,20720800,20720800 ( 100.0% ),2292,2292 ( 100.0% ),20720800,2292,12
2018-01-18,25,0.4%,70,0.4%,11234,0.4%,60.2%,49236400,49236400 ( 100.0% ),6765,6765 ( 100.0% ),69957200,9057,7
2018-01-19,25,0.4%,71,0.4%,12089,0.4%,35.0%,31269700,-17966700 ( -36.5% ),4228,-2537 ( -37.5% ),101226900,13285,8
2018-01-20,24,0.4%,64,0.4%,10631,0.4%,41.1%,34787700,3518000 ( 11.3% ),4365,137 ( 3.2% ),136014600,17650,10
2018-01-21,24,0.4%,62,0.4%,10049,0.4%,33.8%,26122000,-8665700 ( -24.9% ),3400,-965 ( -22.1% ),162136600,21050,10
2018-01-22,23,0.4%,55,0.3%,9118,0.3%,22.0%,14251200,-11870800 ( -45.4% ),2003,-1397 ( -41.1% ),176387800,23053,9
2018-01-23,23,0.4%,54,0.3%,8992,0.3%,22.2%,13692600,-558600 ( -3.9% ),1994,-9 ( -0.4% ),190080400,25047,11
2018-01-24,19,0.3%,28,0.2%,4852,0.2%,23.3%,7795100,-5897500 ( -43.1% ),1132,-862 ( -43.2% ),197875500,26179,13
2018-01-25,19,0.3%,28,0.2%,4739,0.2%,22.6%,7131500,-663600 ( -8.5% ),1072,-60 ( -5.3% ),205007000,27251,20
2018-01-26,22,0.3%,30,0.2%,5260,0.2%,21.6%,8412000,1280500 ( 18.0% ),1134,62 ( 5.8% ),213419000,28385,18
2018-01-27,19,0.3%,28,0.1%,4821,0.2%,36.6%,15260500,6848500 ( 81.4% ),1764,630 ( 55.6% ),228679500,30149,16
2018-01-28,19,0.3%,28,0.2%,4829,0.2%,26.4%,10437000,-4823500 ( -31.6% ),1275,-489 ( -27.7% ),239116500,31424,16
2018-01-29,19,0.3%,28,0.2%,4779,0.2%,23.6%,7906500,-2530500 ( -24.2% ),1128,-147 ( -11.5% ),247023000,32552,17
