날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-02-15,4,0.1%,4,0%,1052,0.0%,100.0%,7780000,7780000 ( 100.0% ),1052,1052 ( 100.0% ),7780000,1052,19
2017-02-16,2,0.0%,2,0%,399,0.0%,100.0%,3192000,-4588000 ( -59.0% ),399,-653 ( -62.1% ),10972000,1451,29
2017-02-18,1,0.0%,1,0%,102,0.0%,100.0%,1039000,1039000 ( 100.0% ),102,102 ( 100.0% ),12011000,1553,52
2017-02-21,2,0.0%,2,0%,250,0.0%,48.0%,1080000,1080000 ( 100.0% ),120,120 ( 100.0% ),13091000,1673,45
2017-02-22,224,3.7%,1007,5.7%,165097,5.7%,24.8%,257445100,256365100 ( 23737.5% ),40988,40868 ( 34056.7% ),270536100,42661,5
2017-02-23,213,3.5%,987,5.6%,169429,5.9%,13.6%,179767700,-77677400 ( -30.2% ),22981,-18007 ( -43.9% ),450303800,65642,6
2017-02-24,241,3.7%,1028,5.7%,172368,5.9%,14.8%,223047100,43279400 ( 24.1% ),25443,2462 ( 10.7% ),673350900,91085,6
2017-02-25,250,3.6%,1041,5.6%,172895,5.7%,27.0%,413663800,190616700 ( 85.5% ),46729,21286 ( 83.7% ),1087014700,137814,6
2017-02-26,247,3.6%,1006,5.5%,166244,5.6%,24.9%,364033200,-49630600 ( -12.0% ),41344,-5385 ( -11.5% ),1451047900,179158,6
2017-02-27,222,3.6%,966,5.6%,158835,5.6%,10.2%,127526100,-236507100 ( -65.0% ),16255,-25089 ( -60.7% ),1578574000,195413,6
2017-02-28,238,3.3%,762,4.4%,120547,4.2%,11.4%,106476300,-21049800 ( -16.5% ),13795,-2460 ( -15.1% ),1685050300,209208,7
2017-03-01,165,2.7%,404,2.3%,54837,1.9%,20.8%,98326400,-8149900 ( -7.7% ),11417,-2378 ( -17.2% ),1783376700,220625,10
2017-03-02,172,3.0%,446,2.8%,61624,2.4%,7.3%,35080400,-63246000 ( -64.3% ),4522,-6895 ( -60.4% ),1818457100,225147,9
2017-03-03,170,2.9%,436,2.7%,59748,2.2%,9.4%,48766500,13686100 ( 39.0% ),5593,1071 ( 23.7% ),1867223600,230740,8
2017-03-04,178,2.8%,385,2.2%,52780,1.9%,17.8%,83014500,34248000 ( 70.2% ),9410,3817 ( 68.2% ),1950238100,240150,10
2017-03-05,164,2.6%,360,2.1%,49215,1.8%,15.3%,67050500,-15964000 ( -19.2% ),7537,-1873 ( -19.9% ),2017288600,247687,11
2017-03-06,176,3.3%,402,2.7%,56195,2.3%,7.1%,25878900,-41171600 ( -61.4% ),3964,-3573 ( -47.4% ),2043167500,251651,9
2017-03-07,174,3.1%,407,2.7%,56799,2.3%,7.0%,25765000,-113900 ( -0.4% ),3990,26 ( 0.7% ),2068932500,255641,10
2017-03-08,116,2.2%,210,1.4%,29092,1.1%,6.2%,11750700,-14014300 ( -54.4% ),1804,-2186 ( -54.8% ),2080683200,257445,12
2017-03-09,107,1.9%,165,1.1%,23759,0.9%,6.7%,10248500,-1502200 ( -12.8% ),1589,-215 ( -11.9% ),2090931700,259034,14
2017-03-10,105,1.9%,157,1%,22410,0.9%,7.8%,11375100,1126600 ( 11.0% ),1744,155 ( 9.8% ),2102306800,260778,13
2017-03-11,100,1.6%,147,0.8%,19476,0.7%,16.3%,21220000,9844900 ( 86.5% ),3179,1435 ( 82.3% ),2123526800,263957,16
2017-03-12,98,1.6%,146,0.9%,19396,0.7%,13.4%,17187800,-4032200 ( -19.0% ),2605,-574 ( -18.1% ),2140714600,266562,16
2017-03-13,104,2.0%,148,1%,20678,0.8%,5.6%,7488500,-9699300 ( -56.4% ),1157,-1448 ( -55.6% ),2148203100,267719,14
