날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-09-30,1,0.0%,1,0%,35,0.0%,8.6%,18000,18000 ( 100.0% ),3,3 ( 100.0% ),18000,3,109
2016-10-02,1,0.0%,1,0%,35,0.0%,5.7%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),30000,5,102
2017-09-02,6,0.1%,9,0%,1862,0.1%,100.0%,18610000,18610000 ( 100.0% ),1862,1862 ( 100.0% ),18640000,1867,18
2017-09-03,4,0.1%,4,0%,684,0.0%,100.0%,6840000,-11770000 ( -63.2% ),684,-1178 ( -63.3% ),25480000,2551,25
2017-09-05,1,0.0%,1,0%,126,0.0%,100.0%,992000,992000 ( 100.0% ),126,126 ( 100.0% ),26472000,2677,46
2017-09-06,9,0.2%,9,0.1%,1957,0.1%,96.2%,28213000,27221000 ( 2744.1% ),1882,1756 ( 1393.7% ),54685000,4559,14
2017-09-12,18,0.3%,18,0.1%,2878,0.1%,90.3%,15588000,15588000 ( 100.0% ),2598,2598 ( 100.0% ),70273000,7157,10
2017-09-13,1,0.0%,1,0%,150,0.0%,0.0%,0,-15588000 ( -100.0% ),0,-2598 ( -100.0% ),70273000,7157,131
2017-09-14,101,1.8%,243,1.4%,32911,1.2%,12.1%,31023200,31023200 ( 100.0% ),3967,3967 ( 100.0% ),101296200,11124,10
2017-09-15,99,1.7%,246,1.4%,33692,1.2%,9.2%,27401900,-3621300 ( -11.7% ),3116,-851 ( -21.5% ),128698100,14240,11
2017-09-16,95,1.5%,233,1.2%,31458,1.0%,15.7%,41565100,14163200 ( 51.7% ),4949,1833 ( 58.8% ),170263200,19189,12
2017-09-17,95,1.5%,216,1.2%,29221,1.0%,11.6%,28089500,-13475600 ( -32.4% ),3397,-1552 ( -31.4% ),198352700,22586,14
2017-09-18,79,1.4%,174,1.1%,23806,0.9%,4.2%,7734500,-20355000 ( -72.5% ),1002,-2395 ( -70.5% ),206087200,23588,17
2017-09-19,89,1.6%,185,1.1%,25149,0.9%,3.7%,7054500,-680000 ( -8.8% ),936,-66 ( -6.6% ),213141700,24524,20
2017-09-20,81,1.4%,156,1%,21343,0.8%,4.0%,6499100,-555400 ( -7.9% ),844,-92 ( -9.8% ),219640800,25368,20
2017-09-21,34,0.6%,55,0.3%,7666,0.3%,5.8%,3434800,-3064300 ( -47.1% ),448,-396 ( -46.9% ),223075600,25816,27
2017-09-22,35,0.6%,57,0.3%,7907,0.3%,6.2%,4282600,847800 ( 24.7% ),487,39 ( 8.7% ),227358200,26303,24
2017-09-23,44,0.7%,65,0.4%,9396,0.3%,9.9%,7983200,3700600 ( 86.4% ),934,447 ( 91.8% ),235341400,27237,28
2017-09-24,36,0.6%,56,0.3%,7768,0.3%,8.7%,5757400,-2225800 ( -27.9% ),679,-255 ( -27.3% ),241098800,27916,27
2017-09-25,24,0.5%,43,0.3%,5780,0.2%,3.7%,1627500,-4129900 ( -71.7% ),214,-465 ( -68.5% ),242726300,28130,43
2017-09-26,28,0.5%,46,0.3%,6412,0.2%,7.9%,6582000,4954500 ( 304.4% ),506,292 ( 136.4% ),249308300,28636,24
2017-09-27,4,0.1%,6,0%,826,0.0%,16.9%,926000,-5656000 ( -85.9% ),140,-366 ( -72.3% ),250234300,28776,47
2017-09-28,4,0.1%,7,0%,948,0.0%,15.7%,1057000,131000 ( 14.1% ),149,9 ( 6.4% ),251291300,28925,46
2017-09-29,2,0.0%,5,0%,587,0.0%,25.9%,1308500,251500 ( 23.8% ),152,3 ( 2.0% ),252599800,29077,43
2017-09-30,1,0.0%,3,0%,402,0.0%,62.2%,1897000,588500 ( 45.0% ),250,98 ( 64.5% ),254496800,29327,36
2017-10-01,3,0.1%,6,0%,824,0.0%,33.5%,2084500,187500 ( 9.9% ),276,26 ( 10.4% ),256581300,29603,32
2017-10-02,1,0.0%,4,0%,536,0.0%,47.2%,1814000,-270500 ( -13.0% ),253,-23 ( -8.3% ),258395300,29856,32
2017-10-03,2,0.0%,6,0%,814,0.0%,23.8%,1640500,-173500 ( -9.6% ),194,-59 ( -23.3% ),260035800,30050,31
2017-10-04,1,0.0%,5,0%,670,0.0%,13.9%,811500,-829000 ( -50.5% ),93,-101 ( -52.1% ),260847300,30143,38
2017-10-05,1,0.0%,6,0%,804,0.0%,37.3%,2610500,1799000 ( 221.7% ),300,207 ( 222.6% ),263457800,30443,28
2017-10-06,2,0.0%,3,0%,366,0.0%,29.0%,643500,-1967000 ( -75.3% ),106,-194 ( -64.7% ),264101300,30549,46
2017-10-07,2,0.0%,2,0%,278,0.0%,18.0%,309000,-334500 ( -52.0% ),50,-56 ( -52.8% ),264410300,30599,55
2017-10-08,2,0.0%,2,0%,232,0.0%,15.1%,201500,-107500 ( -34.8% ),35,-15 ( -30.0% ),264611800,30634,63
2017-10-09,1,0.0%,1,0%,134,0.0%,37.3%,313500,112000 ( 55.6% ),50,15 ( 42.9% ),264925300,30684,53
2017-10-10,2,0.0%,2,0%,232,0.0%,3.9%,43000,-270500 ( -86.3% ),9,-41 ( -82.0% ),264968300,30693,69
2017-10-11,2,0.0%,2,0%,185,0.0%,2.2%,22000,-21000 ( -48.8% ),4,-5 ( -55.6% ),264990300,30697,86
2017-10-14,2,0.0%,2,0%,278,0.0%,5.0%,93000,93000 ( 100.0% ),14,14 ( 100.0% ),265083300,30711,66
2017-10-15,1,0.0%,1,0%,134,0.0%,3.7%,31500,-61500 ( -66.1% ),5,-9 ( -64.3% ),265114800,30716,89
2017-10-17,1,0.0%,1,0%,144,0.0%,2.1%,18000,18000 ( 100.0% ),3,3 ( 100.0% ),265132800,30719,91
2019-03-09,1,0.0%,1,0%,52,0.0%,76.9%,355000,355000 ( 100.0% ),40,40 ( 100.0% ),265487800,30759,53
