날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-12-02,1,0.0%,1,0%,160,0.0%,70.6%,776000,776000 ( 100.0% ),113,113 ( 100.0% ),776000,113,53
2017-12-05,1,0.0%,1,0%,108,0.0%,48.1%,341000,341000 ( 100.0% ),52,52 ( 100.0% ),1117000,165,79
2017-12-06,1,0.0%,1,0%,210,0.0%,75.7%,1113000,772000 ( 226.4% ),159,107 ( 205.8% ),2230000,324,41
2017-12-22,1,0.0%,1,0%,77,0.0%,76.6%,531000,531000 ( 100.0% ),59,59 ( 100.0% ),2761000,383,56
2018-04-13,1,0.0%,1,0%,212,0.0%,26.4%,270000,270000 ( 100.0% ),56,56 ( 100.0% ),3031000,439,56
2018-04-21,1,0.0%,1,0%,210,0.0%,62.4%,917000,917000 ( 100.0% ),131,131 ( 100.0% ),3948000,570,55
2018-09-05,3,0.1%,4,0%,724,0.0%,85.2%,5553000,5553000 ( 100.0% ),617,617 ( 100.0% ),9501000,1187,14
2018-09-06,1,0.0%,1,0%,108,0.0%,100.0%,1080000,-4473000 ( -80.6% ),108,-509 ( -82.5% ),10581000,1295,38
2018-09-11,1,0.0%,1,0%,92,0.0%,87.0%,717000,717000 ( 100.0% ),80,80 ( 100.0% ),11298000,1375,48
2018-09-12,1,0.0%,1,0%,358,0.0%,79.1%,3107000,2390000 ( 333.3% ),283,203 ( 253.8% ),14405000,1658,22
2018-09-13,70,1.3%,151,0.8%,17421,0.6%,8.2%,11390250,8283250 ( 266.6% ),1434,1151 ( 406.7% ),25795250,3092,16
2018-09-14,69,1.3%,149,0.8%,16195,0.5%,7.0%,9946000,-1444250 ( -12.7% ),1137,-297 ( -20.7% ),35741250,4229,13
2018-09-15,66,1.2%,133,0.7%,14559,0.4%,13.3%,17430350,7484350 ( 75.2% ),1937,800 ( 70.4% ),53171600,6166,12
2018-09-16,69,1.2%,140,0.7%,14810,0.5%,12.4%,16572350,-858000 ( -4.9% ),1838,-99 ( -5.1% ),69743950,8004,12
2018-09-17,67,1.4%,165,0.9%,17388,0.6%,6.9%,9698950,-6873400 ( -41.5% ),1194,-644 ( -35.0% ),79442900,9198,13
2018-09-18,66,1.3%,158,0.9%,17763,0.6%,5.6%,7827500,-1871450 ( -19.3% ),993,-201 ( -16.8% ),87270400,10191,17
2018-09-19,50,1.0%,117,0.6%,12922,0.4%,6.2%,6694750,-1132750 ( -14.5% ),804,-189 ( -19.0% ),93965150,10995,9
2018-09-20,39,0.7%,63,0.3%,7181,0.2%,6.1%,3574450,-3120300 ( -46.6% ),438,-366 ( -45.5% ),97539600,11433,18
2018-09-21,37,0.7%,61,0.3%,6540,0.2%,10.4%,6647300,3072850 ( 86.0% ),683,245 ( 55.9% ),104186900,12116,14
2018-09-22,32,0.5%,55,0.3%,6558,0.2%,13.3%,8076450,1429150 ( 21.5% ),872,189 ( 27.7% ),112263350,12988,14
2018-09-23,31,0.5%,53,0.3%,6206,0.2%,12.4%,7219100,-857350 ( -10.6% ),768,-104 ( -11.9% ),119482450,13756,15
2018-09-24,30,0.5%,41,0.2%,3883,0.1%,14.5%,5193900,-2025200 ( -28.1% ),564,-204 ( -26.6% ),124676350,14320,15
2018-09-25,31,0.5%,41,0.2%,4685,0.1%,18.3%,7876750,2682850 ( 51.7% ),859,295 ( 52.3% ),132553100,15179,15
2018-09-26,32,0.5%,40,0.2%,3785,0.1%,33.6%,7855650,-21100 ( -0.3% ),1272,413 ( 48.1% ),140408750,16451,15
2018-09-27,34,0.6%,45,0.2%,5288,0.2%,6.9%,2866400,-4989250 ( -63.5% ),364,-908 ( -71.4% ),143275150,16815,20
2018-09-28,33,0.6%,44,0.2%,4348,0.1%,9.3%,3680700,814300 ( 28.4% ),403,39 ( 10.7% ),146955850,17218,20
2018-09-29,29,0.5%,33,0.2%,3613,0.1%,17.6%,6045000,2364300 ( 64.2% ),635,232 ( 57.6% ),153000850,17853,17
2018-09-30,31,0.5%,39,0.2%,4581,0.2%,13.7%,5475900,-569100 ( -9.4% ),627,-8 ( -1.3% ),158476750,18480,17
