날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-06-05,1,0.0%,1,0%,624,0.0%,100.0%,11856000,11856000 ( 100.0% ),624,624 ( 100.0% ),11856000,624,19
2018-06-06,1932,36.8%,10478,57.1%,1870051,64.8%,63.3%,10312367000,10300511000 ( 86880.2% ),1183496,1182872 ( 189562.8% ),10324223000,1184120,1
2018-06-07,1748,36.1%,9048,53.8%,1652171,61.6%,14.0%,1956879600,-8355487400 ( -81.0% ),231824,-951672 ( -80.4% ),12281102600,1415944,1
2018-06-08,1801,36.8%,9427,54.9%,1715888,62.6%,18.2%,2887717428,930837828 ( 47.6% ),312523,80699 ( 34.8% ),15168820028,1728467,1
2018-06-09,1972,36.4%,10699,57.7%,1910644,65.5%,41.4%,7165619172,4277901744 ( 148.1% ),791322,478799 ( 153.2% ),22334439200,2519789,1
2018-06-10,1949,36.2%,10372,57.3%,1855507,65.1%,37.9%,6302396800,-863222372 ( -12.0% ),703627,-87695 ( -11.1% ),28636836000,3223416,1
2018-06-11,1741,37.4%,9015,55%,1650443,63.0%,8.7%,1217879400,-5084517400 ( -80.7% ),143980,-559647 ( -79.5% ),29854715400,3367396,1
2018-06-12,1772,36.7%,9174,54.8%,1681209,62.9%,11.0%,1560082600,342203200 ( 28.1% ),185612,41632 ( 28.9% ),31414798000,3553008,1
2018-06-13,1255,24.5%,6368,34%,1165050,39.5%,38.4%,3908149350,2348066750 ( 150.5% ),446878,261266 ( 140.8% ),35322947350,3999886,1
2018-06-14,1170,25.9%,5680,32.7%,1043759,37.8%,8.2%,719750900,-3188398450 ( -81.6% ),85201,-361677 ( -80.9% ),36042698250,4085087,2
2018-06-15,1159,25.4%,5830,32.6%,1072044,37.7%,10.5%,1038016210,318265310 ( 44.2% ),112623,27422 ( 32.2% ),37080714460,4197710,2
2018-06-16,1231,23.7%,6255,32.9%,1155219,38.5%,25.8%,2716880179,1678863969 ( 161.7% ),298353,185730 ( 164.9% ),39797594639,4496063,1
2018-06-17,1202,23.3%,5968,32.2%,1104313,37.8%,23.3%,2320975600,-395904579 ( -14.6% ),257100,-41253 ( -13.8% ),42118570239,4753163,2
2018-06-18,1087,24.8%,4873,29.9%,905932,34.8%,5.0%,370333400,-1950642200 ( -84.0% ),44981,-212119 ( -82.5% ),42488903639,4798144,2
2018-06-19,1077,23.9%,4962,29.4%,923293,34.3%,5.3%,410466500,40133100 ( 10.8% ),49101,4120 ( 9.2% ),42899370139,4847245,2
2018-06-20,930,21.0%,4237,24.9%,773872,28.4%,7.0%,449800400,39333900 ( 9.6% ),53864,4763 ( 9.7% ),43349170539,4901109,2
2018-06-21,809,14.9%,3206,18.9%,594692,21.8%,7.9%,385525400,-64275000 ( -14.3% ),47104,-6760 ( -12.6% ),43734695939,4948213,3
2018-06-22,823,14.9%,3348,19%,611890,21.6%,10.2%,557064852,171539452 ( 44.5% ),62548,15444 ( 32.8% ),44291760791,5010761,2
2018-06-23,899,14.7%,3695,19.9%,646705,22.0%,21.2%,1201925146,644860294 ( 115.8% ),137047,74499 ( 119.1% ),45493685937,5147808,2
2018-06-24,888,14.7%,3665,20%,639233,21.9%,21.2%,1195805600,-6119546 ( -0.5% ),135637,-1410 ( -1.0% ),46689491537,5283445,2
2018-06-25,757,14.4%,3120,18.7%,566394,21.1%,6.6%,304913900,-890891700 ( -74.5% ),37327,-98310 ( -72.5% ),46994405437,5320772,3
2018-06-26,771,14.2%,3114,18.5%,560853,20.8%,6.3%,286975900,-17938000 ( -5.9% ),35315,-2012 ( -5.4% ),47281381337,5356087,3
2018-06-27,524,9.5%,1510,9%,229772,8.6%,17.3%,236549500,-50426400 ( -17.6% ),39713,4398 ( 12.5% ),47517930837,5395800,5
2018-06-28,494,9.1%,1447,8.5%,219318,8.0%,9.1%,159782000,-76767500 ( -32.5% ),19864,-19849 ( -50.0% ),47677712837,5415664,5
2018-06-29,503,9.1%,1504,8.5%,224192,7.9%,12.3%,241721600,81939600 ( 51.3% ),27547,7683 ( 38.7% ),47919434437,5443211,3
2018-06-30,570,9.5%,1593,8.5%,224031,7.5%,33.9%,656113500,414391900 ( 171.4% ),75958,48411 ( 175.7% ),48575547937,5519169,3
2018-07-01,570,9.6%,1559,8.5%,220308,7.6%,31.5%,599368300,-56745200 ( -8.6% ),69330,-6628 ( -8.7% ),49174916237,5588499,3
2018-07-02,477,9.2%,1378,8.2%,205055,7.6%,7.4%,124017100,-475351200 ( -79.3% ),15200,-54130 ( -78.1% ),49298933337,5603699,4
2018-07-03,487,9.0%,1387,8.2%,204689,7.5%,7.5%,124113300,96200 ( 0.1% ),15378,178 ( 1.2% ),49423046637,5619077,4
2018-07-04,119,2.4%,166,0.9%,19672,0.7%,12.6%,18986600,-105126700 ( -84.7% ),2478,-12900 ( -83.9% ),49442033237,5621555,9
2018-07-05,117,2.3%,174,1%,21106,0.7%,12.9%,20684200,1697600 ( 8.9% ),2732,254 ( 10.3% ),49462717437,5624287,8
2018-07-06,120,2.4%,175,1%,21980,0.8%,15.8%,29377200,8693000 ( 42.0% ),3470,738 ( 27.0% ),49492094637,5627757,8
2018-07-07,135,2.6%,197,1%,24277,0.8%,33.9%,70199300,40822100 ( 139.0% ),8238,4768 ( 137.4% ),49562293937,5635995,8
2018-07-08,141,2.7%,204,1.1%,24887,0.8%,36.0%,76736500,6537200 ( 9.3% ),8957,719 ( 8.7% ),49639030437,5644952,6
2018-07-09,116,2.4%,176,1%,21416,0.8%,9.2%,15825700,-60910800 ( -79.4% ),1977,-6980 ( -77.9% ),49654856137,5646929,8
2018-07-10,123,2.5%,183,1%,23253,0.8%,8.8%,15720500,-105200 ( -0.7% ),2041,64 ( 3.2% ),49670576637,5648970,10
2018-07-11,57,1.2%,88,0.5%,10226,0.4%,9.3%,7275100,-8445400 ( -53.7% ),948,-1093 ( -53.6% ),49677851737,5649918,11
2018-07-12,45,0.9%,63,0.4%,7090,0.2%,11.2%,5892600,-1382500 ( -19.0% ),791,-157 ( -16.6% ),49683744337,5650709,16
2018-07-13,38,0.7%,54,0.3%,6065,0.2%,15.2%,7337800,1445200 ( 24.5% ),920,129 ( 16.3% ),49691082137,5651629,18
2018-07-14,52,0.9%,79,0.4%,9297,0.3%,28.9%,23180100,15842300 ( 215.9% ),2687,1767 ( 192.1% ),49714262237,5654316,13
2018-07-15,48,0.9%,74,0.4%,8630,0.3%,36.9%,27281400,4101300 ( 17.7% ),3183,496 ( 18.5% ),49741543637,5657499,13
2018-07-16,35,0.7%,53,0.3%,6288,0.2%,9.8%,4753300,-22528100 ( -82.6% ),614,-2569 ( -80.7% ),49746296937,5658113,17
2018-07-17,40,0.8%,56,0.3%,6581,0.2%,9.4%,4720100,-33200 ( -0.7% ),616,2 ( 0.3% ),49751017037,5658729,17
2018-07-18,8,0.1%,10,0.1%,1034,0.0%,8.1%,616500,-4103600 ( -86.9% ),84,-532 ( -86.4% ),49751633537,5658813,52
2018-07-19,6,0.1%,11,0.1%,1372,0.0%,18.9%,2064000,1447500 ( 234.8% ),259,175 ( 208.3% ),49753697537,5659072,27
2018-07-20,4,0.1%,9,0%,1269,0.0%,3.8%,405000,-1659000 ( -80.4% ),48,-211 ( -81.5% ),49754102537,5659120,58
2018-07-21,10,0.2%,15,0.1%,1873,0.1%,19.2%,3094700,2689700 ( 664.1% ),360,312 ( 650.0% ),49757197237,5659480,30
2018-07-22,11,0.2%,18,0.1%,2406,0.1%,24.6%,4949000,1854300 ( 59.9% ),591,231 ( 64.2% ),49762146237,5660071,25
2018-07-23,8,0.1%,12,0.1%,1175,0.0%,9.7%,816000,-4133000 ( -83.5% ),114,-477 ( -80.7% ),49762962237,5660185,37
2018-07-24,8,0.1%,12,0.1%,1179,0.0%,7.0%,624300,-191700 ( -23.5% ),83,-31 ( -27.2% ),49763586537,5660268,50
2018-07-25,1,0.0%,4,0%,140,0.0%,15.7%,126000,-498300 ( -79.8% ),22,-61 ( -73.5% ),49763712537,5660290,85
2018-07-26,5,0.1%,6,0%,398,0.0%,22.9%,707000,581000 ( 461.1% ),91,69 ( 313.6% ),49764419537,5660381,47
2018-07-27,4,0.1%,5,0%,310,0.0%,39.7%,1149000,442000 ( 62.5% ),123,32 ( 35.2% ),49765568537,5660504,32
2018-07-28,1,0.0%,2,0%,70,0.0%,45.7%,303000,-846000 ( -73.6% ),32,-91 ( -74.0% ),49765871537,5660536,63
2018-07-29,1,0.0%,2,0%,70,0.0%,57.1%,349000,46000 ( 15.2% ),40,8 ( 25.0% ),49766220537,5660576,52
2018-07-30,3,0.1%,4,0%,244,0.0%,37.7%,701000,352000 ( 100.9% ),92,52 ( 130.0% ),49766921537,5660668,43
2018-07-31,3,0.1%,4,0%,244,0.0%,43.9%,813500,112500 ( 16.0% ),107,15 ( 16.3% ),49767735037,5660775,49
2018-08-01,2,0.0%,2,0%,174,0.0%,40.2%,515000,-298500 ( -36.7% ),70,-37 ( -34.6% ),49768250037,5660845,38
2018-08-02,2,0.0%,2,0%,174,0.0%,40.2%,518000,3000 ( 0.6% ),70,0 ( 0.0% ),49768768037,5660915,37
2018-08-03,2,0.0%,2,0%,174,0.0%,44.8%,800000,282000 ( 54.4% ),78,8 ( 11.4% ),49769568037,5660993,35
2018-08-06,2,0.0%,2,0%,174,0.0%,36.2%,535000,535000 ( 100.0% ),63,63 ( 100.0% ),49770103037,5661056,41
2018-08-07,2,0.0%,2,0%,174,0.0%,41.4%,608000,73000 ( 13.6% ),72,9 ( 14.3% ),49770711037,5661128,36
