날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-11-28,1,0.0%,4,0%,776,0.0%,87.5%,5432000,5432000 ( 100.0% ),679,679 ( 100.0% ),5432000,679,19
2017-12-21,1,0.0%,1,0%,401,0.0%,100.0%,3208000,3208000 ( 100.0% ),401,401 ( 100.0% ),8640000,1080,26
2017-12-26,4,0.1%,4,0%,991,0.0%,100.0%,7928000,7928000 ( 100.0% ),991,991 ( 100.0% ),16568000,2071,14
2017-12-27,3,0.1%,3,0%,503,0.0%,100.0%,4527000,-3401000 ( -42.9% ),503,-488 ( -49.2% ),21095000,2574,17
2018-01-03,724,13.6%,3110,17.8%,460568,16.5%,27.1%,946055400,946055400 ( 100.0% ),124781,124781 ( 100.0% ),967150400,127355,3
2018-01-04,746,13.3%,3108,17.7%,459433,16.4%,23.4%,817351100,-128704300 ( -13.6% ),107670,-17111 ( -13.7% ),1784501500,235025,3
2018-01-05,750,13.4%,3200,17.9%,476488,16.7%,28.4%,1142337080,324985980 ( 39.8% ),135352,27682 ( 25.7% ),2926838580,370377,3
2018-01-06,780,13.4%,3195,17.4%,470545,16.0%,57.1%,2271361970,1129024890 ( 98.8% ),268765,133413 ( 98.6% ),5198200550,639142,3
2018-01-07,791,13.8%,3162,17.5%,463469,16.0%,55.1%,2144205100,-127156870 ( -5.6% ),255402,-13363 ( -5.0% ),7342405650,894544,3
2018-01-08,729,13.9%,3111,18.1%,458948,16.6%,18.8%,661742400,-1482462700 ( -69.1% ),86321,-169081 ( -66.2% ),8004148050,980865,3
2018-01-09,736,13.7%,3085,18%,455418,16.5%,17.7%,614759100,-46983300 ( -7.1% ),80591,-5730 ( -6.6% ),8618907150,1061456,3
2018-01-10,715,13.3%,3032,17.8%,450723,16.5%,16.4%,569717000,-45042100 ( -7.3% ),73997,-6594 ( -8.2% ),9188624150,1135453,3
