날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-02,1,0.0%,1,0%,208,0.0%,100.0%,2080000,2080000 ( 100.0% ),208,208 ( 100.0% ),2080000,208,36
2016-01-03,2,0.0%,2,0%,467,0.0%,100.0%,3642000,1562000 ( 75.1% ),467,259 ( 124.5% ),5722000,675,21
2016-01-05,5,0.1%,5,0%,1096,0.0%,100.0%,9864000,9864000 ( 100.0% ),1096,1096 ( 100.0% ),15586000,1771,17
2016-01-07,300,5.5%,423,2.7%,53766,2.1%,31.8%,119600100,119600100 ( 100.0% ),17073,17073 ( 100.0% ),135186100,18844,7
2016-01-08,315,5.6%,453,2.8%,58057,2.2%,22.8%,96997500,-22602600 ( -18.9% ),13253,-3820 ( -22.4% ),232183600,32097,8
2016-01-09,343,5.6%,564,3.4%,71931,2.6%,47.9%,252027900,155030400 ( 159.8% ),34435,21182 ( 159.8% ),484211500,66532,7
2016-01-10,350,5.9%,565,3.5%,72665,2.7%,47.4%,255057300,3029400 ( 1.2% ),34451,16 ( 0.0% ),739268800,100983,7
2016-01-11,318,5.7%,484,3.2%,62274,2.5%,13.7%,60110300,-194947000 ( -76.4% ),8541,-25910 ( -75.2% ),799379100,109524,7
2016-01-12,321,5.7%,485,3.2%,61627,2.5%,14.1%,60567000,456700 ( 0.8% ),8683,142 ( 1.7% ),859946100,118207,7
2016-01-13,313,5.6%,479,3.2%,60680,2.5%,11.9%,49912800,-10654200 ( -17.6% ),7239,-1444 ( -16.6% ),909858900,125446,9
2016-01-14,223,3.9%,295,1.9%,36489,1.4%,13.9%,35680600,-14232200 ( -28.5% ),5084,-2155 ( -29.8% ),945539500,130530,11
2016-01-15,224,3.8%,297,1.9%,37144,1.4%,13.4%,36605200,924600 ( 2.6% ),4995,-89 ( -1.8% ),982144700,135525,10
2016-01-16,247,4.0%,356,2.2%,44467,1.7%,37.6%,123530700,86925500 ( 237.5% ),16729,11734 ( 234.9% ),1105675400,152254,7
2016-01-17,255,4.2%,364,2.3%,45028,1.7%,39.0%,131097500,7566800 ( 6.1% ),17568,839 ( 5.0% ),1236772900,169822,7
2016-01-18,220,4.0%,295,2%,37139,1.5%,8.7%,22911700,-108185800 ( -82.5% ),3249,-14319 ( -81.5% ),1259684600,173071,11
2016-01-19,213,3.8%,280,1.9%,34829,1.4%,9.7%,23734200,822500 ( 3.6% ),3389,140 ( 4.3% ),1283418800,176460,10
2016-01-20,210,3.7%,279,1.9%,34912,1.4%,9.6%,23633600,-100600 ( -0.4% ),3349,-40 ( -1.2% ),1307052400,179809,9
2016-01-21,87,1.7%,98,0.6%,12360,0.5%,12.7%,11209300,-12424300 ( -52.6% ),1573,-1776 ( -53.0% ),1318261700,181382,16
2016-01-22,88,1.7%,99,0.6%,12286,0.5%,14.0%,12743400,1534100 ( 13.7% ),1714,141 ( 9.0% ),1331005100,183096,16
2016-01-23,133,2.3%,186,1.1%,22508,0.8%,30.0%,48511300,35767900 ( 280.7% ),6757,5043 ( 294.2% ),1379516400,189853,12
2016-01-24,130,2.3%,185,1.2%,22233,0.9%,27.4%,45503900,-3007400 ( -6.2% ),6097,-660 ( -9.8% ),1425020300,195950,12
2016-01-25,93,1.8%,115,0.8%,14063,0.6%,7.7%,7710400,-37793500 ( -83.1% ),1084,-5013 ( -82.2% ),1432730700,197034,15
2016-01-26,93,1.8%,119,0.8%,14238,0.6%,9.3%,9392000,1681600 ( 21.8% ),1331,247 ( 22.8% ),1442122700,198365,12
2016-01-27,86,1.7%,107,0.7%,13004,0.5%,8.2%,7238000,-2154000 ( -22.9% ),1063,-268 ( -20.1% ),1449360700,199428,18
2016-01-28,25,0.5%,28,0.2%,3490,0.1%,5.8%,1464000,-5774000 ( -79.8% ),202,-861 ( -81.0% ),1450824700,199630,34
2016-01-29,26,0.5%,29,0.2%,3664,0.1%,6.8%,1854000,390000 ( 26.6% ),248,46 ( 22.8% ),1452678700,199878,29
2016-01-30,29,0.6%,33,0.2%,3660,0.1%,30.9%,8653400,6799400 ( 366.7% ),1130,882 ( 355.6% ),1461332100,201008,16
2016-01-31,28,0.6%,33,0.2%,3618,0.1%,33.1%,9109100,455700 ( 5.3% ),1198,68 ( 6.0% ),1470441200,202206,16
2016-02-01,18,0.4%,20,0.1%,2320,0.1%,4.0%,676000,-8433100 ( -92.6% ),93,-1105 ( -92.2% ),1471117200,202299,42
2016-02-02,18,0.4%,19,0.1%,2236,0.1%,5.0%,781500,105500 ( 15.6% ),112,19 ( 20.4% ),1471898700,202411,43
2016-02-03,4,0.1%,4,0%,412,0.0%,5.1%,166000,-615500 ( -78.8% ),21,-91 ( -81.3% ),1472064700,202432,71
2016-02-06,1,0.0%,1,0%,149,0.0%,24.8%,304000,304000 ( 100.0% ),37,37 ( 100.0% ),1472368700,202469,62
2016-02-08,1,0.0%,1,0%,162,0.0%,24.1%,272000,272000 ( 100.0% ),39,39 ( 100.0% ),1472640700,202508,48
2016-02-09,1,0.0%,1,0%,162,0.0%,3.1%,41000,-231000 ( -84.9% ),5,-34 ( -87.2% ),1472681700,202513,94
2016-02-10,1,0.0%,1,0%,162,0.0%,15.4%,185000,144000 ( 351.2% ),25,20 ( 400.0% ),1472866700,202538,70
2016-12-06,1,0.0%,1,0%,90,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),1472866700,202538,152
