날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-05,6,0.1%,6,0%,2065,0.1%,100.0%,16520000,16520000 ( 100.0% ),2065,2065 ( 100.0% ),16520000,2065,16
2017-01-19,3,0.1%,3,0%,643,0.0%,100.0%,5144000,5144000 ( 100.0% ),643,643 ( 100.0% ),21664000,2708,19
2017-01-25,315,5.2%,452,2.6%,56012,2.0%,16.0%,61103000,61103000 ( 100.0% ),8967,8967 ( 100.0% ),82767000,11675,8
2017-01-26,321,5.3%,455,2.5%,55881,1.9%,13.7%,53014000,-8089000 ( -13.2% ),7644,-1323 ( -14.8% ),135781000,19319,8
2017-01-27,334,5.2%,492,2.7%,59697,2.0%,21.8%,102195800,49181800 ( 92.8% ),13025,5381 ( 70.4% ),237976800,32344,9
2017-01-28,315,5.0%,452,2.5%,55513,1.9%,18.3%,82972200,-19223600 ( -18.8% ),10168,-2857 ( -21.9% ),320949000,42512,9
2017-01-29,326,5.0%,464,2.5%,57320,1.9%,33.8%,153413400,70441200 ( 84.9% ),19385,9217 ( 90.6% ),474362400,61897,8
2017-01-30,329,5.1%,467,2.6%,57147,1.9%,47.4%,210733200,57319800 ( 37.4% ),27080,7695 ( 39.7% ),685095600,88977,7
2017-01-31,294,5.0%,403,2.3%,48970,1.7%,15.8%,53724900,-157008300 ( -74.5% ),7734,-19346 ( -71.4% ),738820500,96711,8
2017-02-01,189,3.5%,234,1.4%,28119,1.0%,8.1%,15700700,-38024200 ( -70.8% ),2283,-5451 ( -70.5% ),754521200,98994,9
2017-02-02,137,2.5%,157,0.9%,18866,0.7%,8.3%,10750300,-4950400 ( -31.5% ),1557,-726 ( -31.8% ),765271500,100551,13
2017-02-03,129,2.4%,149,0.9%,17903,0.6%,8.0%,10629000,-121300 ( -1.1% ),1431,-126 ( -8.1% ),775900500,101982,14
2017-02-04,161,2.7%,196,1.1%,23458,0.8%,31.4%,55527300,44898300 ( 422.4% ),7355,5924 ( 414.0% ),831427800,109337,11
2017-02-05,162,2.7%,201,1.2%,24640,0.9%,30.9%,58823400,3296100 ( 5.9% ),7624,269 ( 3.7% ),890251200,116961,11
2017-02-06,94,1.8%,102,0.6%,12233,0.5%,5.0%,4238000,-54585400 ( -92.8% ),606,-7018 ( -92.1% ),894489200,117567,16
2017-02-07,98,1.8%,113,0.7%,13534,0.5%,4.6%,4229900,-8100 ( -0.2% ),617,11 ( 1.8% ),898719100,118184,22
2017-02-08,51,1.0%,60,0.4%,6692,0.2%,4.5%,2004500,-2225400 ( -52.6% ),299,-318 ( -51.5% ),900723600,118483,29
2017-02-09,2,0.0%,3,0%,291,0.0%,5.5%,104000,-1900500 ( -94.8% ),16,-283 ( -94.6% ),900827600,118499,77
2017-02-10,4,0.1%,4,0%,320,0.0%,5.6%,125000,21000 ( 20.2% ),18,2 ( 12.5% ),900952600,118517,61
2017-02-11,7,0.1%,8,0%,883,0.0%,24.3%,1621000,1496000 ( 1196.8% ),215,197 ( 1094.4% ),902573600,118732,35
2017-02-12,7,0.1%,8,0%,883,0.0%,28.8%,1936000,315000 ( 19.4% ),254,39 ( 18.1% ),904509600,118986,31
2017-02-13,4,0.1%,4,0%,477,0.0%,12.8%,313000,-1623000 ( -83.8% ),61,-193 ( -76.0% ),904822600,119047,50
2017-02-14,4,0.1%,5,0%,599,0.0%,4.0%,132000,-181000 ( -57.8% ),24,-37 ( -60.7% ),904954600,119071,72
2017-02-15,1,0.0%,1,0%,48,0.0%,27.1%,65000,-67000 ( -50.8% ),13,-11 ( -45.8% ),905019600,119084,77
2017-02-16,1,0.0%,1,0%,133,0.0%,42.9%,312000,247000 ( 380.0% ),57,44 ( 338.5% ),905331600,119141,60
2017-02-18,2,0.0%,2,0%,252,0.0%,22.2%,280000,280000 ( 100.0% ),56,56 ( 100.0% ),905611600,119197,69
