날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-26,3,0.1%,3,0%,707,0.0%,98.3%,5528000,5528000 ( 100.0% ),695,695 ( 100.0% ),5528000,695,16
2018-04-30,11,0.2%,11,0.1%,2882,0.1%,95.8%,24546000,24546000 ( 100.0% ),2760,2760 ( 100.0% ),30074000,3455,7
2018-05-01,795,16.9%,3892,22.9%,531042,19.9%,26.4%,1101385100,1076839100 ( 4387.0% ),139965,137205 ( 4971.2% ),1131459100,143420,2
2018-05-02,816,18.5%,3921,24%,541423,21.0%,11.6%,499955400,-601429700 ( -54.6% ),62830,-77135 ( -55.1% ),1631414500,206250,2
2018-05-03,815,17.6%,3697,22.9%,510061,19.9%,10.6%,431615800,-68339600 ( -13.7% ),54305,-8525 ( -13.6% ),2063030300,260555,2
2018-05-04,812,16.5%,3701,21.9%,503069,18.9%,15.0%,648677347,217061547 ( 50.3% ),75687,21382 ( 39.4% ),2711707647,336242,2
2018-05-05,806,14.3%,3275,17.9%,438482,15.4%,38.8%,1479287840,830610493 ( 128.0% ),170126,94439 ( 124.8% ),4190995487,506368,2
2018-05-06,839,15.0%,3452,19.2%,462615,16.5%,42.1%,1713453600,234165760 ( 15.8% ),194847,24721 ( 14.5% ),5904449087,701215,2
2018-05-07,874,15.9%,3580,20.6%,484079,17.9%,30.5%,1268328400,-445125200 ( -26.0% ),147452,-47395 ( -24.3% ),7172777487,848667,2
2018-05-08,822,17.8%,3644,23.7%,493600,20.2%,8.6%,333931200,-934397200 ( -73.7% ),42277,-105175 ( -71.3% ),7506708687,890944,2
2018-05-09,626,14.9%,2405,15.1%,304246,12.0%,7.3%,175946400,-157984800 ( -47.3% ),22102,-20175 ( -47.7% ),7682655087,913046,3
2018-05-10,601,13.8%,2176,13.7%,278149,11.0%,6.2%,136060900,-39885500 ( -22.7% ),17225,-4877 ( -22.1% ),7818715987,930271,3
2018-05-11,631,14.1%,2297,13.9%,293014,11.2%,8.1%,202266826,66205926 ( 48.7% ),23799,6574 ( 38.2% ),8020982813,954070,3
2018-05-12,638,12.5%,2333,13%,294743,10.5%,20.2%,522802817,320535991 ( 158.5% ),59670,35871 ( 150.7% ),8543785630,1013740,3
2018-05-13,633,12.5%,2290,13.1%,290386,10.6%,18.5%,470159500,-52643317 ( -10.1% ),53814,-5856 ( -9.8% ),9013945130,1067554,3
2018-05-14,584,13.8%,2029,13.5%,260174,10.8%,5.1%,105159800,-364999700 ( -77.6% ),13166,-40648 ( -75.5% ),9119104930,1080720,3
2018-05-15,601,13.5%,2037,13.4%,258541,10.7%,6.0%,116332100,11172300 ( 10.6% ),15443,2277 ( 17.3% ),9235437030,1096163,3
2018-05-16,379,7.6%,807,5%,98674,3.8%,6.6%,49681900,-66650200 ( -57.3% ),6550,-8893 ( -57.6% ),9285118930,1102713,4
2018-05-17,196,3.8%,301,1.8%,34499,1.3%,10.4%,23165300,-26516600 ( -53.4% ),3595,-2955 ( -45.1% ),9308284230,1106308,7
2018-05-18,175,3.3%,284,1.6%,31994,1.2%,11.9%,26795900,3630600 ( 15.7% ),3814,219 ( 6.1% ),9335080130,1110122,7
2018-05-19,156,2.7%,235,1.3%,26177,0.9%,14.9%,31692100,4896200 ( 18.3% ),3898,84 ( 2.2% ),9366772230,1114020,9
