날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-27,3,0.1%,3,0%,827,0.0%,100.0%,6616000,6616000 ( 100.0% ),827,827 ( 100.0% ),6616000,827,21
2016-02-02,6,0.1%,7,0%,1457,0.1%,100.0%,11656000,11656000 ( 100.0% ),1457,1457 ( 100.0% ),18272000,2284,12
2016-02-03,3,0.1%,3,0%,238,0.0%,1.7%,21000,-11635000 ( -99.8% ),4,-1453 ( -99.7% ),18293000,2288,89
2016-02-04,262,5.6%,359,2.3%,42919,1.6%,6.9%,21184500,21163500 ( 100778.6% ),2955,2951 ( 73775.0% ),39477500,5243,9
2016-02-05,280,5.9%,387,2.4%,46803,1.7%,7.1%,24616900,3432400 ( 16.2% ),3308,353 ( 11.9% ),64094400,8551,9
2016-02-06,348,6.7%,515,2.9%,63358,2.2%,28.8%,136495700,111878800 ( 454.5% ),18216,14908 ( 450.7% ),200590100,26767,4
2016-02-07,343,6.6%,498,2.9%,60088,2.1%,18.1%,82655400,-53840300 ( -39.4% ),10850,-7366 ( -40.4% ),283245500,37617,5
2016-02-08,285,5.6%,408,2.4%,48737,1.7%,13.2%,49798700,-32856700 ( -39.8% ),6410,-4440 ( -40.9% ),333044200,44027,8
2016-02-09,349,6.5%,489,2.7%,59820,2.0%,30.2%,137975000,88176300 ( 177.1% ),18090,11680 ( 182.2% ),471019200,62117,7
2016-02-10,349,6.7%,489,2.8%,59602,2.1%,39.2%,175562500,37587500 ( 27.2% ),23346,5256 ( 29.1% ),646581700,85463,4
2016-02-11,188,3.9%,220,1.4%,26383,1.0%,7.3%,13788800,-161773700 ( -92.1% ),1932,-21414 ( -91.7% ),660370500,87395,14
2016-02-12,186,3.8%,218,1.3%,25797,1.0%,6.5%,12336200,-1452600 ( -10.5% ),1685,-247 ( -12.8% ),672706700,89080,13
2016-02-13,222,4.1%,268,1.6%,32610,1.2%,30.8%,74391700,62055500 ( 503.0% ),10032,8347 ( 495.4% ),747098400,99112,9
2016-02-14,222,4.2%,272,1.6%,32744,1.2%,31.2%,76488100,2096400 ( 2.8% ),10212,180 ( 1.8% ),823586500,109324,9
2016-02-15,164,3.5%,188,1.3%,22598,0.9%,4.4%,7060800,-69427300 ( -90.8% ),1000,-9212 ( -90.2% ),830647300,110324,18
2016-02-16,166,3.1%,194,1.3%,23596,0.9%,5.3%,8665700,1604900 ( 22.7% ),1257,257 ( 25.7% ),839313000,111581,16
2016-02-17,25,0.5%,29,0.2%,3458,0.1%,19.9%,3704500,-4961200 ( -57.3% ),687,-570 ( -45.3% ),843017500,112268,16
2016-02-18,18,0.4%,20,0.1%,2534,0.1%,8.1%,1524100,-2180400 ( -58.9% ),206,-481 ( -70.0% ),844541600,112474,28
2016-02-19,16,0.3%,20,0.1%,2594,0.1%,10.0%,1853500,329400 ( 21.6% ),259,53 ( 25.7% ),846395100,112733,21
2016-02-20,23,0.5%,29,0.2%,3954,0.1%,24.8%,7341700,5488200 ( 296.1% ),982,723 ( 279.2% ),853736800,113715,15
2016-02-21,23,0.5%,29,0.2%,3995,0.1%,26.9%,8096800,755100 ( 10.3% ),1075,93 ( 9.5% ),861833600,114790,13
2016-02-22,11,0.2%,12,0.1%,1454,0.1%,6.1%,643000,-7453800 ( -92.1% ),88,-987 ( -91.8% ),862476600,114878,41
2016-02-23,10,0.2%,15,0.1%,1983,0.1%,8.6%,1181500,538500 ( 83.7% ),170,82 ( 93.2% ),863658100,115048,32
2016-02-24,3,0.1%,7,0%,1077,0.0%,7.3%,507300,-674200 ( -57.1% ),79,-91 ( -53.5% ),864165400,115127,42
2016-02-25,3,0.1%,7,0%,984,0.0%,18.2%,1117000,609700 ( 120.2% ),179,100 ( 126.6% ),865282400,115306,36
2016-02-26,3,0.1%,7,0%,1077,0.0%,10.7%,657000,-460000 ( -41.2% ),115,-64 ( -35.8% ),865939400,115421,39
2016-02-27,2,0.0%,7,0%,1170,0.0%,17.4%,1220000,563000 ( 85.7% ),203,88 ( 76.5% ),867159400,115624,30
2016-02-28,3,0.1%,8,0%,1256,0.0%,19.7%,1440500,220500 ( 18.1% ),247,44 ( 21.7% ),868599900,115871,28
2016-02-29,1,0.0%,1,0%,86,0.0%,26.7%,177000,-1263500 ( -87.7% ),23,-224 ( -90.7% ),868776900,115894,60
2016-03-01,2,0.0%,2,0%,182,0.0%,78.0%,1179700,1002700 ( 566.5% ),142,119 ( 517.4% ),869956600,116036,37
2016-03-02,2,0.0%,3,0%,444,0.0%,5.9%,165000,-1014700 ( -86.0% ),26,-116 ( -81.7% ),870121600,116062,48
2016-03-03,2,0.0%,4,0%,623,0.0%,3.2%,118000,-47000 ( -28.5% ),20,-6 ( -23.1% ),870239600,116082,63
2016-03-04,2,0.0%,5,0%,802,0.0%,2.7%,136000,18000 ( 15.3% ),22,2 ( 10.0% ),870375600,116104,60
2016-03-05,2,0.0%,7,0%,1160,0.0%,5.9%,386000,250000 ( 183.8% ),69,47 ( 213.6% ),870761600,116173,50
2016-03-06,2,0.0%,7,0%,1160,0.0%,9.7%,687200,301200 ( 78.0% ),112,43 ( 62.3% ),871448800,116285,36
2016-03-08,1,0.0%,4,0%,716,0.0%,1.5%,61000,61000 ( 100.0% ),11,11 ( 100.0% ),871509800,116296,81
2016-03-09,1,0.0%,1,0%,86,0.0%,4.7%,30600,-30400 ( -49.8% ),4,-7 ( -63.6% ),871540400,116300,87
2016-03-10,1,0.0%,3,0%,258,0.0%,5.0%,102600,72000 ( 235.3% ),13,9 ( 225.0% ),871643000,116313,71
2016-03-11,1,0.0%,1,0%,86,0.0%,2.3%,19000,-83600 ( -81.5% ),2,-11 ( -84.6% ),871662000,116315,99
2016-03-12,1,0.0%,1,0%,86,0.0%,19.8%,160000,141000 ( 742.1% ),17,15 ( 750.0% ),871822000,116332,83
2016-03-13,1,0.0%,1,0%,86,0.0%,12.8%,100500,-59500 ( -37.2% ),11,-6 ( -35.3% ),871922500,116343,84
2016-03-14,1,0.0%,1,0%,86,0.0%,4.7%,34000,-66500 ( -66.2% ),4,-7 ( -63.6% ),871956500,116347,79
2016-03-16,1,0.0%,2,0%,172,0.0%,4.1%,61000,61000 ( 100.0% ),7,7 ( 100.0% ),872017500,116354,85
2016-03-17,1,0.0%,1,0%,86,0.0%,39.5%,204000,143000 ( 234.4% ),34,27 ( 385.7% ),872221500,116388,54
