날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-29,1,0.0%,1,0%,158,0.0%,100.0%,1422000,1422000 ( 100.0% ),158,158 ( 100.0% ),1422000,158,36
2018-11-05,1,0.0%,1,0%,360,0.0%,95.0%,3078000,3078000 ( 100.0% ),342,342 ( 100.0% ),4500000,500,21
2018-11-06,1,0.0%,2,0%,192,0.0%,100.0%,1728000,-1350000 ( -43.9% ),192,-150 ( -43.9% ),6228000,692,30
2018-11-08,1,0.0%,1,0%,92,0.0%,100.0%,736000,736000 ( 100.0% ),92,92 ( 100.0% ),6964000,784,56
2018-11-12,3,0.1%,3,0%,600,0.0%,100.0%,5400000,5400000 ( 100.0% ),600,600 ( 100.0% ),12364000,1384,16
2018-11-13,4,0.1%,4,0%,1013,0.0%,60.3%,5465000,65000 ( 1.2% ),611,11 ( 1.8% ),17829000,1995,20
2018-11-14,255,5.4%,536,3.1%,62651,2.3%,7.7%,36413500,30948500 ( 566.3% ),4830,4219 ( 690.5% ),54242500,6825,5
2018-11-15,254,4.5%,494,2.8%,57890,2.1%,9.2%,39788100,3374600 ( 9.3% ),5328,498 ( 10.3% ),94030600,12153,7
2018-11-16,261,4.7%,461,2.6%,54393,2.0%,12.3%,54907200,15119100 ( 38.0% ),6670,1342 ( 25.2% ),148937800,18823,7
2018-11-17,252,4.1%,410,2.2%,48150,1.7%,18.0%,72817300,17910100 ( 32.6% ),8691,2021 ( 30.3% ),221755100,27514,7
2018-11-18,261,4.3%,401,2.2%,48458,1.7%,19.5%,80276300,7459000 ( 10.2% ),9461,770 ( 8.9% ),302031400,36975,7
2018-11-19,259,5.0%,462,2.8%,56054,2.2%,13.5%,56187450,-24088850 ( -30.0% ),7589,-1872 ( -19.8% ),358218850,44564,5
2018-11-20,274,5.0%,480,2.9%,57175,2.2%,14.3%,60329900,4142450 ( 7.4% ),8204,615 ( 8.1% ),418548750,52768,6
2018-11-21,196,3.7%,369,2.2%,43899,1.7%,13.8%,45094400,-15235500 ( -25.3% ),6067,-2137 ( -26.0% ),463643150,58835,5
