날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-11-09,1,0.0%,1,0%,214,0.0%,100.0%,1498000,1498000 ( 100.0% ),214,214 ( 100.0% ),1498000,214,33
2016-11-12,6,0.1%,6,0%,694,0.0%,24.4%,1556000,1556000 ( 100.0% ),169,169 ( 100.0% ),3054000,383,42
2016-11-13,6,0.1%,6,0%,694,0.0%,30.8%,1899500,343500 ( 22.1% ),214,45 ( 26.6% ),4953500,597,32
2016-11-15,3,0.1%,3,0%,505,0.0%,100.0%,4040000,4040000 ( 100.0% ),505,505 ( 100.0% ),8993500,1102,27
2016-11-16,122,2.6%,342,2.2%,46141,1.8%,9.4%,29099300,25059300 ( 620.3% ),4359,3854 ( 763.2% ),38092800,5461,9
2016-11-17,123,2.4%,325,2.1%,43820,1.7%,8.1%,23644900,-5454400 ( -18.7% ),3559,-800 ( -18.4% ),61737700,9020,8
2016-11-18,125,2.4%,318,2%,43192,1.7%,8.0%,22960100,-684800 ( -2.9% ),3451,-108 ( -3.0% ),84697800,12471,8
2016-11-19,124,2.3%,284,1.7%,37316,1.4%,11.5%,28642900,5682800 ( 24.8% ),4274,823 ( 23.8% ),113340700,16745,10
2016-11-20,126,2.4%,267,1.7%,34755,1.3%,12.0%,27754900,-888000 ( -3.1% ),4161,-113 ( -2.6% ),141095600,20906,10
2016-11-21,117,2.5%,276,1.9%,37931,1.6%,4.8%,13424900,-14330000 ( -51.6% ),1823,-2338 ( -56.2% ),154520500,22729,8
2016-11-22,116,2.4%,248,1.7%,33612,1.4%,4.9%,11955500,-1469400 ( -10.9% ),1656,-167 ( -9.2% ),166476000,24385,9
2016-11-23,106,2.0%,184,1.2%,25632,1.0%,3.8%,6791000,-5164500 ( -43.2% ),966,-690 ( -41.7% ),173267000,25351,13
2016-11-24,63,1.2%,89,0.6%,12084,0.5%,3.8%,3292000,-3499000 ( -51.5% ),462,-504 ( -52.2% ),176559000,25813,29
2016-11-25,58,1.1%,81,0.5%,10658,0.4%,4.5%,3783100,491100 ( 14.9% ),477,15 ( 3.2% ),180342100,26290,26
2016-11-26,47,0.9%,67,0.4%,8816,0.3%,5.6%,4065000,281900 ( 7.5% ),495,18 ( 3.8% ),184407100,26785,29
2016-11-27,45,0.8%,66,0.4%,8312,0.3%,6.1%,4167400,102400 ( 2.5% ),503,8 ( 1.6% ),188574500,27288,25
2016-11-28,49,1.0%,74,0.5%,10636,0.4%,3.1%,2392500,-1774900 ( -42.6% ),329,-174 ( -34.6% ),190967000,27617,27
2016-11-29,49,1.0%,77,0.5%,10781,0.4%,4.0%,3138000,745500 ( 31.2% ),436,107 ( 32.5% ),194105000,28053,26
2016-11-30,6,0.1%,9,0.1%,1385,0.1%,3.0%,259000,-2879000 ( -91.7% ),42,-394 ( -90.4% ),194364000,28095,66
2016-12-01,6,0.1%,8,0%,1267,0.0%,2.2%,213500,-45500 ( -17.6% ),28,-14 ( -33.3% ),194577500,28123,80
2016-12-02,5,0.1%,8,0%,1251,0.0%,2.9%,295000,81500 ( 38.2% ),36,8 ( 28.6% ),194872500,28159,88
2016-12-03,5,0.1%,7,0%,1201,0.0%,3.6%,371500,76500 ( 25.9% ),43,7 ( 19.4% ),195244000,28202,90
2016-12-04,6,0.1%,8,0%,1385,0.0%,3.2%,375500,4000 ( 1.1% ),44,1 ( 2.3% ),195619500,28246,89
2016-12-05,5,0.1%,6,0%,1042,0.0%,1.9%,138000,-237500 ( -63.2% ),20,-24 ( -54.5% ),195757500,28266,83
2016-12-06,6,0.1%,7,0%,1136,0.0%,1.6%,123000,-15000 ( -10.9% ),18,-2 ( -10.0% ),195880500,28284,96
2016-12-07,3,0.1%,3,0%,379,0.0%,1.6%,37000,-86000 ( -69.9% ),6,-12 ( -66.7% ),195917500,28290,107
2016-12-08,4,0.1%,4,0%,690,0.0%,1.4%,64000,27000 ( 73.0% ),10,4 ( 66.7% ),195981500,28300,83
2016-12-09,4,0.1%,4,0%,670,0.0%,1.0%,57000,-7000 ( -10.9% ),7,-3 ( -30.0% ),196038500,28307,86
