날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-14,2,0.0%,2,0%,609,0.0%,100.0%,5481000,5481000 ( 100.0% ),609,609 ( 100.0% ),5481000,609,15
2018-11-17,1,0.0%,1,0%,116,0.0%,100.0%,1160000,1160000 ( 100.0% ),116,116 ( 100.0% ),6641000,725,46
2018-11-22,76,1.4%,78,0.5%,9063,0.3%,10.6%,6755850,6755850 ( 100.0% ),957,957 ( 100.0% ),13396850,1682,16
2018-11-23,85,1.5%,87,0.5%,10116,0.4%,10.6%,5826150,-929700 ( -13.8% ),1075,118 ( 12.3% ),19223000,2757,14
2018-11-24,173,3.0%,200,1.1%,22432,0.8%,17.3%,29169900,23343750 ( 400.7% ),3878,2803 ( 260.7% ),48392900,6635,8
2018-11-25,175,3.0%,205,1.1%,22921,0.8%,19.5%,34522150,5352250 ( 18.3% ),4471,593 ( 15.3% ),82915050,11106,8
2018-11-26,75,1.5%,77,0.5%,9225,0.3%,6.8%,3804800,-30717350 ( -89.0% ),629,-3842 ( -85.9% ),86719850,11735,15
2018-11-27,91,1.7%,94,0.6%,12507,0.5%,5.6%,4377300,572500 ( 15.0% ),698,69 ( 11.0% ),91097150,12433,18
2018-11-28,28,0.5%,31,0.2%,3143,0.1%,6.2%,1185000,-3192300 ( -72.9% ),195,-503 ( -72.1% ),92282150,12628,30
2018-11-29,5,0.1%,6,0%,466,0.0%,28.5%,777000,-408000 ( -34.4% ),133,-62 ( -31.8% ),93059150,12761,58
2018-11-30,10,0.2%,10,0.1%,968,0.0%,37.0%,1865600,1088600 ( 140.1% ),358,225 ( 169.2% ),94924750,13119,29
2018-12-01,26,0.4%,29,0.2%,2346,0.1%,15.9%,2282400,416800 ( 22.3% ),373,15 ( 4.2% ),97207150,13492,25
2018-12-02,25,0.4%,29,0.2%,2352,0.1%,14.3%,2364000,81600 ( 3.6% ),336,-37 ( -9.9% ),99571150,13828,27
2018-12-03,4,0.1%,4,0%,171,0.0%,8.2%,73000,-2291000 ( -96.9% ),14,-322 ( -95.8% ),99644150,13842,84
2018-12-04,11,0.2%,11,0.1%,1073,0.0%,34.3%,1969000,1896000 ( 2597.3% ),368,354 ( 2528.6% ),101613150,14210,28
2018-12-05,6,0.1%,6,0%,491,0.0%,27.5%,742000,-1227000 ( -62.3% ),135,-233 ( -63.3% ),102355150,14345,38
2018-12-06,4,0.1%,4,0%,364,0.0%,39.6%,722000,-20000 ( -2.7% ),144,9 ( 6.7% ),103077150,14489,50
2018-12-07,1,0.0%,1,0%,55,0.0%,18.2%,50000,-672000 ( -93.1% ),10,-134 ( -93.1% ),103127150,14499,94
2018-12-08,1,0.0%,1,0%,53,0.0%,5.7%,16000,-34000 ( -68.0% ),3,-7 ( -70.0% ),103143150,14502,109
2018-12-09,3,0.0%,3,0%,380,0.0%,8.2%,185000,169000 ( 1056.3% ),31,28 ( 933.3% ),103328150,14533,66
2018-12-10,1,0.0%,1,0%,95,0.0%,75.8%,360000,175000 ( 94.6% ),72,41 ( 132.3% ),103688150,14605,56
2018-12-11,3,0.0%,3,0%,314,0.0%,54.8%,924000,564000 ( 156.7% ),172,100 ( 138.9% ),104612150,14777,44
2018-12-12,2,0.0%,2,0%,97,0.0%,87.6%,425000,-499000 ( -54.0% ),85,-87 ( -50.6% ),105037150,14862,51
2018-12-15,1,0.0%,2,0%,424,0.0%,18.2%,415000,415000 ( 100.0% ),77,77 ( 100.0% ),105452150,14939,57
2018-12-20,1,0.0%,1,0%,234,0.0%,68.8%,805000,805000 ( 100.0% ),161,161 ( 100.0% ),106257150,15100,37
2019-01-08,1,0.0%,1,0%,43,0.0%,48.8%,126000,126000 ( 100.0% ),21,21 ( 100.0% ),106383150,15121,72
