날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-10-23,2,0.0%,2,0%,413,0.0%,100.0%,3717000,3717000 ( 100.0% ),413,413 ( 100.0% ),3717000,413,18
2018-10-26,2,0.0%,2,0%,312,0.0%,100.0%,2796000,2796000 ( 100.0% ),312,312 ( 100.0% ),6513000,725,25
2018-10-31,1,0.0%,1,0%,62,0.0%,71.0%,220000,220000 ( 100.0% ),44,44 ( 100.0% ),6733000,769,67
2018-11-01,133,2.3%,141,0.8%,16783,0.6%,7.6%,10006600,9786600 ( 4448.5% ),1271,1227 ( 2788.6% ),16739600,2040,16
2018-11-02,148,2.5%,154,0.9%,17876,0.6%,5.7%,7169350,-2837250 ( -28.4% ),1024,-247 ( -19.4% ),23908950,3064,16
2018-11-03,276,4.4%,350,1.8%,41594,1.4%,15.3%,48224700,41055350 ( 572.7% ),6356,5332 ( 520.7% ),72133650,9420,11
2018-11-04,272,4.4%,341,1.8%,40476,1.4%,18.1%,56787400,8562700 ( 17.8% ),7325,969 ( 15.2% ),128921050,16745,9
2018-11-05,105,1.9%,109,0.6%,13126,0.5%,4.2%,3648700,-53138700 ( -93.6% ),555,-6770 ( -92.4% ),132569750,17300,16
2018-11-06,112,2.0%,115,0.7%,13729,0.5%,7.0%,5787600,2138900 ( 58.6% ),967,412 ( 74.2% ),138357350,18267,15
2018-11-07,65,1.3%,71,0.4%,8567,0.3%,9.7%,5318050,-469550 ( -8.1% ),831,-136 ( -14.1% ),143675400,19098,16
2018-11-08,24,0.4%,25,0.1%,2383,0.1%,14.4%,2084400,-3233650 ( -60.8% ),344,-487 ( -58.6% ),145759800,19442,30
2018-11-09,24,0.4%,27,0.2%,2635,0.1%,24.3%,3564000,1479600 ( 71.0% ),641,297 ( 86.3% ),149323800,20083,20
2018-11-10,57,0.9%,65,0.3%,6946,0.2%,17.0%,8633900,5069900 ( 142.3% ),1180,539 ( 84.1% ),157957700,21263,18
2018-11-11,59,1.0%,67,0.4%,7603,0.3%,15.8%,9118500,484600 ( 5.6% ),1205,25 ( 2.1% ),167076200,22468,15
2018-11-12,18,0.3%,18,0.1%,1762,0.1%,9.5%,934000,-8184500 ( -89.8% ),167,-1038 ( -86.1% ),168010200,22635,31
2018-11-13,20,0.4%,22,0.1%,2773,0.1%,11.4%,1814500,880500 ( 94.3% ),317,150 ( 89.8% ),169824700,22952,27
2018-11-14,7,0.1%,7,0%,538,0.0%,57.2%,1776000,-38500 ( -2.1% ),308,-9 ( -2.8% ),171600700,23260,21
2018-11-15,3,0.1%,4,0%,325,0.0%,23.1%,429000,-1347000 ( -75.8% ),75,-233 ( -75.6% ),172029700,23335,54
2018-11-16,3,0.1%,4,0%,238,0.0%,57.1%,746000,317000 ( 73.9% ),136,61 ( 81.3% ),172775700,23471,27
2018-11-17,3,0.0%,5,0%,496,0.0%,10.9%,415600,-330400 ( -44.3% ),54,-82 ( -60.3% ),173191300,23525,74
2018-11-18,3,0.0%,5,0%,496,0.0%,19.0%,739300,323700 ( 77.9% ),94,40 ( 74.1% ),173930600,23619,43
2018-11-19,4,0.1%,5,0%,386,0.0%,11.9%,281000,-458300 ( -62.0% ),46,-48 ( -51.1% ),174211600,23665,54
2018-11-20,3,0.1%,3,0%,300,0.0%,30.7%,563000,282000 ( 100.4% ),92,46 ( 100.0% ),174774600,23757,46
2018-11-21,4,0.1%,4,0%,510,0.0%,48.6%,1296000,733000 ( 130.2% ),248,156 ( 169.6% ),176070600,24005,29
2018-11-22,1,0.0%,1,0%,128,0.0%,67.2%,530000,-766000 ( -59.1% ),86,-162 ( -65.3% ),176600600,24091,51
2018-11-23,3,0.1%,3,0%,241,0.0%,88.0%,1276000,746000 ( 140.8% ),212,126 ( 146.5% ),177876600,24303,33
2018-11-24,1,0.0%,1,0%,158,0.0%,88.6%,700000,-576000 ( -45.1% ),140,-72 ( -34.0% ),178576600,24443,41
2018-11-27,1,0.0%,1,0%,139,0.0%,30.9%,223000,223000 ( 100.0% ),43,43 ( 100.0% ),178799600,24486,71
2018-11-28,2,0.0%,2,0%,254,0.0%,70.1%,1016000,793000 ( 355.6% ),178,135 ( 314.0% ),179815600,24664,32
2018-11-29,1,0.0%,1,0%,104,0.0%,73.1%,456000,-560000 ( -55.1% ),76,-102 ( -57.3% ),180271600,24740,73
2018-11-30,1,0.0%,1,0%,79,0.0%,60.8%,240000,-216000 ( -47.4% ),48,-28 ( -36.8% ),180511600,24788,75
