날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-23,1,0.0%,1,0%,120,0.0%,83.3%,800000,800000 ( 100.0% ),100,100 ( 100.0% ),800000,100,48
2018-04-25,1,0.0%,1,0%,112,0.0%,89.3%,800000,800000 ( 100.0% ),100,100 ( 100.0% ),1600000,200,38
2018-04-26,4,0.1%,4,0%,867,0.0%,90.9%,6304000,5504000 ( 688.0% ),788,688 ( 688.0% ),7904000,988,13
2018-04-30,1,0.0%,1,0%,229,0.0%,80.8%,1310000,1310000 ( 100.0% ),185,185 ( 100.0% ),9214000,1173,32
2018-05-02,3,0.1%,3,0%,432,0.0%,69.4%,2400000,2400000 ( 100.0% ),300,300 ( 100.0% ),11614000,1473,20
2018-05-03,153,3.3%,167,1%,19928,0.8%,8.4%,12093900,9693900 ( 403.9% ),1683,1383 ( 461.0% ),23707900,3156,9
2018-05-04,188,3.8%,206,1.2%,24787,0.9%,10.9%,18656100,6562200 ( 54.3% ),2694,1011 ( 60.1% ),42364000,5850,6
2018-05-05,350,6.2%,517,2.8%,63700,2.2%,30.3%,155245600,136589500 ( 732.1% ),19297,16603 ( 616.3% ),197609600,25147,5
2018-05-06,327,5.8%,474,2.6%,57135,2.0%,29.8%,137991200,-17254400 ( -11.1% ),17035,-2262 ( -11.7% ),335600800,42182,5
2018-05-07,335,6.1%,487,2.8%,58460,2.2%,39.4%,183076600,45085400 ( 32.7% ),23005,5970 ( 35.0% ),518677400,65187,4
2018-05-08,172,3.7%,190,1.2%,21856,0.9%,6.9%,10508400,-172568200 ( -94.3% ),1513,-21492 ( -93.4% ),529185800,66700,8
2018-05-09,90,2.1%,101,0.6%,11765,0.5%,5.0%,4009300,-6499100 ( -61.8% ),583,-930 ( -61.5% ),533195100,67283,9
2018-05-10,67,1.5%,77,0.5%,8996,0.4%,4.2%,2663000,-1346300 ( -33.6% ),376,-207 ( -35.5% ),535858100,67659,16
2018-05-11,82,1.8%,96,0.6%,10578,0.4%,4.6%,3766700,1103700 ( 41.4% ),483,107 ( 28.5% ),539624800,68142,16
2018-05-12,199,3.9%,286,1.6%,32612,1.2%,32.2%,83180200,79413500 ( 2108.3% ),10497,10014 ( 2073.3% ),622805000,78639,4
2018-05-13,215,4.2%,316,1.8%,36459,1.3%,30.0%,87775300,4595100 ( 5.5% ),10938,441 ( 4.2% ),710580300,89577,4
2018-05-14,72,1.7%,82,0.5%,9775,0.4%,4.3%,2958100,-84817200 ( -96.6% ),423,-10515 ( -96.1% ),713538400,90000,15
2018-05-15,82,1.8%,105,0.7%,12068,0.5%,6.4%,5276900,2318800 ( 78.4% ),769,346 ( 81.8% ),718815300,90769,12
2018-05-16,33,0.7%,38,0.2%,5306,0.2%,5.7%,2104000,-3172900 ( -60.1% ),301,-468 ( -60.9% ),720919300,91070,19
2018-05-17,13,0.2%,17,0.1%,1550,0.1%,17.7%,1676000,-428000 ( -20.3% ),274,-27 ( -9.0% ),722595300,91344,23
2018-05-18,11,0.2%,16,0.1%,1601,0.1%,13.6%,1276500,-399500 ( -23.8% ),217,-57 ( -20.8% ),723871800,91561,26
2018-05-19,32,0.5%,46,0.2%,4887,0.2%,13.5%,5062500,3786000 ( 296.6% ),659,442 ( 203.7% ),728934300,92220,17
2018-05-20,38,0.6%,50,0.3%,5242,0.2%,12.6%,5194000,131500 ( 2.6% ),659,0 ( 0.0% ),734128300,92879,16
2018-05-21,20,0.4%,25,0.1%,2544,0.1%,18.9%,3044900,-2149100 ( -41.4% ),481,-178 ( -27.0% ),737173200,93360,18
2018-05-22,13,0.2%,18,0.1%,1657,0.1%,26.4%,3340200,295300 ( 9.7% ),437,-44 ( -9.1% ),740513400,93797,20
2018-05-23,2,0.0%,3,0%,141,0.0%,9.2%,109000,-3231200 ( -96.7% ),13,-424 ( -97.0% ),740622400,93810,72
2018-05-24,2,0.0%,5,0%,166,0.0%,13.9%,155000,46000 ( 42.2% ),23,10 ( 76.9% ),740777400,93833,66
2018-05-25,3,0.1%,6,0%,281,0.0%,21.0%,333000,178000 ( 114.8% ),59,36 ( 156.5% ),741110400,93892,54
2018-05-26,9,0.1%,11,0.1%,900,0.0%,19.2%,1194500,861500 ( 258.7% ),173,114 ( 193.2% ),742304900,94065,33
2018-05-27,5,0.1%,7,0%,460,0.0%,20.2%,688000,-506500 ( -42.4% ),93,-80 ( -46.2% ),742992900,94158,39
2018-05-28,3,0.1%,4,0%,134,0.0%,13.4%,111000,-577000 ( -83.9% ),18,-75 ( -80.6% ),743103900,94176,57
2018-05-29,5,0.1%,6,0%,380,0.0%,46.3%,885000,774000 ( 697.3% ),176,158 ( 877.8% ),743988900,94352,30
2018-05-30,2,0.0%,2,0%,105,0.0%,14.3%,105000,-780000 ( -88.1% ),15,-161 ( -91.5% ),744093900,94367,69
2018-05-31,2,0.0%,2,0%,127,0.0%,47.2%,300000,195000 ( 185.7% ),60,45 ( 300.0% ),744393900,94427,57
2018-06-01,2,0.0%,2,0%,67,0.0%,6.0%,34000,-266000 ( -88.7% ),4,-56 ( -93.3% ),744427900,94431,87
2018-06-02,3,0.0%,3,0%,137,0.0%,22.6%,231000,197000 ( 579.4% ),31,27 ( 675.0% ),744658900,94462,64
2018-06-03,3,0.0%,4,0%,207,0.0%,14.5%,204000,-27000 ( -11.7% ),30,-1 ( -3.2% ),744862900,94492,64
2018-06-19,1,0.0%,1,0%,179,0.0%,1.1%,6000,6000 ( 100.0% ),2,2 ( 100.0% ),744868900,94494,90
2018-06-20,1,0.0%,4,0%,716,0.0%,2.1%,45000,39000 ( 650.0% ),15,13 ( 650.0% ),744913900,94509,69
2018-06-21,1,0.0%,1,0%,179,0.0%,1.7%,9000,-36000 ( -80.0% ),3,-12 ( -80.0% ),744922900,94512,82
2018-06-22,1,0.0%,2,0%,358,0.0%,2.2%,24000,15000 ( 166.7% ),8,5 ( 166.7% ),744946900,94520,78
2018-06-23,1,0.0%,5,0%,895,0.0%,9.9%,267000,243000 ( 1012.5% ),89,81 ( 1012.5% ),745213900,94609,46
2018-06-24,1,0.0%,5,0%,895,0.0%,4.9%,131000,-136000 ( -50.9% ),44,-45 ( -50.6% ),745344900,94653,51
2018-06-26,1,0.0%,1,0%,179,0.0%,1.7%,8000,8000 ( 100.0% ),3,3 ( 100.0% ),745352900,94656,84
2018-06-27,1,0.0%,1,0%,179,0.0%,1.1%,6000,-2000 ( -25.0% ),2,-1 ( -33.3% ),745358900,94658,93
2018-06-28,1,0.0%,2,0%,358,0.0%,3.4%,36000,30000 ( 500.0% ),12,10 ( 500.0% ),745394900,94670,80
2018-06-29,1,0.0%,2,0%,358,0.0%,3.4%,36000,0 ( 0.0% ),12,0 ( 0.0% ),745430900,94682,90
2018-06-30,1,0.0%,5,0%,895,0.0%,8.8%,237000,201000 ( 558.3% ),79,67 ( 558.3% ),745667900,94761,59
2018-07-01,1,0.0%,5,0%,895,0.0%,5.6%,149000,-88000 ( -37.1% ),50,-29 ( -36.7% ),745816900,94811,58
2018-07-03,1,0.0%,2,0%,358,0.0%,23.7%,174000,174000 ( 100.0% ),85,85 ( 100.0% ),745990900,94896,56
2018-07-04,1,0.0%,3,0%,537,0.0%,1.3%,21000,-153000 ( -87.9% ),7,-78 ( -91.8% ),746011900,94903,81
2018-07-05,1,0.0%,2,0%,358,0.0%,2.0%,21000,0 ( 0.0% ),7,0 ( 0.0% ),746032900,94910,79
2018-07-06,1,0.0%,2,0%,358,0.0%,2.5%,27000,6000 ( 28.6% ),9,2 ( 28.6% ),746059900,94919,76
2018-07-07,1,0.0%,4,0%,716,0.0%,8.5%,182000,155000 ( 574.1% ),61,52 ( 577.8% ),746241900,94980,51
2018-07-08,1,0.0%,5,0%,895,0.0%,7.9%,213000,31000 ( 17.0% ),71,10 ( 16.4% ),746454900,95051,39
2018-07-10,1,0.0%,1,0%,179,0.0%,3.9%,21000,21000 ( 100.0% ),7,7 ( 100.0% ),746475900,95058,87
2018-07-11,1,0.0%,4,0%,716,0.0%,23.5%,348000,327000 ( 1557.1% ),168,161 ( 2300.0% ),746823900,95226,37
2018-07-12,1,0.0%,2,0%,358,0.0%,27.4%,206000,-142000 ( -40.8% ),98,-70 ( -41.7% ),747029900,95324,54
2018-11-29,1,0.0%,1,0%,76,0.0%,96.1%,365000,365000 ( 100.0% ),73,73 ( 100.0% ),747394900,95397,74
2018-11-30,1,0.0%,1,0%,76,0.0%,81.6%,310000,-55000 ( -15.1% ),62,-11 ( -15.1% ),747704900,95459,64
