날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-01-17,8,0.1%,8,0%,2509,0.1%,99.3%,19928000,19928000 ( 100.0% ),2491,2491 ( 100.0% ),19928000,2491,14
2017-01-26,1,0.0%,1,0%,326,0.0%,100.0%,2608000,2608000 ( 100.0% ),326,326 ( 100.0% ),22536000,2817,21
2017-01-31,18,0.3%,18,0.1%,2741,0.1%,73.4%,17994800,17994800 ( 100.0% ),2011,2011 ( 100.0% ),40530800,4828,15
2017-02-01,1,0.0%,1,0%,190,0.0%,1.1%,12000,-17982800 ( -99.9% ),2,-2009 ( -99.9% ),40542800,4830,85
2017-02-02,509,9.5%,2223,13.3%,343390,12.5%,15.9%,407616000,407604000 ( 3396700.0% ),54584,54582 ( 2729100.0% ),448158800,59414,3
2017-02-03,558,10.2%,2353,13.7%,363140,13.0%,16.8%,512632832,105016832 ( 25.8% ),61006,6422 ( 11.8% ),960791632,120420,3
2017-02-04,605,10.1%,2414,13.5%,374088,12.8%,33.8%,1076729150,564096318 ( 110.0% ),126370,65364 ( 107.1% ),2037520782,246790,3
2017-02-05,598,10.1%,2356,13.5%,369139,13.0%,30.2%,946606900,-130122250 ( -12.1% ),111552,-14818 ( -11.7% ),2984127682,358342,3
2017-02-06,546,10.6%,2327,14.5%,377277,14.3%,9.8%,280998200,-665608700 ( -70.3% ),36897,-74655 ( -66.9% ),3265125882,395239,3
2017-02-07,558,10.5%,2304,14.3%,373486,14.1%,9.2%,258802100,-22196100 ( -7.9% ),34217,-2680 ( -7.3% ),3523927982,429456,3
2017-02-08,483,9.6%,1910,11.5%,304403,11.1%,9.3%,216025600,-42776500 ( -16.5% ),28406,-5811 ( -17.0% ),3739953582,457862,4
2017-02-09,399,6.6%,949,5.6%,140038,5.0%,11.6%,123797000,-92228600 ( -42.7% ),16178,-12228 ( -43.0% ),3863750582,474040,6
2017-02-10,416,6.8%,965,5.6%,140362,5.0%,13.9%,168501288,44704288 ( 36.1% ),19578,3400 ( 21.0% ),4032251870,493618,6
2017-02-11,422,6.3%,868,4.8%,124030,4.2%,30.6%,332495751,163994463 ( 97.3% ),37935,18357 ( 93.8% ),4364747621,531553,5
2017-02-12,417,6.3%,829,4.7%,121062,4.2%,26.8%,282061100,-50434651 ( -15.2% ),32438,-5497 ( -14.5% ),4646808721,563991,7
