날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-03-01,1,0.0%,1,0%,118,0.0%,100.0%,1062000,1062000 ( 100.0% ),118,118 ( 100.0% ),1062000,118,42
2018-03-03,18,0.3%,18,0.1%,2055,0.1%,80.1%,15227000,15227000 ( 100.0% ),1646,1646 ( 100.0% ),16289000,1764,17
2018-03-04,1,0.0%,1,0%,293,0.0%,92.5%,2704000,-12523000 ( -82.2% ),271,-1375 ( -83.5% ),18993000,2035,27
2018-03-05,2,0.0%,2,0%,161,0.0%,60.9%,833000,-1871000 ( -69.2% ),98,-173 ( -63.8% ),19826000,2133,43
2018-03-06,4,0.1%,4,0%,456,0.0%,57.2%,2163500,1330500 ( 159.7% ),261,163 ( 166.3% ),21989500,2394,26
2018-03-07,1,0.0%,1,0%,112,0.0%,66.1%,637000,-1526500 ( -70.6% ),74,-187 ( -71.6% ),22626500,2468,49
2018-03-09,1,0.0%,1,0%,200,0.0%,100.0%,1600000,1600000 ( 100.0% ),200,200 ( 100.0% ),24226500,2668,26
2018-03-10,4,0.1%,4,0%,794,0.0%,78.0%,4830000,3230000 ( 201.9% ),619,419 ( 209.5% ),29056500,3287,23
2018-03-11,1,0.0%,1,0%,112,0.0%,85.7%,891000,-3939000 ( -81.6% ),96,-523 ( -84.5% ),29947500,3383,48
2018-03-12,1,0.0%,1,0%,118,0.0%,100.0%,2359500,1468500 ( 164.8% ),118,22 ( 22.9% ),32307000,3501,32
2018-03-16,3,0.1%,3,0%,336,0.0%,60.1%,1821500,1821500 ( 100.0% ),202,202 ( 100.0% ),34128500,3703,33
2018-03-18,4,0.1%,4,0%,455,0.0%,65.9%,2800000,2800000 ( 100.0% ),300,300 ( 100.0% ),36928500,4003,33
2018-03-20,22,0.4%,22,0.1%,3117,0.1%,94.8%,18304500,18304500 ( 100.0% ),2955,2955 ( 100.0% ),55233000,6958,9
2018-03-21,18,0.4%,18,0.1%,2929,0.1%,82.0%,21605600,3301100 ( 18.0% ),2402,-553 ( -18.7% ),76838600,9360,9
2018-03-22,176,3.3%,662,3.9%,91627,3.3%,12.9%,92179400,70573800 ( 326.6% ),11781,9379 ( 390.5% ),169018000,21141,4
2018-03-23,182,3.3%,682,3.9%,95790,3.4%,13.5%,112503500,20324100 ( 22.0% ),12926,1145 ( 9.7% ),281521500,34067,4
2018-03-24,192,3.1%,684,3.6%,97009,3.2%,18.0%,154122800,41619300 ( 37.0% ),17418,4492 ( 34.8% ),435644300,51485,7
2018-03-25,185,3.1%,638,3.5%,91102,3.1%,17.3%,139591900,-14530900 ( -9.4% ),15777,-1641 ( -9.4% ),575236200,67262,7
2018-03-26,169,3.2%,648,4%,94530,3.6%,9.3%,68993900,-70598000 ( -50.6% ),8782,-6995 ( -44.3% ),644230100,76044,4
2018-03-27,175,3.3%,652,4%,94721,3.6%,9.3%,69403900,410000 ( 0.6% ),8790,8 ( 0.1% ),713634000,84834,4
2018-03-28,155,2.9%,384,2.2%,48334,1.8%,17.1%,51913800,-17490100 ( -25.2% ),8269,-521 ( -5.9% ),765547800,93103,6
2018-03-29,160,3.1%,382,2.2%,49562,1.8%,12.5%,47934900,-3978900 ( -7.7% ),6197,-2072 ( -25.1% ),813482700,99300,6
2018-03-30,161,3.0%,381,2.2%,50409,1.8%,14.4%,62991200,15056300 ( 31.4% ),7272,1075 ( 17.3% ),876473900,106572,6
2018-03-31,156,2.8%,346,1.8%,44084,1.5%,22.6%,86415500,23424300 ( 37.2% ),9958,2686 ( 36.9% ),962889400,116530,7
2018-04-01,164,2.9%,345,1.9%,43388,1.5%,20.0%,74657400,-11758100 ( -13.6% ),8661,-1297 ( -13.0% ),1037546800,125191,7
2018-04-02,156,3.3%,388,2.3%,50965,1.9%,9.5%,38085800,-36571600 ( -49.0% ),4860,-3801 ( -43.9% ),1075632600,130051,6
2018-04-03,154,3.1%,352,2.1%,46172,1.7%,9.1%,32643900,-5441900 ( -14.3% ),4221,-639 ( -13.1% ),1108276500,134272,7
2018-04-04,146,3.0%,360,2.1%,47708,1.7%,8.8%,32709500,65600 ( 0.2% ),4221,0 ( 0.0% ),1140986000,138493,7
