날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-04-10,1,0.0%,1,0%,214,0.0%,100.0%,1712000,1712000 ( 100.0% ),214,214 ( 100.0% ),1712000,214,32
2017-04-14,3,0.1%,3,0%,731,0.0%,77.0%,5067000,5067000 ( 100.0% ),563,563 ( 100.0% ),6779000,777,20
2017-04-16,1,0.0%,1,0%,386,0.0%,0.0%,0,0 ( 0.0% ),0,0 ( 0.0% ),6779000,777,115
2017-04-18,2,0.0%,2,0%,492,0.0%,100.0%,3936000,3936000 ( 100.0% ),492,492 ( 100.0% ),10715000,1269,22
2017-04-20,305,5.6%,625,4.1%,89060,3.6%,3.8%,24375000,24375000 ( 100.0% ),3367,3367 ( 100.0% ),35090000,4636,10
2017-04-21,293,5.1%,564,3.6%,80154,3.2%,2.9%,18740900,-5634100 ( -23.1% ),2304,-1063 ( -31.6% ),53830900,6940,12
2017-04-22,294,4.7%,467,2.8%,64541,2.4%,4.0%,21398000,2657100 ( 14.2% ),2583,279 ( 12.1% ),75228900,9523,16
2017-04-23,270,4.4%,410,2.5%,56433,2.1%,3.6%,16886200,-4511800 ( -21.1% ),2039,-544 ( -21.1% ),92115100,11562,16
2017-04-24,230,4.4%,367,2.6%,53886,2.3%,2.0%,7791500,-9094700 ( -53.9% ),1056,-983 ( -48.2% ),99906600,12618,16
2017-04-25,230,4.2%,366,2.6%,54219,2.3%,2.3%,8844500,1053000 ( 13.5% ),1223,167 ( 15.8% ),108751100,13841,17
2017-04-26,45,0.9%,50,0.3%,6093,0.2%,3.3%,1607000,-7237500 ( -81.8% ),200,-1023 ( -83.6% ),110358100,14041,32
2017-04-27,5,0.1%,5,0%,375,0.0%,7.7%,223000,-1384000 ( -86.1% ),29,-171 ( -85.5% ),110581100,14070,73
2017-04-28,4,0.1%,5,0%,519,0.0%,7.1%,188000,-35000 ( -15.7% ),37,8 ( 27.6% ),110769100,14107,59
2017-04-29,5,0.1%,5,0%,478,0.0%,9.4%,414000,226000 ( 120.2% ),45,8 ( 21.6% ),111183100,14152,67
2017-04-30,5,0.1%,5,0%,485,0.0%,11.8%,541000,127000 ( 30.7% ),57,12 ( 26.7% ),111724100,14209,61
2017-05-01,9,0.2%,9,0.1%,1265,0.0%,11.1%,854000,313000 ( 57.9% ),140,83 ( 145.6% ),112578100,14349,42
2017-05-02,9,0.1%,9,0.1%,1406,0.1%,10.0%,841000,-13000 ( -1.5% ),140,0 ( 0.0% ),113419100,14489,41
2017-05-03,6,0.1%,7,0%,729,0.0%,1.6%,75000,-766000 ( -91.1% ),12,-128 ( -91.4% ),113494100,14501,79
2017-05-04,3,0.0%,3,0%,359,0.0%,1.4%,27000,-48000 ( -64.0% ),5,-7 ( -58.3% ),113521100,14506,88
2017-05-05,4,0.1%,4,0%,411,0.0%,8.8%,346000,319000 ( 1181.5% ),36,31 ( 620.0% ),113867100,14542,65
2017-05-06,4,0.1%,4,0%,513,0.0%,3.9%,178000,-168000 ( -48.6% ),20,-16 ( -44.4% ),114045100,14562,69
2017-05-07,5,0.1%,5,0%,571,0.0%,2.8%,135000,-43000 ( -24.2% ),16,-4 ( -20.0% ),114180100,14578,69
2017-05-08,5,0.1%,6,0%,700,0.0%,3.3%,195000,60000 ( 44.4% ),23,7 ( 43.8% ),114375100,14601,58
2017-05-09,5,0.1%,6,0%,700,0.0%,3.7%,225000,30000 ( 15.4% ),26,3 ( 13.0% ),114600100,14627,67
2017-05-10,7,0.1%,8,0%,843,0.0%,4.0%,291000,66000 ( 29.3% ),34,8 ( 30.8% ),114891100,14661,49
2017-05-11,4,0.1%,4,0%,560,0.0%,0.7%,9000,-282000 ( -96.9% ),4,-30 ( -88.2% ),114900100,14665,87
2017-05-12,5,0.1%,5,0%,611,0.0%,0.7%,9000,0 ( 0.0% ),4,0 ( 0.0% ),114909100,14669,87
2017-05-13,2,0.0%,2,0%,301,0.0%,0.7%,6000,-3000 ( -33.3% ),2,-2 ( -50.0% ),114915100,14671,95
2017-05-14,3,0.0%,3,0%,360,0.0%,0.8%,16000,10000 ( 166.7% ),3,1 ( 50.0% ),114931100,14674,84
2017-05-15,4,0.1%,4,0%,560,0.0%,0.7%,9000,-7000 ( -43.8% ),4,1 ( 33.3% ),114940100,14678,76
2017-05-16,4,0.1%,4,0%,560,0.0%,0.7%,9000,0 ( 0.0% ),4,0 ( 0.0% ),114949100,14682,83
2017-05-17,5,0.1%,5,0%,619,0.0%,0.8%,18000,9000 ( 100.0% ),5,1 ( 25.0% ),114967100,14687,84
