날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-10-21,1,0.0%,1,0%,240,0.0%,100.0%,1920000,1920000 ( 100.0% ),240,240 ( 100.0% ),1920000,240,35
2016-10-23,1,0.0%,1,0%,208,0.0%,96.2%,1200000,1200000 ( 100.0% ),200,200 ( 100.0% ),3120000,440,41
2016-10-24,3,0.1%,3,0%,484,0.0%,100.0%,3388000,2188000 ( 182.3% ),484,284 ( 142.0% ),6508000,924,28
2016-10-26,75,1.7%,178,1.1%,21722,0.8%,4.2%,5205000,5205000 ( 100.0% ),906,906 ( 100.0% ),11713000,1830,16
2016-10-27,85,1.9%,172,1.1%,21583,0.8%,3.7%,4994000,-211000 ( -4.1% ),792,-114 ( -12.6% ),16707000,2622,18
2016-10-28,77,1.7%,186,1.1%,21233,0.8%,5.1%,7239429,2245429 ( 45.0% ),1074,282 ( 35.6% ),23946429,3696,11
2016-10-29,99,2.1%,265,1.5%,31119,1.1%,19.4%,41975954,34736525 ( 479.8% ),6026,4952 ( 461.1% ),65922383,9722,7
2016-10-30,100,2.1%,268,1.5%,31624,1.1%,20.7%,45351500,3375546 ( 8.0% ),6532,506 ( 8.4% ),111273883,16254,7
2016-10-31,71,1.7%,164,1%,21099,0.8%,3.3%,4630000,-40721500 ( -89.8% ),702,-5830 ( -89.3% ),115903883,16956,14
2016-11-01,68,1.6%,137,0.9%,17927,0.7%,4.3%,4853000,223000 ( 4.8% ),779,77 ( 11.0% ),120756883,17735,19
2016-11-02,64,1.5%,121,0.8%,15700,0.6%,3.0%,3064000,-1789000 ( -36.9% ),468,-311 ( -39.9% ),123820883,18203,19
2016-11-03,32,0.7%,45,0.3%,6406,0.2%,3.1%,1372000,-1692000 ( -55.2% ),201,-267 ( -57.1% ),125192883,18404,35
2016-11-04,43,0.9%,67,0.4%,8895,0.3%,7.1%,3985487,2613487 ( 190.5% ),635,434 ( 215.9% ),129178370,19039,21
2016-11-05,98,1.9%,181,1%,22717,0.8%,15.4%,24572492,20587005 ( 516.5% ),3490,2855 ( 449.6% ),153750862,22529,12
2016-11-06,95,1.8%,180,1%,22110,0.8%,15.5%,24184500,-387992 ( -1.6% ),3438,-52 ( -1.5% ),177935362,25967,12
2016-11-07,33,0.7%,47,0.3%,6471,0.3%,2.6%,1131500,-23053000 ( -95.3% ),168,-3270 ( -95.1% ),179066862,26135,34
2016-11-08,39,0.8%,55,0.4%,7132,0.3%,4.8%,1907000,775500 ( 68.5% ),342,174 ( 103.6% ),180973862,26477,23
2016-11-09,28,0.6%,38,0.2%,5059,0.2%,3.2%,1043000,-864000 ( -45.3% ),162,-180 ( -52.6% ),182016862,26639,38
2016-11-10,24,0.5%,25,0.2%,3505,0.1%,2.9%,737000,-306000 ( -29.3% ),101,-61 ( -37.7% ),182753862,26740,49
2016-11-11,24,0.5%,26,0.2%,3546,0.1%,2.3%,636500,-100500 ( -13.6% ),82,-19 ( -18.8% ),183390362,26822,58
2016-11-12,72,1.4%,107,0.6%,13268,0.5%,9.2%,8522500,7886000 ( 1239.0% ),1215,1133 ( 1381.7% ),191912862,28037,18
2016-11-13,70,1.3%,103,0.6%,12741,0.5%,13.5%,12016000,3493500 ( 41.0% ),1719,504 ( 41.5% ),203928862,29756,13
2016-11-14,22,0.5%,24,0.2%,3400,0.1%,4.0%,881000,-11135000 ( -92.7% ),135,-1584 ( -92.1% ),204809862,29891,37
2016-11-15,30,0.6%,32,0.2%,4419,0.2%,2.4%,678000,-203000 ( -23.0% ),105,-30 ( -22.2% ),205487862,29996,54
2016-11-16,1,0.0%,1,0%,160,0.0%,13.1%,105000,-573000 ( -84.5% ),21,-84 ( -80.0% ),205592862,30017,87
2016-11-17,3,0.1%,3,0%,185,0.0%,29.2%,277000,172000 ( 163.8% ),54,33 ( 157.1% ),205869862,30071,65
2016-11-18,2,0.0%,2,0%,133,0.0%,50.4%,375000,98000 ( 35.4% ),67,13 ( 24.1% ),206244862,30138,58
2016-11-19,16,0.3%,17,0.1%,1926,0.1%,9.2%,1202000,827000 ( 220.5% ),178,111 ( 165.7% ),207446862,30316,38
2016-11-20,19,0.4%,19,0.1%,2081,0.1%,8.1%,1097000,-105000 ( -8.7% ),168,-10 ( -5.6% ),208543862,30484,33
2016-11-21,1,0.0%,1,0%,40,0.0%,10.0%,24000,-1073000 ( -97.8% ),4,-164 ( -97.6% ),208567862,30488,112
2016-11-22,1,0.0%,1,0%,35,0.0%,14.3%,30000,6000 ( 25.0% ),5,1 ( 25.0% ),208597862,30493,119
2016-11-23,2,0.0%,2,0%,75,0.0%,8.0%,48000,18000 ( 60.0% ),6,1 ( 20.0% ),208645862,30499,95
2016-11-26,1,0.0%,1,0%,86,0.0%,9.3%,57000,57000 ( 100.0% ),8,8 ( 100.0% ),208702862,30507,115
2016-11-27,1,0.0%,1,0%,86,0.0%,20.9%,122000,65000 ( 114.0% ),18,10 ( 125.0% ),208824862,30525,90
