날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-01-18,2,0.0%,2,0%,585,0.0%,100.0%,7668000,7668000 ( 100.0% ),585,585 ( 100.0% ),7668000,585,24
2016-01-20,1,0.0%,1,0%,545,0.0%,100.0%,4905000,4905000 ( 100.0% ),545,545 ( 100.0% ),12573000,1130,24
2016-01-21,1,0.0%,1,0%,96,0.0%,100.0%,864000,-4041000 ( -82.4% ),96,-449 ( -82.4% ),13437000,1226,52
2016-01-25,3,0.1%,3,0%,605,0.0%,100.0%,5445000,5445000 ( 100.0% ),605,605 ( 100.0% ),18882000,1831,20
2016-01-27,4,0.1%,4,0%,822,0.0%,75.9%,7301000,7301000 ( 100.0% ),624,624 ( 100.0% ),26183000,2455,25
2016-01-28,1126,24.0%,6583,40.9%,1324718,48.7%,16.8%,1658416200,1651115200 ( 22614.9% ),222044,221420 ( 35484.0% ),1684599200,224499,1
2016-01-29,1177,24.6%,6915,41.9%,1385304,49.7%,15.5%,1702980869,44564669 ( 2.7% ),215077,-6967 ( -3.1% ),3387580069,439576,1
2016-01-30,1365,27.1%,8061,46.1%,1588594,54.1%,37.2%,4704804151,3001823282 ( 176.3% ),590272,375195 ( 174.4% ),8092384220,1029848,1
2016-01-31,1361,27.2%,7880,46.2%,1555784,54.2%,36.8%,4558125300,-146678851 ( -3.1% ),572182,-18090 ( -3.1% ),12650509520,1602030,1
2016-02-01,1162,25.9%,6501,43.2%,1317497,51.5%,7.8%,794015300,-3764110000 ( -82.6% ),103087,-469095 ( -82.0% ),13444524820,1705117,1
2016-02-02,1171,25.6%,6366,42.8%,1291589,51.1%,7.3%,717373100,-76642200 ( -9.7% ),94681,-8406 ( -8.2% ),14161897920,1799798,1
2016-02-03,886,20.8%,4282,28.7%,700219,27.8%,9.1%,480880300,-236492800 ( -33.0% ),63791,-30890 ( -32.6% ),14642778220,1863589,2
2016-02-04,853,18.1%,4005,25.5%,642888,24.5%,9.6%,466487400,-14392900 ( -3.0% ),61941,-1850 ( -2.9% ),15109265620,1925530,2
