날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-04-11,1,0.0%,1,0%,200,0.0%,100.0%,1800000,1800000 ( 100.0% ),200,200 ( 100.0% ),1800000,200,31
2018-04-17,3,0.1%,3,0%,430,0.0%,32.3%,892000,892000 ( 100.0% ),139,139 ( 100.0% ),2692000,339,39
2018-04-19,361,5.8%,801,4.7%,118596,4.3%,4.1%,36684600,36684600 ( 100.0% ),4826,4826 ( 100.0% ),39376600,5165,8
2018-04-20,347,5.4%,753,4.2%,110820,3.8%,4.3%,39846100,3161500 ( 8.6% ),4780,-46 ( -1.0% ),79222700,9945,9
2018-04-21,338,4.8%,671,3.5%,96730,3.1%,5.8%,49741500,9895400 ( 24.8% ),5650,870 ( 18.2% ),128964200,15595,10
2018-04-22,337,4.8%,631,3.4%,89585,3.0%,6.7%,52407700,2666200 ( 5.4% ),5967,317 ( 5.6% ),181371900,21562,10
2018-04-23,326,5.4%,629,3.8%,91504,3.4%,3.3%,22994100,-29413600 ( -56.1% ),3003,-2964 ( -49.7% ),204366000,24565,10
2018-04-24,310,5.0%,561,3.4%,83710,3.1%,2.8%,18099800,-4894300 ( -21.3% ),2383,-620 ( -20.6% ),222465800,26948,11
2018-04-25,41,0.8%,44,0.3%,5337,0.2%,2.9%,1146600,-16953200 ( -93.7% ),156,-2227 ( -93.5% ),223612400,27104,30
2018-04-26,6,0.1%,7,0%,694,0.0%,14.8%,587000,-559600 ( -48.8% ),103,-53 ( -34.0% ),224199400,27207,47
2018-04-27,4,0.1%,4,0%,368,0.0%,34.8%,797000,210000 ( 35.8% ),128,25 ( 24.3% ),224996400,27335,34
2018-04-28,2,0.0%,2,0%,163,0.0%,16.6%,199000,-598000 ( -75.0% ),27,-101 ( -78.9% ),225195400,27362,67
2018-04-29,2,0.0%,2,0%,163,0.0%,20.2%,258000,59000 ( 29.6% ),33,6 ( 22.2% ),225453400,27395,60
2018-04-30,4,0.1%,4,0%,449,0.0%,8.0%,275000,17000 ( 6.6% ),36,3 ( 9.1% ),225728400,27431,58
2018-05-01,1,0.0%,1,0%,95,0.0%,1.1%,5000,-270000 ( -98.2% ),1,-35 ( -97.2% ),225733400,27432,97
2018-05-02,3,0.1%,3,0%,303,0.0%,36.6%,1105000,1100000 ( 22000.0% ),111,110 ( 11000.0% ),226838400,27543,43
2018-05-03,5,0.1%,5,0%,585,0.0%,70.9%,4365000,3260000 ( 295.0% ),415,304 ( 273.9% ),231203400,27958,19
2018-05-04,5,0.1%,5,0%,577,0.0%,62.4%,3838800,-526200 ( -12.1% ),360,-55 ( -13.3% ),235042200,28318,22
2018-05-08,4,0.1%,4,0%,430,0.0%,37.0%,1585000,1585000 ( 100.0% ),159,159 ( 100.0% ),236627200,28477,26
