날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-03-30,3,0.1%,3,0%,760,0.0%,100.0%,5594000,5594000 ( 100.0% ),760,760 ( 100.0% ),5594000,760,21
2016-04-01,3,0.1%,3,0%,1421,0.1%,98.3%,10975000,10975000 ( 100.0% ),1397,1397 ( 100.0% ),16569000,2157,20
2016-04-04,3,0.1%,3,0%,613,0.0%,100.0%,5470000,5470000 ( 100.0% ),613,613 ( 100.0% ),22039000,2770,19
2016-04-06,497,10.1%,1480,11.6%,263039,12.3%,6.7%,140483200,140483200 ( 100.0% ),17651,17651 ( 100.0% ),162522200,20421,3
2016-04-07,489,10.5%,2445,16.9%,488373,20.0%,6.8%,254937600,114454400 ( 81.5% ),33023,15372 ( 87.1% ),417459800,53444,2
2016-04-08,519,10.8%,2562,16.9%,507420,19.9%,9.2%,385255458,130317858 ( 51.1% ),46574,13551 ( 41.0% ),802715258,100018,2
2016-04-09,575,10.8%,2829,16.9%,569505,20.3%,14.3%,690431562,305176104 ( 79.2% ),81625,35051 ( 75.3% ),1493146820,181643,3
2016-04-10,574,10.9%,2705,16.7%,546212,20.1%,10.1%,459776500,-230655062 ( -33.4% ),54926,-26699 ( -32.7% ),1952923320,236569,3
2016-04-11,522,11.5%,2359,16.8%,491293,20.6%,3.3%,122651500,-337125000 ( -73.3% ),16094,-38832 ( -70.7% ),2075574820,252663,2
2016-04-12,545,11.5%,2443,16.6%,500906,20.1%,4.3%,166541900,43890400 ( 35.8% ),21750,5656 ( 35.1% ),2242116720,274413,3
2016-04-13,364,6.7%,994,6%,149490,5.4%,14.4%,179185200,12643300 ( 7.6% ),21453,-297 ( -1.4% ),2421301920,295866,6
2016-04-14,343,7.8%,922,6.2%,136227,5.4%,4.0%,40853600,-138331600 ( -77.2% ),5408,-16045 ( -74.8% ),2462155520,301274,6
2016-04-15,357,7.7%,942,6%,137369,5.2%,5.3%,59687475,18833875 ( 46.1% ),7251,1843 ( 34.1% ),2521842995,308525,6
2016-04-16,349,6.7%,795,4.7%,109506,3.9%,12.5%,117182760,57495285 ( 96.3% ),13637,6386 ( 88.1% ),2639025755,322162,6
2016-04-17,319,6.3%,745,4.5%,102748,3.7%,10.7%,93487000,-23695760 ( -20.2% ),10946,-2691 ( -19.7% ),2732512755,333108,6
2016-04-18,313,7.2%,764,5.2%,109516,4.4%,3.9%,32801500,-60685500 ( -64.9% ),4258,-6688 ( -61.1% ),2765314255,337366,6
2016-04-19,312,7.0%,744,5.2%,106469,4.4%,3.6%,28646500,-4155000 ( -12.7% ),3786,-472 ( -11.1% ),2793960755,341152,6
2016-04-20,204,4.1%,374,2.5%,54587,2.2%,3.7%,15203700,-13442800 ( -46.9% ),2034,-1752 ( -46.3% ),2809164455,343186,10
2016-04-21,140,3.0%,256,1.6%,36217,1.4%,4.2%,11501000,-3702700 ( -24.4% ),1511,-523 ( -25.7% ),2820665455,344697,11
