날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-04-27,7,0.2%,7,0%,2871,0.1%,100.0%,25458000,25458000 ( 100.0% ),2871,2871 ( 100.0% ),25458000,2871,9
2017-05-08,1,0.0%,1,0%,214,0.0%,100.0%,1498000,1498000 ( 100.0% ),214,214 ( 100.0% ),26956000,3085,33
2017-05-10,4,0.1%,4,0%,759,0.0%,98.9%,6759000,6759000 ( 100.0% ),751,751 ( 100.0% ),33715000,3836,14
2017-05-13,253,4.1%,711,3.9%,123908,4.2%,19.2%,211413700,211413700 ( 100.0% ),23795,23795 ( 100.0% ),245128700,27631,7
2017-05-14,256,4.2%,684,3.9%,117851,4.1%,19.6%,202530600,-8883100 ( -4.2% ),23119,-676 ( -2.8% ),447659300,50750,7
2017-05-15,45,0.9%,137,0.8%,25908,1.0%,13.2%,29341600,-173189000 ( -85.5% ),3423,-19696 ( -85.2% ),477000900,54173,8
2017-05-16,47,0.9%,142,0.9%,26956,1.0%,12.1%,27800600,-1541000 ( -5.3% ),3264,-159 ( -4.6% ),504801500,57437,9
2017-05-17,554,11.1%,2328,14%,396737,14.5%,7.8%,234956600,207156000 ( 745.1% ),31067,27803 ( 851.8% ),739758100,88504,3
2017-05-18,567,10.4%,2233,13.5%,386031,14.2%,8.2%,235114800,158200 ( 0.1% ),31813,746 ( 2.4% ),974872900,120317,3
2017-05-19,588,10.4%,2231,13%,376930,13.4%,11.0%,343412728,108297928 ( 46.1% ),41481,9668 ( 30.4% ),1318285628,161798,3
2017-05-20,580,9.4%,2071,11.3%,333341,11.1%,25.5%,717845127,374432399 ( 109.0% ),85119,43638 ( 105.2% ),2036130755,246917,3
2017-05-21,567,9.3%,1996,11.1%,322651,11.0%,25.7%,695528700,-22316427 ( -3.1% ),82972,-2147 ( -2.5% ),2731659455,329889,4
2017-05-22,517,9.9%,2006,12.2%,328730,12.1%,7.3%,180090500,-515438200 ( -74.1% ),24017,-58955 ( -71.1% ),2911749955,353906,3
2017-05-23,532,10.0%,1971,12.1%,321535,11.9%,6.7%,159956000,-20134500 ( -11.2% ),21546,-2471 ( -10.3% ),3071705955,375452,3
2017-05-24,397,8.1%,937,5.8%,124349,4.7%,6.6%,59956700,-99999300 ( -62.5% ),8216,-13330 ( -61.9% ),3131662655,383668,6
2017-05-25,323,6.4%,543,3.2%,73861,2.7%,6.1%,31813400,-28143300 ( -46.9% ),4495,-3721 ( -45.3% ),3163476055,388163,7
2017-05-26,313,6.1%,529,3.1%,72183,2.6%,6.9%,39756600,7943200 ( 25.0% ),5014,519 ( 11.5% ),3203232655,393177,9
2017-05-27,280,5.1%,396,2.2%,49647,1.7%,16.1%,63070200,23313600 ( 58.6% ),7988,2974 ( 59.3% ),3266302855,401165,9
2017-05-28,270,4.9%,373,2.1%,47188,1.6%,14.9%,55205600,-7864600 ( -12.5% ),7033,-955 ( -12.0% ),3321508455,408198,8
2017-05-29,289,5.9%,456,2.8%,60812,2.3%,5.1%,21551700,-33653900 ( -61.0% ),3075,-3958 ( -56.3% ),3343060155,411273,9
2017-05-30,288,5.8%,445,2.7%,59193,2.2%,5.3%,22022500,470800 ( 2.2% ),3160,85 ( 2.8% ),3365082655,414433,9
2017-05-31,29,0.6%,33,0.2%,4060,0.2%,9.8%,2271000,-19751500 ( -89.7% ),399,-2761 ( -87.4% ),3367353655,414832,21
2017-06-01,15,0.3%,19,0.1%,2790,0.1%,4.8%,955500,-1315500 ( -57.9% ),135,-264 ( -66.2% ),3368309155,414967,39
2017-06-02,12,0.2%,15,0.1%,2009,0.1%,7.3%,984000,28500 ( 3.0% ),147,12 ( 8.9% ),3369293155,415114,35
2017-06-03,8,0.1%,9,0.1%,1352,0.0%,6.1%,617000,-367000 ( -37.3% ),83,-64 ( -43.5% ),3369910155,415197,54
2017-06-04,9,0.2%,9,0.1%,1110,0.0%,9.5%,759500,142500 ( 23.1% ),106,23 ( 27.7% ),3370669655,415303,36
2017-06-05,14,0.3%,15,0.1%,2074,0.1%,9.4%,1342500,583000 ( 76.8% ),195,89 ( 84.0% ),3372012155,415498,26
2017-06-06,4,0.1%,4,0%,589,0.0%,11.2%,525000,-817500 ( -60.9% ),66,-129 ( -66.2% ),3372537155,415564,51
2017-06-07,3,0.1%,5,0%,1053,0.0%,3.9%,299500,-225500 ( -43.0% ),41,-25 ( -37.9% ),3372836655,415605,60
2017-06-09,1,0.0%,1,0%,93,0.0%,20.4%,142500,142500 ( 100.0% ),19,19 ( 100.0% ),3372979155,415624,71
2017-06-10,1,0.0%,1,0%,93,0.0%,40.9%,323500,181000 ( 127.0% ),38,19 ( 100.0% ),3373302655,415662,62
2017-06-12,1,0.0%,1,0%,160,0.0%,10.0%,123000,123000 ( 100.0% ),16,16 ( 100.0% ),3373425655,415678,59
2017-06-13,1,0.0%,1,0%,160,0.0%,11.3%,104000,-19000 ( -15.4% ),18,2 ( 12.5% ),3373529655,415696,75
2017-06-14,1,0.0%,1,0%,160,0.0%,11.3%,149000,45000 ( 43.3% ),18,0 ( 0.0% ),3373678655,415714,70
