날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-06-03,2,0.0%,2,0%,542,0.0%,91.7%,5092500,5092500 ( 100.0% ),497,497 ( 100.0% ),5092500,497,20
2017-06-10,92,1.6%,184,1%,27949,0.9%,24.7%,70630500,70630500 ( 100.0% ),6904,6904 ( 100.0% ),75723000,7401,11
2017-06-11,89,1.6%,179,1%,25201,0.9%,13.0%,26752500,-43878000 ( -62.1% ),3286,-3618 ( -52.4% ),102475500,10687,12
2017-06-12,78,1.6%,143,0.9%,19713,0.7%,7.2%,10533000,-16219500 ( -60.6% ),1421,-1865 ( -56.8% ),113008500,12108,10
2017-06-13,73,1.5%,133,0.8%,18437,0.7%,6.5%,8608000,-1925000 ( -18.3% ),1196,-225 ( -15.8% ),121616500,13304,12
2017-06-14,72,1.5%,124,0.8%,17996,0.7%,5.3%,7067500,-1540500 ( -17.9% ),946,-250 ( -20.9% ),128684000,14250,11
2017-06-15,68,1.3%,119,0.7%,16568,0.6%,7.8%,9618000,2550500 ( 36.1% ),1291,345 ( 36.5% ),138302000,15541,13
2017-06-16,70,1.3%,127,0.7%,17652,0.6%,8.3%,12084000,2466000 ( 25.6% ),1461,170 ( 13.2% ),150386000,17002,13
2017-06-17,71,1.2%,127,0.7%,18135,0.6%,22.1%,33868000,21784000 ( 180.3% ),4000,2539 ( 173.8% ),184254000,21002,11
2017-06-18,66,1.1%,119,0.6%,16617,0.5%,12.8%,17204500,-16663500 ( -49.2% ),2127,-1873 ( -46.8% ),201458500,23129,16
2017-06-19,58,1.1%,103,0.6%,14323,0.5%,4.2%,4541500,-12663000 ( -73.6% ),597,-1530 ( -71.9% ),206000000,23726,17
2017-06-20,55,1.0%,97,0.6%,13187,0.5%,3.8%,3720000,-821500 ( -18.1% ),502,-95 ( -15.9% ),209720000,24228,21
2017-06-21,43,0.9%,64,0.4%,8942,0.4%,6.0%,4132500,412500 ( 11.1% ),539,37 ( 7.4% ),213852500,24767,17
2017-06-22,38,0.7%,53,0.3%,7023,0.3%,22.8%,12206000,8073500 ( 195.4% ),1604,1065 ( 197.6% ),226058500,26371,12
2017-06-23,38,0.7%,60,0.4%,8013,0.3%,7.0%,4827500,-7378500 ( -60.4% ),564,-1040 ( -64.8% ),230886000,26935,19
2017-06-24,51,0.9%,79,0.5%,11708,0.4%,36.0%,34584000,29756500 ( 616.4% ),4214,3650 ( 647.2% ),265470000,31149,12
2017-06-25,45,0.8%,72,0.4%,10035,0.4%,17.1%,14679500,-19904500 ( -57.6% ),1716,-2498 ( -59.3% ),280149500,32865,17
2017-06-26,34,0.7%,58,0.4%,8555,0.3%,6.1%,3997000,-10682500 ( -72.8% ),522,-1194 ( -69.6% ),284146500,33387,16
2017-06-27,41,0.8%,64,0.4%,9186,0.4%,6.3%,4229500,232500 ( 5.8% ),581,59 ( 11.3% ),288376000,33968,16
2017-06-28,20,0.4%,31,0.2%,5081,0.2%,13.0%,4195500,-34000 ( -0.8% ),659,78 ( 13.4% ),292571500,34627,17
2017-06-29,16,0.3%,22,0.1%,3991,0.2%,30.6%,9293000,5097500 ( 121.5% ),1220,561 ( 85.1% ),301864500,35847,12
2017-06-30,18,0.3%,27,0.2%,3945,0.2%,10.8%,3859500,-5433500 ( -58.5% ),425,-795 ( -65.2% ),305724000,36272,23
2017-07-01,25,0.5%,39,0.2%,6548,0.2%,51.0%,28120000,24260500 ( 628.6% ),3340,2915 ( 685.9% ),333844000,39612,15
2017-07-02,25,0.5%,35,0.2%,5376,0.2%,20.8%,9716500,-18403500 ( -65.4% ),1118,-2222 ( -66.5% ),343560500,40730,19
2017-07-03,14,0.3%,25,0.2%,3883,0.2%,8.2%,2547500,-7169000 ( -73.8% ),317,-801 ( -71.6% ),346108000,41047,22
2017-07-04,14,0.3%,26,0.2%,4627,0.2%,11.3%,4010500,1463000 ( 57.4% ),525,208 ( 65.6% ),350118500,41572,21
2017-07-05,12,0.3%,18,0.1%,2860,0.1%,12.2%,2721000,-1289500 ( -32.2% ),350,-175 ( -33.3% ),352839500,41922,21
