날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-05-25,2,0.0%,2,0%,410,0.0%,62.4%,2536000,2536000 ( 100.0% ),256,256 ( 100.0% ),2536000,256,24
2018-05-30,4,0.1%,5,0%,1475,0.1%,85.2%,11304000,11304000 ( 100.0% ),1256,1256 ( 100.0% ),13840000,1512,14
2018-05-31,17,0.3%,17,0.1%,3322,0.1%,100.0%,29898000,18594000 ( 164.5% ),3322,2066 ( 164.5% ),43738000,4834,9
2018-06-05,9,0.2%,9,0.1%,1480,0.1%,98.0%,13059000,13059000 ( 100.0% ),1451,1451 ( 100.0% ),56797000,6285,12
2018-06-07,9,0.2%,9,0.1%,1908,0.1%,100.0%,16706000,16706000 ( 100.0% ),1908,1908 ( 100.0% ),73503000,8193,8
2018-06-09,5,0.1%,5,0%,1043,0.0%,99.5%,10380000,10380000 ( 100.0% ),1038,1038 ( 100.0% ),83883000,9231,12
2018-06-10,5,0.1%,5,0%,1119,0.0%,53.5%,5654000,-4726000 ( -45.5% ),599,-439 ( -42.3% ),89537000,9830,18
2018-06-11,17,0.4%,17,0.1%,3330,0.1%,100.0%,29264000,23610000 ( 417.6% ),3330,2731 ( 455.9% ),118801000,13160,6
2018-06-12,25,0.5%,25,0.1%,5051,0.2%,55.2%,28431300,-832700 ( -2.8% ),2787,-543 ( -16.3% ),147232300,15947,7
2018-06-13,971,18.9%,4887,26.1%,798523,27.1%,29.5%,2043182700,2014751400 ( 7086.4% ),235184,232397 ( 8338.6% ),2190415000,251131,2
2018-06-14,967,21.4%,4809,27.7%,777230,28.1%,11.9%,740120400,-1303062300 ( -63.8% ),92253,-142931 ( -60.8% ),2930535400,343384,1
2018-06-15,947,20.8%,4879,27.3%,788155,27.7%,16.1%,1119554026,379433626 ( 51.3% ),127030,34777 ( 37.7% ),4050089426,470414,1
2018-06-16,1033,19.9%,5044,26.5%,801392,26.7%,36.0%,2578455044,1458901018 ( 130.3% ),288726,161696 ( 127.3% ),6628544470,759140,2
2018-06-17,1041,20.2%,5023,27.1%,800654,27.4%,33.9%,2424745900,-153709144 ( -6.0% ),271180,-17546 ( -6.1% ),9053290370,1030320,1
2018-06-18,993,22.6%,4824,29.6%,764582,29.4%,9.7%,592291300,-1832454600 ( -75.6% ),73793,-197387 ( -72.8% ),9645581670,1104113,1
2018-06-19,1017,22.5%,5035,29.8%,799486,29.7%,11.9%,767553100,175261800 ( 29.6% ),95060,21267 ( 28.8% ),10413134770,1199173,1
2018-06-20,1003,22.6%,5085,29.9%,879044,32.3%,11.9%,840514500,72961400 ( 9.5% ),105042,9982 ( 10.5% ),11253649270,1304215,1
2018-06-21,975,18.0%,4716,27.8%,865754,31.8%,11.7%,821960100,-18554400 ( -2.2% ),101536,-3506 ( -3.3% ),12075609370,1405751,1
2018-06-22,1012,18.4%,5008,28.4%,926120,32.7%,14.2%,1174891948,352931848 ( 42.9% ),131759,30223 ( 29.8% ),13250501318,1537510,1
2018-06-23,1137,18.6%,5549,29.9%,1021040,34.8%,23.8%,2176275754,1001383806 ( 85.2% ),242646,110887 ( 84.2% ),15426777072,1780156,1
2018-06-24,1091,18.1%,5498,30%,1015650,34.8%,24.9%,2293442200,117166446 ( 5.4% ),252731,10085 ( 4.2% ),17720219272,2032887,1
2018-06-25,1011,19.2%,5002,30%,911241,33.9%,10.1%,745649600,-1547792600 ( -67.5% ),91676,-161055 ( -63.7% ),18465868872,2124563,1
2018-06-26,1031,19.0%,5024,29.9%,908991,33.7%,10.3%,745263300,-386300 ( -0.1% ),93252,1576 ( 1.7% ),19211132172,2217815,1
2018-06-27,854,15.4%,3481,20.8%,614863,23.1%,20.3%,746905700,1642400 ( 0.2% ),124510,31258 ( 33.5% ),19958037872,2342325,1
2018-06-28,834,15.4%,3617,21.2%,633480,23.2%,10.8%,549588200,-197317500 ( -26.4% ),68148,-56362 ( -45.3% ),20507626072,2410473,2
2018-06-29,880,15.9%,3896,21.9%,680260,24.0%,12.4%,745172079,195583879 ( 35.6% ),84356,16208 ( 23.8% ),21252798151,2494829,2
2018-06-30,932,15.5%,4268,22.7%,751997,25.3%,24.3%,1642686569,897514490 ( 120.4% ),182557,98201 ( 116.4% ),22895484720,2677386,2
2018-07-01,929,15.6%,4103,22.5%,720524,25.0%,21.2%,1379777900,-262908669 ( -16.0% ),152451,-30106 ( -16.5% ),24275262620,2829837,2
2018-07-02,837,16.1%,3780,22.4%,647764,24.0%,8.1%,421651000,-958126900 ( -69.4% ),52435,-100016 ( -65.6% ),24696913620,2882272,2
