날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-04-26,4,0.1%,5,0%,1079,0.0%,85.2%,7604000,7604000 ( 100.0% ),919,919 ( 100.0% ),7604000,919,14
2016-04-27,91,2.0%,135,0.9%,18847,0.8%,7.4%,9078000,1474000 ( 19.4% ),1386,467 ( 50.8% ),16682000,2305,12
2016-04-28,106,2.3%,153,1.1%,20926,0.9%,5.5%,7714200,-1363800 ( -15.0% ),1148,-238 ( -17.2% ),24396200,3453,11
2016-04-29,120,2.6%,162,1.1%,21999,0.9%,6.8%,11157700,3443500 ( 44.6% ),1494,346 ( 30.1% ),35553900,4947,11
2016-04-30,102,2.2%,151,1%,20817,0.8%,12.8%,18110900,6953200 ( 62.3% ),2666,1172 ( 78.4% ),53664800,7613,10
2016-05-01,94,2.0%,137,0.9%,18513,0.8%,14.0%,17515200,-595700 ( -3.3% ),2599,-67 ( -2.5% ),71180000,10212,9
2016-05-02,95,2.2%,143,1%,19358,0.8%,7.1%,8457900,-9057300 ( -51.7% ),1384,-1215 ( -46.7% ),79637900,11596,11
2016-05-03,100,2.2%,151,1.1%,20325,0.9%,6.4%,8609000,151100 ( 1.8% ),1310,-74 ( -5.3% ),88246900,12906,13
2016-05-04,48,1.0%,64,0.4%,8829,0.4%,5.8%,3535000,-5074000 ( -58.9% ),514,-796 ( -60.8% ),91781900,13420,22
2016-05-05,52,1.0%,61,0.4%,8253,0.3%,17.0%,11393400,7858400 ( 222.3% ),1403,889 ( 173.0% ),103175300,14823,15
2016-05-06,58,1.1%,68,0.4%,9265,0.4%,23.0%,15087200,3693800 ( 32.4% ),2133,730 ( 52.0% ),118262500,16956,13
2016-05-07,52,1.0%,66,0.4%,8961,0.3%,20.0%,11295800,-3791400 ( -25.1% ),1790,-343 ( -16.1% ),129558300,18746,11
2016-05-08,53,1.0%,67,0.4%,9441,0.4%,22.8%,10814800,-481000 ( -4.3% ),2148,358 ( 20.0% ),140373100,20894,9
2016-05-09,55,1.3%,77,0.6%,10787,0.5%,12.9%,6283300,-4531500 ( -41.9% ),1394,-754 ( -35.1% ),146656400,22288,9
2016-05-10,56,1.3%,76,0.6%,10813,0.5%,12.5%,6355000,71700 ( 1.1% ),1356,-38 ( -2.7% ),153011400,23644,11
2016-05-11,46,0.9%,61,0.5%,8442,0.4%,7.7%,4162000,-2193000 ( -34.5% ),654,-702 ( -51.8% ),157173400,24298,19
2016-05-12,14,0.3%,20,0.1%,2601,0.1%,10.5%,1779300,-2382700 ( -57.2% ),274,-380 ( -58.1% ),158952700,24572,26
2016-05-13,18,0.4%,25,0.2%,3324,0.1%,6.7%,1649000,-130300 ( -7.3% ),222,-52 ( -19.0% ),160601700,24794,29
2016-05-14,19,0.4%,27,0.2%,3499,0.1%,16.3%,4656000,3007000 ( 182.4% ),569,347 ( 156.3% ),165257700,25363,17
2016-05-15,18,0.4%,24,0.2%,3035,0.1%,11.0%,2507700,-2148300 ( -46.1% ),334,-235 ( -41.3% ),167765400,25697,22
2016-05-16,14,0.3%,22,0.2%,2667,0.1%,6.0%,1067000,-1440700 ( -57.5% ),159,-175 ( -52.4% ),168832400,25856,32
