날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2016-07-22,1,0.0%,1,0%,118,0.0%,57.6%,742000,742000 ( 100.0% ),68,68 ( 100.0% ),742000,68,45
2016-07-23,3,0.1%,3,0%,386,0.0%,55.4%,1641500,899500 ( 121.2% ),214,146 ( 214.7% ),2383500,282,32
2016-07-24,2,0.0%,2,0%,248,0.0%,69.4%,1501500,-140000 ( -8.5% ),172,-42 ( -19.6% ),3885000,454,33
2016-07-25,4,0.1%,4,0%,385,0.0%,39.2%,1075000,-426500 ( -28.4% ),151,-21 ( -12.2% ),4960000,605,34
2016-07-26,1,0.0%,1,0%,36,0.0%,0.0%,0,-1075000 ( -100.0% ),0,-151 ( -100.0% ),4960000,605,103
2016-07-27,41,0.9%,77,0.4%,9649,0.3%,19.8%,12815500,12815500 ( 100.0% ),1906,1906 ( 100.0% ),17775500,2511,12
2016-07-28,70,1.5%,133,0.8%,15816,0.5%,22.0%,26937200,14121700 ( 110.2% ),3484,1578 ( 82.8% ),44712700,5995,10
2016-07-29,69,1.5%,139,0.8%,16917,0.6%,25.0%,36517672,9580472 ( 35.6% ),4225,741 ( 21.3% ),81230372,10220,9
2016-07-30,72,1.4%,134,0.7%,15986,0.5%,41.2%,57105200,20587528 ( 56.4% ),6580,2355 ( 55.7% ),138335572,16800,9
2016-07-31,70,1.4%,130,0.7%,15609,0.5%,40.3%,54730300,-2374900 ( -4.2% ),6295,-285 ( -4.3% ),193065872,23095,9
2016-08-01,64,1.4%,147,0.8%,17755,0.6%,24.9%,34185500,-20544800 ( -37.5% ),4422,-1873 ( -29.8% ),227251372,27517,9
2016-08-02,69,1.5%,151,0.9%,18416,0.6%,24.4%,33945600,-239900 ( -0.7% ),4494,72 ( 1.6% ),261196972,32011,10
2016-08-03,51,1.0%,122,0.7%,14643,0.5%,24.0%,27263700,-6681900 ( -19.7% ),3519,-975 ( -21.7% ),288460672,35530,11
2016-08-04,47,0.9%,107,0.6%,13387,0.5%,20.8%,21359900,-5903800 ( -21.7% ),2788,-731 ( -20.8% ),309820572,38318,12
2016-08-05,47,0.9%,120,0.7%,14328,0.5%,23.4%,29415900,8056000 ( 37.7% ),3355,567 ( 20.3% ),339236472,41673,9
2016-08-06,49,0.9%,121,0.7%,14487,0.5%,36.1%,46480600,17064700 ( 58.0% ),5236,1881 ( 56.1% ),385717072,46909,9
2016-08-07,48,0.9%,119,0.7%,14437,0.5%,31.8%,40242600,-6238000 ( -13.4% ),4588,-648 ( -12.4% ),425959672,51497,9
2016-08-08,45,0.9%,110,0.6%,13135,0.5%,16.2%,16370400,-23872200 ( -59.3% ),2127,-2461 ( -53.6% ),442330072,53624,11
2016-08-09,50,1.0%,120,0.7%,14366,0.5%,17.6%,19493500,3123100 ( 19.1% ),2526,399 ( 18.8% ),461823572,56150,11
2016-08-10,40,0.8%,87,0.5%,11292,0.4%,19.0%,16659900,-2833600 ( -14.5% ),2143,-383 ( -15.2% ),478483472,58293,13
2016-08-11,41,0.8%,83,0.5%,10961,0.4%,16.8%,14060500,-2599400 ( -15.6% ),1839,-304 ( -14.2% ),492543972,60132,13
2016-08-12,43,0.8%,91,0.5%,11817,0.4%,19.6%,20175400,6114900 ( 43.5% ),2311,472 ( 25.7% ),512719372,62443,12
2016-08-13,41,0.7%,88,0.5%,11413,0.4%,29.0%,29792200,9616800 ( 47.7% ),3315,1004 ( 43.4% ),542511572,65758,13
2016-08-14,43,0.7%,89,0.5%,11491,0.4%,31.7%,32233100,2440900 ( 8.2% ),3646,331 ( 10.0% ),574744672,69404,13
2016-08-15,38,0.7%,78,0.4%,9949,0.3%,35.9%,31523400,-709700 ( -2.2% ),3571,-75 ( -2.1% ),606268072,72975,13
2016-08-16,41,0.8%,79,0.5%,10203,0.4%,13.8%,10871700,-20651700 ( -65.5% ),1411,-2160 ( -60.5% ),617139772,74386,14
2016-08-17,35,0.6%,59,0.4%,8139,0.3%,16.9%,10305800,-565900 ( -5.2% ),1373,-38 ( -2.7% ),627445572,75759,17
2016-08-18,21,0.4%,34,0.2%,5638,0.2%,13.6%,6097700,-4208100 ( -40.8% ),768,-605 ( -44.1% ),633543272,76527,22
2016-08-19,24,0.4%,37,0.2%,5665,0.2%,15.9%,7580500,1482800 ( 24.3% ),902,134 ( 17.4% ),641123772,77429,20
2016-08-20,24,0.4%,37,0.2%,5617,0.2%,28.0%,14148100,6567600 ( 86.6% ),1571,669 ( 74.2% ),655271872,79000,18
2016-08-21,20,0.3%,34,0.2%,5514,0.2%,24.1%,11261100,-2887000 ( -20.4% ),1328,-243 ( -15.5% ),666532972,80328,19
2016-08-22,18,0.3%,33,0.2%,5273,0.2%,13.3%,5327000,-5934100 ( -52.7% ),700,-628 ( -47.3% ),671859972,81028,22
2016-08-23,23,0.4%,39,0.2%,5860,0.2%,12.0%,5254500,-72500 ( -1.4% ),701,1 ( 0.1% ),677114472,81729,21
2016-08-24,22,0.4%,35,0.2%,5581,0.2%,12.8%,5449400,194900 ( 3.7% ),717,16 ( 2.3% ),682563872,82446,22
2016-08-25,10,0.2%,18,0.1%,2861,0.1%,13.7%,3123500,-2325900 ( -42.7% ),391,-326 ( -45.5% ),685687372,82837,31
2016-08-26,11,0.2%,20,0.1%,3177,0.1%,13.9%,3849000,725500 ( 23.2% ),443,52 ( 13.3% ),689536372,83280,31
2016-08-27,13,0.2%,23,0.1%,3492,0.1%,23.9%,7654400,3805400 ( 98.9% ),833,390 ( 88.0% ),697190772,84113,30
2016-08-28,12,0.2%,20,0.1%,3226,0.1%,19.5%,5631600,-2022800 ( -26.4% ),628,-205 ( -24.6% ),702822372,84741,30
2016-08-29,8,0.1%,14,0.1%,2496,0.1%,12.2%,2458000,-3173600 ( -56.4% ),305,-323 ( -51.4% ),705280372,85046,31
2016-08-30,10,0.2%,18,0.1%,3036,0.1%,16.4%,3858000,1400000 ( 57.0% ),498,193 ( 63.3% ),709138372,85544,28
2016-08-31,10,0.2%,18,0.1%,2718,0.1%,12.7%,2670900,-1187100 ( -30.8% ),346,-152 ( -30.5% ),711809272,85890,34
2016-09-01,7,0.1%,12,0.1%,2417,0.1%,9.6%,1874000,-796900 ( -29.8% ),233,-113 ( -32.7% ),713683272,86123,44
2016-09-02,11,0.2%,17,0.1%,2890,0.1%,10.8%,2775000,901000 ( 48.1% ),311,78 ( 33.5% ),716458272,86434,35
2016-09-03,11,0.2%,17,0.1%,2892,0.1%,19.1%,4929000,2154000 ( 77.6% ),551,240 ( 77.2% ),721387272,86985,37
2016-09-04,9,0.1%,15,0.1%,2588,0.1%,16.2%,3849000,-1080000 ( -21.9% ),418,-133 ( -24.1% ),725236272,87403,39
2016-09-05,7,0.1%,12,0.1%,2057,0.1%,8.0%,1389000,-2460000 ( -63.9% ),165,-253 ( -60.5% ),726625272,87568,40
2016-09-06,7,0.1%,12,0.1%,2334,0.1%,6.2%,1151000,-238000 ( -17.1% ),144,-21 ( -12.7% ),727776272,87712,51
2016-09-07,7,0.1%,12,0.1%,2530,0.1%,6.8%,1371500,220500 ( 19.2% ),171,27 ( 18.8% ),729147772,87883,38
2016-09-08,6,0.1%,9,0.1%,1370,0.1%,7.6%,857000,-514500 ( -37.5% ),104,-67 ( -39.2% ),730004772,87987,52
2016-09-09,10,0.2%,14,0.1%,1665,0.1%,9.2%,1300000,443000 ( 51.7% ),153,49 ( 47.1% ),731304772,88140,45
2016-09-10,11,0.2%,14,0.1%,1764,0.1%,20.8%,3293000,1993000 ( 153.3% ),367,214 ( 139.9% ),734597772,88507,32
2016-09-11,12,0.2%,14,0.1%,1594,0.1%,24.1%,3235900,-57100 ( -1.7% ),384,17 ( 4.6% ),737833672,88891,31
2016-09-12,5,0.1%,8,0.1%,1098,0.0%,12.3%,1172500,-2063400 ( -63.8% ),135,-249 ( -64.8% ),739006172,89026,45
2016-09-13,6,0.1%,9,0.1%,1051,0.0%,14.2%,1233000,60500 ( 5.2% ),149,14 ( 10.4% ),740239172,89175,38
