날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-02-04,1,0.0%,1,0%,254,0.0%,100.0%,2032000,2032000 ( 100.0% ),254,254 ( 100.0% ),2032000,254,34
2018-02-07,1,0.0%,1,0%,249,0.0%,100.0%,1980000,1980000 ( 100.0% ),249,249 ( 100.0% ),4012000,503,30
2018-02-08,136,2.2%,220,1.3%,29270,1.0%,6.0%,11300400,9320400 ( 470.7% ),1760,1511 ( 606.8% ),15312400,2263,16
2018-02-09,122,1.9%,195,1.1%,26464,0.9%,4.4%,8572500,-2727900 ( -24.1% ),1154,-606 ( -34.4% ),23884900,3417,18
2018-02-10,166,2.5%,377,2%,52086,1.7%,13.6%,54935800,46363300 ( 540.8% ),7108,5954 ( 515.9% ),78820700,10525,10
2018-02-11,168,2.5%,373,2%,51504,1.7%,13.9%,55982000,1046200 ( 1.9% ),7164,56 ( 0.8% ),134802700,17689,10
2018-02-12,107,1.8%,151,0.9%,20152,0.7%,3.6%,4903000,-51079000 ( -91.2% ),718,-6446 ( -90.0% ),139705700,18407,20
2018-02-13,93,1.5%,130,0.8%,17527,0.6%,3.6%,4393000,-510000 ( -10.4% ),635,-83 ( -11.6% ),144098700,19042,24
2018-02-14,21,0.4%,21,0.1%,3192,0.1%,4.7%,1066000,-3327000 ( -75.7% ),151,-484 ( -76.2% ),145164700,19193,34
2018-02-15,29,0.5%,29,0.2%,4239,0.1%,14.6%,4785000,3719000 ( 348.9% ),617,466 ( 308.6% ),149949700,19810,20
2018-02-16,24,0.4%,24,0.1%,3512,0.1%,9.4%,2619000,-2166000 ( -45.3% ),330,-287 ( -46.5% ),152568700,20140,25
2018-02-17,30,0.5%,31,0.2%,5169,0.2%,10.5%,3871000,1252000 ( 47.8% ),542,212 ( 64.2% ),156439700,20682,25
2018-02-18,29,0.5%,29,0.2%,4626,0.2%,11.6%,3992500,121500 ( 3.1% ),538,-4 ( -0.7% ),160432200,21220,23
2018-02-19,22,0.4%,22,0.1%,3225,0.1%,2.9%,574000,-3418500 ( -85.6% ),92,-446 ( -82.9% ),161006200,21312,47
2018-02-20,29,0.5%,30,0.2%,4524,0.2%,3.3%,947000,373000 ( 65.0% ),148,56 ( 60.9% ),161953200,21460,47
2018-02-21,26,0.5%,26,0.2%,3655,0.1%,6.2%,1450500,503500 ( 53.2% ),228,80 ( 54.1% ),163403700,21688,34
2018-02-22,5,0.1%,5,0%,585,0.0%,8.5%,309500,-1141000 ( -78.7% ),50,-178 ( -78.1% ),163713200,21738,64
2018-02-23,5,0.1%,5,0%,642,0.0%,3.4%,77000,-232500 ( -75.1% ),22,-28 ( -56.0% ),163790200,21760,97
2018-02-24,7,0.1%,8,0%,1012,0.0%,3.9%,228500,151500 ( 196.8% ),39,17 ( 77.3% ),164018700,21799,77
2018-02-25,7,0.1%,8,0%,1012,0.0%,6.4%,395500,167000 ( 73.1% ),65,26 ( 66.7% ),164414200,21864,62
2018-02-26,3,0.1%,3,0%,387,0.0%,3.4%,82500,-313000 ( -79.1% ),13,-52 ( -80.0% ),164496700,21877,75
2018-02-27,4,0.1%,4,0%,540,0.0%,2.6%,81000,-1500 ( -1.8% ),14,1 ( 7.7% ),164577700,21891,87
2018-02-28,4,0.1%,4,0%,462,0.0%,0.9%,4000,-77000 ( -95.1% ),4,-10 ( -71.4% ),164581700,21895,101
2018-03-01,4,0.1%,4,0%,418,0.0%,1.0%,5000,1000 ( 25.0% ),4,0 ( 0.0% ),164586700,21899,90
2018-03-02,4,0.1%,4,0%,462,0.0%,0.9%,4000,-1000 ( -20.0% ),4,0 ( 0.0% ),164590700,21903,90
2018-03-03,4,0.1%,4,0%,462,0.0%,0.9%,4000,0 ( 0.0% ),4,0 ( 0.0% ),164594700,21907,92
2018-03-04,4,0.1%,4,0%,462,0.0%,0.9%,4000,0 ( 0.0% ),4,0 ( 0.0% ),164598700,21911,95
2018-03-05,3,0.1%,3,0%,309,0.0%,1.0%,3000,-1000 ( -25.0% ),3,-1 ( -25.0% ),164601700,21914,87
2018-03-23,1,0.0%,1,0%,94,0.0%,2.1%,12000,12000 ( 100.0% ),2,2 ( 100.0% ),164613700,21916,106
2018-03-26,1,0.0%,1,0%,94,0.0%,1.1%,6000,6000 ( 100.0% ),1,1 ( 100.0% ),164619700,21917,101
2018-03-28,1,0.0%,1,0%,94,0.0%,4.3%,24000,24000 ( 100.0% ),4,4 ( 100.0% ),164643700,21921,84
