날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2017-10-18,1,0.0%,1,0%,332,0.0%,42.2%,700000,700000 ( 100.0% ),140,140 ( 100.0% ),700000,140,37
2017-10-23,1,0.0%,1,0%,624,0.0%,100.0%,8736000,8736000 ( 100.0% ),624,624 ( 100.0% ),9436000,764,19
2017-10-24,5,0.1%,5,0%,1784,0.1%,97.9%,19654000,10918000 ( 125.0% ),1747,1123 ( 180.0% ),29090000,2511,14
2017-10-25,1601,29.7%,7965,47.9%,1533329,56.7%,27.1%,2590457400,2570803400 ( 13080.3% ),415741,413994 ( 23697.4% ),2619547400,418252,1
2017-10-26,1513,28.4%,7766,46.8%,1497729,55.3%,14.5%,1698643400,-891814000 ( -34.4% ),217223,-198518 ( -47.8% ),4318190800,635475,1
2017-10-27,1554,28.7%,8058,47%,1548941,55.7%,20.4%,2696624817,997981417 ( 58.8% ),316499,99276 ( 45.7% ),7014815617,951974,1
2017-10-28,1640,28.9%,8765,48.6%,1661128,57.2%,39.9%,5619909407,2923284590 ( 108.4% ),662646,346147 ( 109.4% ),12634725024,1614620,1
2017-10-29,1597,28.5%,8534,48.3%,1626051,57.0%,36.9%,5058404450,-561504957 ( -10.0% ),599966,-62680 ( -9.5% ),17693129474,2214586,1
2017-10-30,1448,28.7%,7587,46.5%,1468130,55.2%,10.4%,1189500500,-3868903950 ( -76.5% ),152634,-447332 ( -74.6% ),18882629974,2367220,1
2017-10-31,1456,28.2%,7500,46%,1453001,54.8%,9.7%,1080148250,-109352250 ( -9.2% ),140706,-11928 ( -7.8% ),19962778224,2507926,1
2017-11-01,1431,28.1%,7315,45%,1415578,53.6%,9.2%,997923900,-82224350 ( -7.6% ),129636,-11070 ( -7.9% ),20960702124,2637562,1
2017-11-02,1000,18.9%,4818,28.3%,973871,35.2%,10.2%,783942000,-213981900 ( -21.4% ),99572,-30064 ( -23.2% ),21744644124,2737134,2
2017-11-03,1017,18.8%,4965,28.4%,1002907,35.3%,16.2%,1395246040,611304040 ( 78.0% ),162641,63069 ( 63.3% ),23139890164,2899775,1
2017-11-04,1047,17.9%,5189,28%,1015145,33.9%,36.0%,3127486767,1732240727 ( 124.2% ),365000,202359 ( 124.4% ),26267376931,3264775,1
2017-11-05,1039,18.0%,5078,28%,993601,33.9%,30.8%,2601163600,-526323167 ( -16.8% ),306265,-58735 ( -16.1% ),28868540531,3571040,1
2017-11-06,943,18.9%,4573,27.6%,915914,33.9%,7.8%,563989300,-2037174300 ( -78.3% ),71307,-234958 ( -76.7% ),29432529831,3642347,1
2017-11-07,962,18.6%,4511,27.3%,900163,33.4%,6.9%,482385000,-81604300 ( -14.5% ),62157,-9150 ( -12.8% ),29914914831,3704504,2
2017-11-08,841,16.4%,3854,22.8%,790072,28.6%,7.8%,475687700,-6697300 ( -1.4% ),61380,-777 ( -1.3% ),30390602531,3765884,2
2017-11-09,708,12.1%,2909,16.3%,602732,20.7%,8.5%,395017600,-80670100 ( -17.0% ),51340,-10040 ( -16.4% ),30785620131,3817224,1
2017-11-10,740,12.2%,3116,16.9%,639832,21.3%,12.4%,673951200,278933600 ( 70.6% ),79054,27714 ( 54.0% ),31459571331,3896278,1
2017-11-11,856,13.0%,3621,18.3%,725706,22.8%,29.5%,1813556000,1139604800 ( 169.1% ),213813,134759 ( 170.5% ),33273127331,4110091,1
2017-11-12,832,12.6%,3517,18.2%,704438,22.6%,24.5%,1457937500,-355618500 ( -19.6% ),172871,-40942 ( -19.1% ),34731064831,4282962,1
2017-11-13,733,12.6%,3052,17.6%,627197,22.1%,6.6%,315686400,-1142251100 ( -78.3% ),41186,-131685 ( -76.2% ),35046751231,4324148,2
2017-11-14,746,12.5%,2997,17.5%,615608,22.0%,6.0%,283685600,-32000800 ( -10.1% ),36953,-4233 ( -10.3% ),35330436831,4361101,2
2017-11-15,764,11.3%,2000,11.6%,352927,12.7%,8.8%,233062700,-50622900 ( -17.8% ),31204,-5749 ( -15.6% ),35563499531,4392305,4
2017-11-16,494,8.5%,1424,7.9%,209594,7.2%,15.2%,232576400,-486300 ( -0.2% ),31835,631 ( 2.0% ),35796075931,4424140,4
2017-11-17,494,8.2%,1435,7.9%,209305,7.1%,14.5%,249895558,17319158 ( 7.4% ),30287,-1548 ( -4.9% ),36045971489,4454427,4
2017-11-18,563,9.1%,1624,8.5%,235225,7.6%,30.8%,603290656,353395098 ( 141.4% ),72424,42137 ( 139.1% ),36649262145,4526851,3
2017-11-19,574,9.4%,1632,8.8%,237781,7.9%,27.6%,546615100,-56675556 ( -9.4% ),65541,-6883 ( -9.5% ),37195877245,4592392,3
2017-11-20,491,8.9%,1510,9%,225098,8.2%,8.0%,135642100,-410973000 ( -75.2% ),18001,-47540 ( -72.5% ),37331519345,4610393,3
2017-11-21,495,8.7%,1483,8.9%,218080,8.0%,7.0%,115776500,-19865600 ( -14.6% ),15323,-2678 ( -14.9% ),37447295845,4625716,4
2017-11-22,423,8.2%,1048,6.2%,143940,5.2%,8.7%,93138500,-22638000 ( -19.6% ),12529,-2794 ( -18.2% ),37540434345,4638245,4
2017-11-23,422,7.4%,929,5.4%,127669,4.5%,12.1%,111034200,17895700 ( 19.2% ),15417,2888 ( 23.1% ),37651468545,4653662,4
2017-11-24,429,7.5%,949,5.4%,130346,4.6%,15.0%,155367200,44333000 ( 39.9% ),19514,4097 ( 26.6% ),37806835745,4673176,4
2017-11-25,480,7.8%,1067,5.7%,143190,4.7%,27.9%,325839000,170471800 ( 109.7% ),39962,20448 ( 104.8% ),38132674745,4713138,4
2017-11-26,484,8.0%,1075,5.9%,143750,4.9%,27.5%,320968650,-4870350 ( -1.5% ),39538,-424 ( -1.1% ),38453643395,4752676,4
2017-11-27,428,7.9%,1003,6.1%,140311,5.2%,8.8%,89952000,-231016650 ( -72.0% ),12285,-27253 ( -68.9% ),38543595395,4764961,4
2017-11-28,428,7.6%,989,6%,138877,5.1%,8.1%,81682700,-8269300 ( -9.2% ),11189,-1096 ( -8.9% ),38625278095,4776150,4
2017-11-29,225,4.2%,370,2.1%,50420,1.8%,13.6%,42396300,-39286400 ( -48.1% ),6856,-4333 ( -38.7% ),38667674395,4783006,9
2017-11-30,227,4.1%,359,2.1%,49912,1.8%,13.0%,46631800,4235500 ( 10.0% ),6507,-349 ( -5.1% ),38714306195,4789513,8
2017-12-01,228,4.2%,349,1.9%,47659,1.6%,16.5%,62549500,15917700 ( 34.1% ),7879,1372 ( 21.1% ),38776855695,4797392,8
2017-12-02,205,3.5%,307,1.6%,41159,1.3%,32.0%,108838400,46288900 ( 74.0% ),13158,5279 ( 67.0% ),38885694095,4810550,8
2017-12-03,206,3.5%,303,1.6%,40306,1.3%,31.4%,104021900,-4816500 ( -4.4% ),12638,-520 ( -4.0% ),38989715995,4823188,8
2017-12-04,223,4.3%,348,2.1%,47731,1.7%,9.5%,33801500,-70220400 ( -67.5% ),4556,-8082 ( -63.9% ),39023517495,4827744,8
2017-12-05,222,4.2%,351,2.1%,48053,1.7%,8.8%,30630500,-3171000 ( -9.4% ),4238,-318 ( -7.0% ),39054147995,4831982,8
2017-12-06,224,4.3%,352,2.1%,49045,1.8%,8.8%,30977200,346700 ( 1.1% ),4314,76 ( 1.8% ),39085125195,4836296,8
2017-12-07,90,1.5%,116,0.7%,17330,0.6%,10.1%,13717600,-17259600 ( -55.7% ),1745,-2569 ( -59.6% ),39098842795,4838041,15
2017-12-08,93,1.4%,115,0.6%,17177,0.6%,12.3%,17709700,3992100 ( 29.1% ),2114,369 ( 21.1% ),39116552495,4840155,16
2017-12-09,84,1.2%,101,0.5%,14234,0.5%,28.5%,34655600,16945900 ( 95.7% ),4052,1938 ( 91.7% ),39151208095,4844207,12
2017-12-10,81,1.2%,98,0.5%,13835,0.5%,22.7%,26677000,-7978600 ( -23.0% ),3139,-913 ( -22.5% ),39177885095,4847346,13
2017-12-11,81,1.3%,111,0.7%,17296,0.6%,8.4%,11252200,-15424800 ( -57.8% ),1455,-1684 ( -53.6% ),39189137295,4848801,15
2017-12-12,81,1.3%,109,0.7%,17040,0.6%,8.4%,10738400,-513800 ( -4.6% ),1435,-20 ( -1.4% ),39199875695,4850236,16
2017-12-13,79,1.3%,114,0.7%,17365,0.6%,8.8%,11478300,739900 ( 6.9% ),1523,88 ( 6.1% ),39211353995,4851759,17
2017-12-14,6,0.1%,6,0%,578,0.0%,32.9%,1339000,-10139300 ( -88.3% ),190,-1333 ( -87.5% ),39212692995,4851949,40
2017-12-15,5,0.1%,5,0%,576,0.0%,28.3%,1335500,-3500 ( -0.3% ),163,-27 ( -14.2% ),39214028495,4852112,44
2017-12-16,9,0.1%,9,0.1%,1074,0.0%,50.7%,4639900,3304400 ( 247.4% ),544,381 ( 233.7% ),39218668395,4852656,23
2017-12-17,7,0.1%,8,0%,993,0.0%,37.0%,3129000,-1510900 ( -32.6% ),367,-177 ( -32.5% ),39221797395,4853023,23
2017-12-18,6,0.1%,6,0%,681,0.0%,21.4%,1130500,-1998500 ( -63.9% ),146,-221 ( -60.2% ),39222927895,4853169,38
2017-12-19,5,0.1%,5,0%,724,0.0%,17.7%,922500,-208000 ( -18.4% ),128,-18 ( -12.3% ),39223850395,4853297,49
2017-12-20,2,0.0%,2,0%,229,0.0%,14.8%,287500,-635000 ( -68.8% ),34,-94 ( -73.4% ),39224137895,4853331,58
2017-12-21,2,0.0%,2,0%,168,0.0%,33.9%,427500,140000 ( 48.7% ),57,23 ( 67.6% ),39224565395,4853388,64
2017-12-22,2,0.0%,2,0%,316,0.0%,11.1%,302000,-125500 ( -29.4% ),35,-22 ( -38.6% ),39224867395,4853423,62
2017-12-23,2,0.0%,2,0%,190,0.0%,26.8%,426000,124000 ( 41.1% ),51,16 ( 45.7% ),39225293395,4853474,53
2017-12-24,2,0.0%,2,0%,190,0.0%,42.1%,646000,220000 ( 51.6% ),80,29 ( 56.9% ),39225939395,4853554,46
2017-12-25,2,0.0%,2,0%,190,0.0%,66.3%,985000,339000 ( 52.5% ),126,46 ( 57.5% ),39226924395,4853680,32
2017-12-26,2,0.0%,2,0%,170,0.0%,51.8%,704000,-281000 ( -28.5% ),88,-38 ( -30.2% ),39227628395,4853768,44
2017-12-27,1,0.0%,1,0%,90,0.0%,3.3%,18000,-686000 ( -97.4% ),3,-85 ( -96.6% ),39227646395,4853771,86
2017-12-28,1,0.0%,1,0%,90,0.0%,7.8%,45000,27000 ( 150.0% ),7,4 ( 133.3% ),39227691395,4853778,85
2018-01-07,1,0.0%,1,0%,157,0.0%,100.0%,1570000,1570000 ( 100.0% ),157,157 ( 100.0% ),39229261395,4853935,31
2018-01-19,5,0.1%,7,0%,1143,0.0%,45.0%,3095000,3095000 ( 100.0% ),514,514 ( 100.0% ),39232356395,4854449,21
2018-01-20,10,0.2%,10,0.1%,1346,0.0%,54.2%,4338500,1243500 ( 40.2% ),729,215 ( 41.8% ),39236694895,4855178,21
2018-01-21,9,0.2%,9,0.1%,1313,0.0%,49.8%,3823800,-514700 ( -11.9% ),654,-75 ( -10.3% ),39240518695,4855832,19
2018-01-26,9,0.1%,9,0.1%,1416,0.0%,30.0%,2561100,2561100 ( 100.0% ),425,425 ( 100.0% ),39243079795,4856257,25
2018-01-27,7,0.1%,7,0%,1091,0.0%,31.7%,2073200,-487900 ( -19.1% ),346,-79 ( -18.6% ),39245152995,4856603,30
2018-01-28,11,0.2%,11,0.1%,1651,0.1%,33.3%,3279600,1206400 ( 58.2% ),549,203 ( 58.7% ),39248432595,4857152,21
2018-07-31,1,0.0%,1,0%,306,0.0%,100.0%,3060000,3060000 ( 100.0% ),306,306 ( 100.0% ),39251492595,4857458,23
2018-10-25,1,0.0%,1,0%,192,0.0%,14.6%,235000,235000 ( 100.0% ),28,28 ( 100.0% ),39251727595,4857486,77
2018-10-26,1,0.0%,1,0%,192,0.0%,35.4%,640000,405000 ( 172.3% ),68,40 ( 142.9% ),39252367595,4857554,62
2018-10-27,1,0.0%,1,0%,192,0.0%,83.9%,1450500,810500 ( 126.6% ),161,93 ( 136.8% ),39253818095,4857715,34
2018-10-28,1,0.0%,1,0%,192,0.0%,33.9%,590500,-860000 ( -59.3% ),65,-96 ( -59.6% ),39254408595,4857780,64
2018-10-29,1,0.0%,1,0%,192,0.0%,4.7%,76500,-514000 ( -87.0% ),9,-56 ( -86.2% ),39254485095,4857789,83
