날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-23,2,0.0%,2,0%,354,0.0%,100.0%,3186000,3186000 ( 100.0% ),354,354 ( 100.0% ),3186000,354,26
2018-11-28,1,0.0%,1,0%,154,0.0%,5.8%,81000,81000 ( 100.0% ),9,9 ( 100.0% ),3267000,363,105
2018-11-29,154,2.7%,162,0.9%,17984,0.6%,9.0%,10249600,10168600 ( 12553.8% ),1614,1605 ( 17833.3% ),13516600,1977,11
2018-11-30,173,3.0%,180,1%,20802,0.7%,8.6%,11859250,1609650 ( 15.7% ),1781,167 ( 10.3% ),25375850,3758,10
2018-12-01,273,4.5%,328,1.7%,37131,1.2%,23.0%,65086450,53227200 ( 448.8% ),8541,6760 ( 379.6% ),90462300,12299,7
2018-12-02,273,4.5%,330,1.8%,37656,1.3%,21.6%,62638350,-2448100 ( -3.8% ),8120,-421 ( -4.9% ),153100650,20419,7
2018-12-03,101,1.9%,109,0.6%,12093,0.4%,6.0%,4620600,-58017750 ( -92.6% ),722,-7398 ( -91.1% ),157721250,21141,13
2018-12-04,119,2.1%,129,0.7%,14190,0.5%,10.3%,8557550,3936950 ( 85.2% ),1458,736 ( 101.9% ),166278800,22599,14
2018-12-05,43,0.8%,47,0.3%,4485,0.2%,26.5%,6568000,-1989550 ( -23.2% ),1190,-268 ( -18.4% ),172846800,23789,13
2018-12-06,11,0.2%,11,0.1%,926,0.0%,29.2%,1423000,-5145000 ( -78.3% ),270,-920 ( -77.3% ),174269800,24059,36
2018-12-07,24,0.4%,25,0.1%,2314,0.1%,46.5%,5886000,4463000 ( 313.6% ),1075,805 ( 298.1% ),180155800,25134,17
2018-12-08,13,0.2%,13,0.1%,1400,0.0%,35.9%,4938000,-948000 ( -16.1% ),503,-572 ( -53.2% ),185093800,25637,24
2018-12-09,11,0.2%,11,0.1%,860,0.0%,10.9%,599900,-4338100 ( -87.9% ),94,-409 ( -81.3% ),185693700,25731,47
2018-12-10,9,0.1%,9,0.1%,1073,0.0%,40.2%,2471000,1871100 ( 311.9% ),431,337 ( 358.5% ),188164700,26162,23
2018-12-11,8,0.1%,8,0%,829,0.0%,45.7%,1912000,-559000 ( -22.6% ),379,-52 ( -12.1% ),190076700,26541,26
2018-12-12,5,0.1%,5,0%,621,0.0%,30.9%,1107000,-805000 ( -42.1% ),192,-187 ( -49.3% ),191183700,26733,33
2018-12-13,7,0.1%,7,0%,772,0.0%,30.1%,1562000,455000 ( 41.1% ),232,40 ( 20.8% ),192745700,26965,41
2018-12-14,9,0.1%,10,0.1%,965,0.0%,41.9%,2122000,560000 ( 35.9% ),404,172 ( 74.1% ),194867700,27369,35
2018-12-15,1,0.0%,1,0%,54,0.0%,38.9%,112000,-2010000 ( -94.7% ),21,-383 ( -94.8% ),194979700,27390,76
2018-12-18,4,0.1%,4,0%,306,0.0%,63.1%,1143000,1143000 ( 100.0% ),193,193 ( 100.0% ),196122700,27583,48
2018-12-19,2,0.0%,3,0%,683,0.0%,47.7%,2282000,1139000 ( 99.7% ),326,133 ( 68.9% ),198404700,27909,26
2018-12-21,3,0.0%,3,0%,192,0.0%,82.3%,1017000,1017000 ( 100.0% ),158,158 ( 100.0% ),199421700,28067,36
2018-12-24,1,0.0%,1,0%,62,0.0%,24.2%,75000,75000 ( 100.0% ),15,15 ( 100.0% ),199496700,28082,67
