날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2018-11-13,1,0.0%,1,0%,142,0.0%,100.0%,1136000,1136000 ( 100.0% ),142,142 ( 100.0% ),1136000,142,45
2018-11-14,5,0.1%,5,0%,958,0.0%,100.0%,7664000,6528000 ( 574.6% ),958,816 ( 574.6% ),8800000,1100,11
2018-11-19,1,0.0%,1,0%,211,0.0%,94.8%,1600000,1600000 ( 100.0% ),200,200 ( 100.0% ),10400000,1300,25
2018-11-20,68,1.2%,73,0.4%,13218,0.5%,89.8%,95696000,94096000 ( 5881.0% ),11866,11666 ( 5833.0% ),106096000,13166,4
2018-11-22,135,2.5%,314,1.8%,41164,1.5%,7.3%,26844400,26844400 ( 100.0% ),3020,3020 ( 100.0% ),132940400,16186,10
2018-11-23,131,2.4%,283,1.6%,37220,1.3%,6.3%,21255000,-5589400 ( -20.8% ),2356,-664 ( -22.0% ),154195400,18542,10
2018-11-24,138,2.4%,244,1.3%,30607,1.1%,10.1%,28706500,7451500 ( 35.1% ),3101,745 ( 31.6% ),182901900,21643,11
2018-11-25,129,2.2%,231,1.3%,29459,1.0%,9.1%,24739000,-3967500 ( -13.8% ),2682,-419 ( -13.5% ),207640900,24325,12
2018-11-26,125,2.4%,251,1.5%,33084,1.2%,5.5%,14089800,-10649200 ( -43.0% ),1804,-878 ( -32.7% ),221730700,26129,9
2018-11-27,161,2.9%,251,1.5%,34444,1.3%,5.5%,15102100,1012300 ( 7.2% ),1904,100 ( 5.5% ),236832800,28033,10
2018-11-28,58,1.0%,80,0.4%,9295,0.3%,10.7%,6505500,-8596600 ( -56.9% ),998,-906 ( -47.6% ),243338300,29031,12
2018-11-29,63,1.1%,82,0.5%,9755,0.3%,9.9%,6757000,251500 ( 3.9% ),961,-37 ( -3.7% ),250095300,29992,15
2018-11-30,54,0.9%,72,0.4%,8898,0.3%,10.6%,6573500,-183500 ( -2.7% ),945,-16 ( -1.7% ),256668800,30937,14
2018-12-01,52,0.9%,70,0.4%,8272,0.3%,17.1%,9969500,3396000 ( 51.7% ),1417,472 ( 49.9% ),266638300,32354,13
2018-12-02,51,0.8%,63,0.3%,7835,0.3%,14.4%,7986200,-1983300 ( -19.9% ),1131,-286 ( -20.2% ),274624500,33485,13
2018-12-03,58,1.1%,73,0.4%,9210,0.3%,8.2%,5236200,-2750000 ( -34.4% ),755,-376 ( -33.2% ),279860700,34240,11
2018-12-04,60,1.0%,78,0.4%,10870,0.4%,9.7%,7408400,2172200 ( 41.5% ),1056,301 ( 39.9% ),287269100,35296,16
2018-12-05,4,0.1%,6,0%,744,0.0%,7.0%,380400,-7028000 ( -94.9% ),52,-1004 ( -95.1% ),287649500,35348,69
2018-12-06,5,0.1%,7,0%,803,0.0%,9.8%,642000,261600 ( 68.8% ),79,27 ( 51.9% ),288291500,35427,67
2018-12-07,6,0.1%,7,0%,801,0.0%,23.6%,1248000,606000 ( 94.4% ),189,110 ( 139.2% ),289539500,35616,36
2018-12-08,6,0.1%,8,0%,710,0.0%,39.7%,2194000,946000 ( 75.8% ),282,93 ( 49.2% ),291733500,35898,31
2018-12-09,6,0.1%,8,0%,913,0.0%,17.1%,1387000,-807000 ( -36.8% ),156,-126 ( -44.7% ),293120500,36054,35
2018-12-10,5,0.1%,8,0%,926,0.0%,22.2%,1571400,184400 ( 13.3% ),206,50 ( 32.1% ),294691900,36260,32
2018-12-11,21,0.3%,23,0.1%,2971,0.1%,6.7%,1599100,27700 ( 1.8% ),199,-7 ( -3.4% ),296291000,36459,42
2018-12-12,4,0.1%,4,0%,432,0.0%,6.0%,225000,-1374100 ( -85.9% ),26,-173 ( -86.9% ),296516000,36485,70
2018-12-13,2,0.0%,3,0%,254,0.0%,6.3%,143000,-82000 ( -36.4% ),16,-10 ( -38.5% ),296659000,36501,84
2018-12-14,3,0.0%,5,0%,443,0.0%,10.6%,415000,272000 ( 190.2% ),47,31 ( 193.8% ),297074000,36548,70
2018-12-15,3,0.0%,4,0%,346,0.0%,19.1%,605000,190000 ( 45.8% ),66,19 ( 40.4% ),297679000,36614,60
2018-12-16,2,0.0%,2,0%,150,0.0%,24.7%,363000,-242000 ( -40.0% ),37,-29 ( -43.9% ),298042000,36651,56
2018-12-17,3,0.0%,4,0%,512,0.0%,2.9%,110000,-253000 ( -69.7% ),15,-22 ( -59.5% ),298152000,36666,77
2018-12-18,2,0.0%,2,0%,196,0.0%,5.6%,91000,-19000 ( -17.3% ),11,-4 ( -26.7% ),298243000,36677,93
2018-12-19,3,0.0%,4,0%,512,0.0%,6.8%,267000,176000 ( 193.4% ),35,24 ( 218.2% ),298510000,36712,60
2018-12-20,2,0.0%,2,0%,196,0.0%,3.1%,52000,-215000 ( -80.5% ),6,-29 ( -82.9% ),298562000,36718,100
2018-12-21,2,0.0%,2,0%,196,0.0%,9.2%,148000,96000 ( 184.6% ),18,12 ( 200.0% ),298710000,36736,80
2018-12-22,2,0.0%,2,0%,230,0.0%,7.4%,167000,19000 ( 12.8% ),17,-1 ( -5.6% ),298877000,36753,77
2018-12-23,2,0.0%,2,0%,551,0.0%,74.6%,2910000,2743000 ( 1642.5% ),411,394 ( 2317.6% ),301787000,37164,24
2018-12-24,1,0.0%,1,0%,138,0.0%,8.0%,90000,-2820000 ( -96.9% ),11,-400 ( -97.3% ),301877000,37175,69
2018-12-25,1,0.0%,1,0%,138,0.0%,15.2%,205000,115000 ( 127.8% ),21,10 ( 90.9% ),302082000,37196,68
2018-12-26,2,0.0%,2,0%,196,0.0%,8.7%,149000,-56000 ( -27.3% ),17,-4 ( -19.0% ),302231000,37213,73
2018-12-28,1,0.0%,1,0%,138,0.0%,7.2%,97000,97000 ( 100.0% ),10,10 ( 100.0% ),302328000,37223,76
2018-12-30,1,0.0%,1,0%,138,0.0%,13.0%,155000,155000 ( 100.0% ),18,18 ( 100.0% ),302483000,37241,69
2019-07-08,1,0.0%,2,0%,84,0.0%,100.0%,420000,420000 ( 100.0% ),84,84 ( 100.0% ),302903000,37325,38
2019-09-27,1,0.0%,1,0%,103,0.0%,58.3%,420000,420000 ( 100.0% ),60,60 ( 100.0% ),303323000,37385,64
